Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"BVGSA GSP Advisory Committee Charter:
Disadvantaged Community :open :open
&&

Member categories designated as “open” reflect beneficial user categories where the BVGSA is interested in identifying a local representative. Individuals interested in an open position should
attend a GSPAC meeting, once the BVGSA has formally recognized the chartered committee, to express interest in serving on the GSPAC. These member positions may be filled at the agreement of the named GSPAC members, and with the approval of the BVGSA Board. 

&&

6.1.4 Stakeholder Outreach and Engagement
As described in Section 1 and Section 5, the GSA has and will continue to perform outreach and engagement activities. These activities include facilitation and management of the GSP  Advisory Committee, outreach consistent with the C&E Plan, and development an maintenance of a GSA website. 

&&

Outreach Activities This Plan identifies a variety of potential outreach activities to provide opportunities for interested parties and stakeholders to stay informed and engaged in the development of the GSP. These potential outreach activities seek to build and expand public awareness of the BVGSA, groundwater in the Big Valley Basin, and SGMA and to actively engage key stakeholder groups to coordinate and collaborate on technical issues important for GSP development and implementation. 
Below is a summary of existing and potential additional outreach opportunities. 
• Groundwater Sustainability Plan Development Meetings: The ongoing way for members of the public to provide input on development of the GSP is by attending and providing public comment at regular GSPAC monthly meetings, or to attend any one of the series of technical subcommittee meetings that are publicly noticed and open for anyone to join. 
• Board of Directors Briefings: BVGSA representatives or technical consulting staff may conduct periodic presentations to the Lake County Board of Supervisors, as the sitting Board of Directors for the agency. These presentations are intended to provide updates on GSP progress and next steps and to respond to questions. 
• Public Meetings and Workshops: In support of plan development, the BVGSA will periodically host public meetings or workshops aimed at educating members of the public about key GSP topics, and to solicit input on technical content and draft GSP sections and chapters. It is anticipated that up to seven workshops will be held between Spring 2021 and Winter 2022. 
• Community Presentations: The BVGSA may provide brief, high-level overviews of the GSP process and status at meetings hosted by various civic, nonprofit, and community groups in the Big Valley Basin. 
• Partnerships with Local Organizations: The BVGSA may establish partnerships with trusted organizations in the basin to broaden the dissemination of SGMA information and to connect with specific stakeholder groups. This may include sending these organizations notices and informational materials for distribution to their stakeholders, cohosting events or workshops, and/or holding briefings with partners’ leadership. 
• In-Person Outreach at Community Events: The BVGSA may also conduct targeted outreach to specific stakeholder groups during community events. These gatherings would provide an opportunity to distribute informational materials while allowing an agency representative to talk to people about SGMA, groundwater in Big Valley Basin, and the GSP process.

&&

Individuals living in communities that are state-designated disadvantaged face unique challenges when it comes to participating in public planning processes. This may include physical and/or linguistic barriers which may impede their ability to provide input on plans or regulations that impact them. The BVGSA intends to use best practices to help address barriers these communities may face in participating in the GSP development and implementation processes. These practices may include translating materials and fliers into multiple languages,offering interpreting services at public workshops and meetings, holding workshops and meetings at familiar and trusted locations (e.g., schools, community centers, churches), and ensuring workshops/meetings are held at times accessible by a wide range of people. (Note that due to social-distancing and local health ordinances resulting from the COVID-19 pandemic, many of the basin’s outreach activities have been using virtual engagement formats.) The BVGSA may also partner with local community advocates or organizations to educat community members about SGMA and local groundwater developments, and to encourage  further involvement in public events. Often leveraging the communication channels of these trusted messengers is a more effective means of reaching DACs than traditional communication methods. A key component of outreach to this community is finding an individual to sit on the GSPAC to represent disadvantaged communities in the Big Valley Basin. That person will be critical to helping develop a meaningful and focused outreach plan that considers how best to engag with these stakeholders. ","Appendix 1A: BVGSA GSP Advisory Committee Charter Page 2-3
Page 6-1
Section 7A: ES-1
Appendix 7A: Section 4 Page 4-9, 4-10","1. DAC's identified? (yes/no): YES, Kelseyville identified as SDAC
2. If yes, which level of engagment: Inform, Involve, Consult, Intent to collaborate
3. Evidence/strategies listed for level of engagement:


The GSP includes a list of the BVGSA GSP Advisory Committee which does list a position open for a DAC representative on the Advisory Board. The position is currently listed as open (unfilled) and the GSP also includes specific outreach and engagement of DACs including educational workshops and has documented the urgent need for a DAC represenative on the board to consider DACs adequately. Although the DAC representative position is unfilled, the GSA has a desginated DAC representative seat. "
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Yes,"BVGSA GSP Advisory Committee Charter: 
Tribal Government : Big Valley Band of Pomo Indians: Sarah Ryan

&&

6.1.4 Stakeholder Outreach and Engagement
As described in Section 1 and Section 5, the GSA has and will continue to perform outreach and engagement activities. These activities include facilitation and management of the GSP  Advisory Committee, outreach consistent with the C&E Plan, and development an maintenance of a GSA website. 

&&

Outreach Activities This Plan identifies a variety of potential outreach activities to provide opportunities for interested parties and stakeholders to stay informed and engaged in the development of the GSP. These potential outreach activities seek to build and expand public awareness of the BVGSA, groundwater in the Big Valley Basin, and SGMA and to actively engage key stakeholder groups to coordinate and collaborate on technical issues important for GSP development and implementation. 
Below is a summary of existing and potential additional outreach opportunities. 
• Groundwater Sustainability Plan Development Meetings: The ongoing way for members of the public to provide input on development of the GSP is by attending and providing public comment at regular GSPAC monthly meetings, or to attend any one of the series of technical subcommittee meetings that are publicly noticed and open for anyone to join. 
• Board of Directors Briefings: BVGSA representatives or technical consulting staff may conduct periodic presentations to the Lake County Board of Supervisors, as the sitting Board of Directors for the agency. These presentations are intended to provide updates on GSP progress and next steps and to respond to questions. 
• Public Meetings and Workshops: In support of plan development, the BVGSA will periodically host public meetings or workshops aimed at educating members of the public about key GSP topics, and to solicit input on technical content and draft GSP sections and chapters. It is anticipated that up to seven workshops will be held between Spring 2021 and Winter 2022. 
• Community Presentations: The BVGSA may provide brief, high-level overviews of the GSP process and status at meetings hosted by various civic, nonprofit, and community groups in the Big Valley Basin. 
• Partnerships with Local Organizations: The BVGSA may establish partnerships with trusted organizations in the basin to broaden the dissemination of SGMA information and to connect with specific stakeholder groups. This may include sending these organizations notices and informational materials for distribution to their stakeholders, cohosting events or workshops, and/or holding briefings with partners’ leadership. 
• In-Person Outreach at Community Events: The BVGSA may also conduct targeted outreach to specific stakeholder groups during community events. These gatherings would provide an opportunity to distribute informational materials while allowing an agency representative to talk to people about SGMA, groundwater in Big Valley Basin, and the GSP process.

&&

4.5.1 Tribes
Lake County is the ancestral homeland for a number of Tribal Nations that have lived on the land in Big Valley Basin since time immemorial. The BVGSA filled a Sacred Lands File and Native American Contacts List Request with the Native American Heritage Commission (NAHC) to identify all Tribes that have indicated sacred land or traditional and/or cultural resources interests within the Big Valley Basin. The BVGSA received initial NAHC notification from eight Tribes with stated interests in the Big Valley Basin, including: • Big Valley Band of Pomo Indians • Elem Indian Colony Pomo Tribe • Guidville Indian Rancheria • Koi Nation of Northern California • Middletown Rancheria of Pomo Indians • Mishewal-Wappo Tribe of Alexander Valley • Pinoleville Pomo Nation • Scotts Valley Band of Pomo
After consulting with representatives from the Big Valley Band of Pomo Indians and the Scotts Valley Band of Pomo Indians, two additional Tribes were identified to include in Tribal outreach: • Robinson Rancheria Pomo Indians of California • Habematolel of Upper Lake The BVGSA will consult with all 10 of these tribes to learn about and consider their interests, and to ask for their guidance and leadership in the best ways to engage the Tribes—individually and collectively—in all aspects of GSP development and implementation. ","Appendix 1A: BVGSA GSP Advisory Committee Charter Page 2-3
Page 6-1
Section 7A: ES-1
Appendix 7A: Section 4 Page 4-9, 4-10","1. Tribes identified? (yes/no): YES, Big Valley Band of Pomo Indians
2. If yes, which level of engagment: Inform, Involve, Collaborate 
3. Evidence/strategies listed for level of engagement:

GSP has documented having a Tribal representative on the Advisory Board , a representative from Big Valley of Pomo Indians, Sarah Ryan. The GSP has also identified other Tribal communities and has notified them GSP updates. The GSP also includes stakeholder engagement open to all stakeholders. "
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"BVGSA GSP Advisory Committee Charter:
Environmental/Ecosystem:  Chi Council for the Clear Lake Hitch : Peter Windrem
Environmental/Ecosystem : Lake County Land Trust :Val Nixon

&&

6.1.4 Stakeholder Outreach and Engagement
As described in Section 1 and Section 5, the GSA has and will continue to perform outreach and engagement activities. These activities include facilitation and management of the GSP  Advisory Committee, outreach consistent with the C&E Plan, and development an maintenance of a GSA website. 

&&

Outreach Activities This Plan identifies a variety of potential outreach activities to provide opportunities for interested parties and stakeholders to stay informed and engaged in the development of the GSP. These potential outreach activities seek to build and expand public awareness of the BVGSA, groundwater in the Big Valley Basin, and SGMA and to actively engage key stakeholder groups to coordinate and collaborate on technical issues important for GSP development and implementation. 
Below is a summary of existing and potential additional outreach opportunities. 
• Groundwater Sustainability Plan Development Meetings: The ongoing way for members of the public to provide input on development of the GSP is by attending and providing public comment at regular GSPAC monthly meetings, or to attend any one of the series of technical subcommittee meetings that are publicly noticed and open for anyone to join. 
• Board of Directors Briefings: BVGSA representatives or technical consulting staff may conduct periodic presentations to the Lake County Board of Supervisors, as the sitting Board of Directors for the agency. These presentations are intended to provide updates on GSP progress and next steps and to respond to questions. 
• Public Meetings and Workshops: In support of plan development, the BVGSA will periodically host public meetings or workshops aimed at educating members of the public about key GSP topics, and to solicit input on technical content and draft GSP sections and chapters. It is anticipated that up to seven workshops will be held between Spring 2021 and Winter 2022. 
• Community Presentations: The BVGSA may provide brief, high-level overviews of the GSP process and status at meetings hosted by various civic, nonprofit, and community groups in the Big Valley Basin. 
• Partnerships with Local Organizations: The BVGSA may establish partnerships with trusted organizations in the basin to broaden the dissemination of SGMA information and to connect with specific stakeholder groups. This may include sending these organizations notices and informational materials for distribution to their stakeholders, cohosting events or workshops, and/or holding briefings with partners’ leadership. 
• In-Person Outreach at Community Events: The BVGSA may also conduct targeted outreach to specific stakeholder groups during community events. These gatherings would provide an opportunity to distribute informational materials while allowing an agency representative to talk to people about SGMA, groundwater in Big Valley Basin, and the GSP process.","Appendix 1A: BVGSA GSP Advisory Committee Charter Page 2-3
Page 6-1
Section 7A: ES-1","
1. Environmental Stakeholders identified? YES
2. Which level of engagment: Inform, Involve, Collaborate
3. Evidence/strategies listed for level of engagement:

GSP has documented having two environmental/ecosystem stakeholder representatives on the BVGSA GSP Advisory Board including the Chi Council for the Clear Lake Hitch and Lake County Land Trust. The GSP also documents methods to engage open to all stakeholders identified within the basin. "
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"As part of its GSP, the BVGSA must describe how it plans to inform the public about progress in implementing the GSP. GSP implementation outreach activities should build upon activities conducted during GSP development—but they should also include new and targeted outreach as the need arises and to cultivate more diverse engagement. Successful and established activities should be continued throughout GSP implementation and then updated to include new stakeholder groups and emerging issues. The primary methods to inform the public about progress of the GSP include posting on the BVGSA websites; sending out progress information to the Interested Parties Database; and holding regular public meetings focused on GSP implementation. In addition, the BVGSA may choose to continue other general public outreach activities, such as GSP-related public meetings, community presentations and Board updates, and engaging the public in conversations at community events. Informational materials and website content will be updated at key implementation milestones (e.g., annual reporting periods, Five-Year Updates) to reflect the status of the GSP and Big Valley Basin current conditions. In addition, new materials will be developed to help the public understand next steps, how they can stay engaged in GSP implementation, and how to participate in call-to-action activities in the basin.",Appendix 7A: Page 7-1,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for DACs?  ( yes/no)
3. What level of outreach engagement? 

GSP documents outreach used during development may continue through implementation including GSP advisory meetings which DACs currently have no representative on. "
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Somewhat,"As part of its GSP, the BVGSA must describe how it plans to inform the public about progress in implementing the GSP. GSP implementation outreach activities should build upon activities conducted during GSP development—but they should also include new and targeted outreach as the need arises and to cultivate more diverse engagement. Successful and established activities should be continued throughout GSP implementation and then updated to include new stakeholder groups and emerging issues. The primary methods to inform the public about progress of the GSP include posting on the BVGSA websites; sending out progress information to the Interested Parties Database; and holding regular public meetings focused on GSP implementation. In addition, the BVGSA may choose to continue other general public outreach activities, such as GSP-related public meetings, community presentations and Board updates, and engaging the public in conversations at community events. Informational materials and website content will be updated at key implementation milestones (e.g., annual reporting periods, Five-Year Updates) to reflect the status of the GSP and Big Valley Basin current conditions. In addition, new materials will be developed to help the public understand next steps, how they can stay engaged in GSP implementation, and how to participate in call-to-action activities in the basin.",Appendix 7A: Page 7-1,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Tribes?  (yes/no)
3. What level of outreach engagement? 


GSP documents outreach used during development  may continue through implementation including GSP advisory meetings which has one tribal representative from Big Valley Band of Pomo Indians. "
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"As part of its GSP, the BVGSA must describe how it plans to inform the public about progress in implementing the GSP. GSP implementation outreach activities should build upon activities conducted during GSP development—but they should also include new and targeted outreach as the need arises and to cultivate more diverse engagement. Successful and established activities should be continued throughout GSP implementation and then updated to include new stakeholder groups and emerging issues. The primary methods to inform the public about progress of the GSP include posting on the BVGSA websites; sending out progress information to the Interested Parties Database; and holding regular public meetings focused on GSP implementation. In addition, the BVGSA may choose to continue other general public outreach activities, such as GSP-related public meetings, community presentations and Board updates, and engaging the public in conversations at community events. Informational materials and website content will be updated at key implementation milestones (e.g., annual reporting periods, Five-Year Updates) to reflect the status of the GSP and Big Valley Basin current conditions. In addition, new materials will be developed to help the public understand next steps, how they can stay engaged in GSP implementation, and how to participate in call-to-action activities in the basin.",Appendix 7A: Page 7-1,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  (yes/no)
3. What level of outreach engagement? 


GSP documents outreach used during development may continue through implementation including GSP advisory meetings which have two environmental/ecosystem representatives on the BVGSA Advisory Board. "
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Appendix 7A,Title: Big Valley Basin Communication and Engagement Plan
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Somewhat,"Kelseyville is considered a severely disadvantaged community in the State of California, with a median-household income of $41,680 (DWR 2018). Information about community outreach and engagement efforts in Kelseyville and Big Valley Basin are detailed in Section 6.",Page 2-3,"1. Location on the map? (yes/no) GSP has mapped the unincorporated community of Kelsey but is not explicitly mentioned as a SDAC on the map/ 
2. Identified by name? (yes/no) YES, Kelseyville 
3. DAC places, tracks, or block data used in map?
"
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Yes,"The Lake County Watershed Protection District (District) will uphold SGMA and oversee Big Valley GSP implementation, serving as the sole GSA in the Big Valley Basin. The Big Valley GSA has jurisdiction over most of Big Valley Basin, excluding the portion containing the Big Valley Rancheria which is governed by the Big Valley Band of Pomo Indians of the Big Valley Rancheria, a federally recognized tribe. Note the Lake County Watershed Protection District is the legal name of the governing entity, but the common-use name is the Lake County Water Resources Department. This GSP will use the legal name throughout the remainder of this document.",2021-01-03 00:00:00,"1. Tribal lands identified? (yes/no) YES, identified as Big Valley Band of Pomo Indians of the Big Valley Rancheria
2. Tribal lands mapped? (yes/no) YES, Mapped in Figure 2-1 (Page 2-2)
"
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",Yes,"Finley is an unincorporated community with a population of approximately 657 residents.Kelseyville has a population of 3,560 as of 2019. The community is predominately white-non37 Hispanic (65.4 percent), followed by other-Hispanic (28.5 percent), and white-Hispanic (4.4percent) (Data USA 2021). Kelseyville is considered a severely disadvantaged community in the State of California, with a median-household income of $41,680 (DWR 2018). Information about community outreach and engagement efforts in Kelseyville and Big Valley Basin are detailed in Section 6.",Page 2-1,"1. Does the GSP document the size of the population for each DAC?
GSP includes population size for Kelseyville which then is identified as a SDAC."
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,Yes,Domestic wells are not as deep and range from 42 to 292 feet. Domestic wells are located throughout the Basin but are heavily concentrated around Kelsey Creek.,"Chpater 2: Page 2-12
Figure 2-5 ","1. Does the map include depth by location?
The Map includes sepcific domestic well depth and the GSP includes text that references to domestic well depth ranges from 42 to 292 feet. "
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,,Figure 2-5,"1. How are domestic wells mapped (density/point/none)?
Domestic wells are mapped using density map with specific well depths. "
