Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Martha,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Somewhat,"Disadvantaged Communities: Disadvantaged communities in the Basin include the community of Casitas Springs. The community is served by Casitas Mutual Water Company, Ventura River Water District, and Casitas Municipal Water District, the latter two being signatory members to the JPA Agreement forming the Agency. Thus, the community is represented on the Agency’s Board of Directors.",2021-02-26 00:00:00,"1. Location on the map? (yes/no) No
2. Identified by name? (yes/no) Yes
3. DAC places, tracks, or block data used in map?
No map present of DAC community locations, but DAC communities are described by name in the text.",
Martha,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",No,,,"1. Tribal lands identified? (yes/no) No
2. Tribal lands mapped? (yes/no) No
No map of Tribal lands present",
Martha,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,,,"1. Does the GSP document the size of the population for each DAC?
No; Mention of DAC community names is present but no mention of population",
Martha,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,"Approximately 90 domestic wells were identified during development of the GSP. The majority—if not all—of these domestic wells are believed to be de minimis uses, as defined by SGMA. UVRGA addressed the collective interests of domestic users of groundwater wells through outreach to domestic well owners during the development of the Plan and inviting their participation in the Agency’s public meetings.
&&
UVRGA identified 101 active or presumed active domestic wells for the year 2017 (UVRGA, 2020). These domestic wells are believed to be de minimis extractors, with an estimated groundwater production rate of 2 AF year or less (UVRGA, 2020). Based on these assumptions, total domestic pumping in 2017 is estimated to have been less than 200 AF/yr. The status of domestic wells is not well understood due to the very limited participation by domestic well owners during the GSP development process. UVRGA intends to further investigate the status of the domestic wells following GSP adoption.","Page 23 / 2.3.1
Page 51 / 3.1.3.4
Figure 3.1-37","1. Does the map include depth by location?
No; domestic wells specifically noted not to be mapped",
Martha,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,No,Figure 2.2-02 shows the density of wells per square mile and locations of known agricultural and municipal and industrial water supply wells in the basin.,Page 8 / 2.2.1,"1. How are domestic wells mapped (density/point/none)?
None",
Sara,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Somewhat,"Figures 3.1-27 and 3.1-28 show median concentrations for nitrate (as N) calculated over data available from 1975 to 2019 (long-term) and data available from 2008 to 2019 (recent), respectively. Chemographs for select wells with good temporal data coverage are shown for each hydrogeologic area. Wells with median nitrate higher than the water quality objective (10 mg/L as N) are shown in red and labeled. Nitrate concentrations in the Mira Monte/Meiners Oaks Area tend to be the highest, with several wells showing historical and recent nitrates above the water quality objective. Some wells in the Robles Area also show elevated nitrate levels, though these have typically been below the water quality objective. Some of these wells (e.g., 04N23W16C08S) show higher nitrate concentrations during the recent drought (2012-2016), when there was less recharge from fresher quality surface water. Elevated nitrate concentrations in groundwater have been found in areas of Tico Road and Mira Monte, as well as the northern portion of the Robles Area, where several sources including equestrian facilities, fertilizing operations, and septic systems may contribute to the nutrient loading in these areas (DBSA, 2010b). Nitrate concentrations in the Kennedy, Santa Ana, and Casita Springs areas tend to be low and well below the water quality objective. Note that there is sparse data available in recent years in the Santa Ana Area.
Previous investigations have reported that TDS concentrations from public supply wells within the Basin range from about from 500 to 1240 mg/L, with an average of about 700 mg/L (DWR, 2003). Figures 3.1-29 and 3.1-30 show median concentrations for TDS calculated for the long-term (s-2019) and recent (2008-2019) period of record, respectively. A few wells have median TDS concentrations above the water quality objective, with several wells showing concentrations just below to the water quality objective with a few exceedances in the past. TDS concentrations appear to increase during extended dry periods when there is less recharge of fresher quality surface water.
Figures 3.1-31 and 3.1-32 show median concentrations for sulfate calculated for the long-term (1969-2019) and recent (2008-2019) period of record, respectively. Most wells were below the water quality objective, though several wells had concentrations just below the water quality objective. In general, the lowest observed concentrations are in the Mira Monte/Meiners Oaks Area. Since bedrock contributions are the primary source of sulfates in the water, the relatively lower concentrations in the Mira Monte/Meiners Oaks Area are indicative of older water that has not flowed over or through (fractured) bedrock.
Figures 3.1-33 and 3.1-34 show median concentrations for chloride calculated for the long-term (1975-2019) and recent (2008–2019) period of record, respectively. With one exception, chloride concentrations in the Basin are below the water quality objective, with the concentrations generally less than 50 mg/L near Ventura River and slightly higher concentrations in the Mira Monte/Meiners Oaks Area. Compared
to the basin-wide trends, well 04N23W15B01S stands out as an anomaly and showed chloride concentrations consistently above the water quality objective of 100 mg/L, though with limited data coverage. This well does not have sufficient data in recent years to calculate trends from 2008-2017.
Figures 3.1-35 and 3.1-36 show median concentrations for boron calculated for the long-term (1975-2019) and recent (2008-2019) period of record, respectively. Boron concentrations tend to be highest in the Kennedy Area with notably lower concentrations elsewhere in the Basin that are generally below the water quality objective. Higher concentrations in the Kennedy Area are related to geologic sources to surface flows (primarily in the Matilija Creek) upstream of the basin (DWR, 1933; DWR, 1956; DWR, 1959).","Page 49-50 / 3.1.3.3
Figures 3.1-27-3.1-36
Appendix I","
1. Are all concerning constituents identified as COC's, Yes/No -->which ones?
Yes; Nitrate, TDS, sulfate, chloride, boron
2. Are the COC's mapped?
Yes
3. Is there spatial trend data for all COC's?
Yes
4. Are constitues which are not of concern identified?
No
5. Is there a data gap/ Or not enough data related COC's?
Not that I can tell
Nitrate, TDS, sulfate, chloride, and boron were each mapped spatially and temporally. Some trends and patterns are mentioned in the text and the plan states that most constituents are below the basin's WQ objective at nearly all monitoring sites. Data was gathered from 39 wells and 3 surface water monitoring stations, 1975- 2019. No mention of other COC's, please provide explanation of the monitoring of other characteristics.


",
Martha,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",Somewhat,"The community is served by Casitas Mutual Water Company, Ventura River Water District, and Casitas Municipal Water District, the latter two being signatory members to the JPA Agreement forming the Agency.",Page 26 / 2.3.1,"Water sources are mentioned, but no percentage/ratio of GW given or broken down by DAC",
Becky,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"The Ventura River within the UVRGB is characterized by complex surface water and groundwater interactions with significant variability in space and time. Section 3.1.3.2 discusses how the reaches of the Ventura River within the UBRGB hydrogeologic areas typically exhibit gaining and losing characteristics. Figure 3.2-11 shows the flow conditions of the Ventura River with general areas where the river is generally losing or gaining and whether it is expected to be connected or disconnected with the water table. The CMWD and UVRGA (Kear, 2020a) have mapped the latitudinal limits of Ventura River flows along different sections of the river from through frequent field reconnaissance and ground positioning system (GPS) mapping. Figures 3.2-12 and 3.2-13 collectively show the extents of the wet, intermittent, and dry reaches of the Ventura River from 2009 through 2019. Figures 3.2-11 to 3.2-13 show that the Ventura River is perennially wet in the Kennedy Area (north of the Robles Diversion), where it typically loses water to the groundwater system. Groundwater levels in well 05N23W33B03S near the Ventura River channel (Figure 3.2-05) range from 810 to 790 ft amsl. Ground surface elevations along the Ventura River channel near this well are approximately 810 ft amsl in this area (Figure 3.1-04 and 3.2-03). Similarly, groundwater levels in well 05N23W33G01S (approximately 700 ft south of 05N23W33B03S) range from 800 to 790 ft, with ground surface elevations along the Ventura River channel near the well approximately 800 ft. Hence, it is expected that the Ventura River is connected to the groundwater system during high water level conditions in areas where the streambed is below the groundwater elevations. During low groundwater level conditions, the Ventura River may still percolate and recharge the groundwater system but may no longer be connected depending on local the groundwater levels and streambed elevations. The Kennedy Area has limited groundwater storage and the recharged groundwater flows rapidly downgradient into the Robles Area. Due to the sudden drop in bedrock elevations past the Kennedy Narrows, groundwater elevations drop correspondingly in the Robles Area. Consequently, surface flows form the Kennedy Area rapidly infiltrate into the groundwater in the Robles Area. The Ventura River within the Robles Area is mostly dry south of the Robles Diversion, except under stormflow conditions, when flows in the Ventura River exceed the infiltration rate along the riverbed. Observed groundwater levels are well below ground surface (Figures 3.2-03 and 3.2-05), indicating that the groundwater system is disconnected from the Ventura River in the Robles Area, even during high groundwater level conditions; however, there is the possibility that the Ventura River and the water table are transiently and briefly connected in the Robles Area. During high groundwater level conditions (typically after big storms), groundwater can get connected to some segments of the Ventura River intermittently for brief periods of time; however, as water levels decline the water table in the Robles Area gets disconnected from the Ventura River (Appendix H). A series of snapshots from an animation showing a cross section along the Ventura River depicting simulated groundwater levels and river conditions for 2011-2017 is provided in Appendix J, and the animation can be viewed through the following link: <https://uvrgroundwater.org/uvrga_animation_historic_sidebyside/>. In the northern part of the Santa Ana Area, the Ventura River is still predominantly dry and losing when wet. The groundwater/surface-water interconnection in this Area is likely transient and spatially variable, depending on the relative elevations of the streambed and groundwater levels. Groundwater and the Ventura River are generally connected, and surface water flow is generally perennial in the Casitas Springs Area, although some intervening dry stretches exist within this area. The Ventura River gains water from San Antonio Creek at the San Antonio Creek confluence. Upstream and downstream of this confluence, bedrock is shallow, and the lateral extent of the alluvium is also restricted (Figure 3.1-10a and 3.1-10b), the groundwater daylights and begins discharging to the Ventura River in the northern part of the Casitas Springs Area. The numerical model was used to estimate historical interconnected surface water (ISW) depletions of the Ventura River. This was done by comparing streamflows under the calibrated historical period with streamflows from an alternative historical simulation without any groundwater pumping (all other recharge/discharge processes were kept the same as the calibrated historical model). The difference in streamflows is indicative of ISW depletions due to groundwater pumping in the basin. Appendix N shows streamflow depletions at select locations along the Ventura River. Table 3.2-01 summarizes historical surface water flow and depletions for these locations. Model results show that there are little to no depletions in the Robles and Santa Ana Areas as flows are dominated by stormflows in the winter and spring (hence, not significantly impacted by groundwater pumping). ISW depletions in the Casitas Springs Area (near the Confluence with San Antonio Creek and at the Foster Park gauge), range from 1 to 7 cfs, depending on the time of the year and water level conditions.

&&

Model calibration entailed adjusting model hydraulic parameters via trial and error to match simulated and observed groundwater levels and streamflows over the historical period from January 2005 to September 2019. Model parameters adjusted during calibration included: spatially varying hydraulic conductivities for both layers; specific yields for both layers; riverbed conductance (specified in the SFR package); river flow-stage and flow-width relationships; and HFB conductivities. During initial testing of the model, simulated groundwater levels were seen to be “flooding” above ground surface in the area where the bedrock outcrops near the Ventura River in the Robles area (Figures 2.1a and 2.1b) narrowing the river floodplain, thus restricting groundwater flows. Bedrock elevations were lowered in this area by to reduce flooding and allow groundwater to flow more easily through the narrows. This is an area with no well logs to define bedrock elevations within the river floodplain, hence there is uncertainty with respect to the bedrock surface in this area. Observed groundwater elevations were available from 48 groundwater wells in the Basin. Figure 13.1 shows the wells with water level records used for model calibration. Of these, several (31) were clusters of shallow environmental monitoring wells located in the north-east portion of the Mira Monte/Meiners Oaks area. The remaining 17 wells were located across the Basin, within or at the edge of the River floodplain.","Page 64-65 / 3.2.6
Appendix F Page 15 / 13
Table 3.2-01
Figure 3.2-03, 3.2-04, 3.2-05, 3.2-11, 3.2-12, 3.2-13; Figure 13.1 and Figures 13.2a-g / Appendix F
All of Appendix J/animation found by following link in relevant text","1. Is there a clear map of ISWs? Yes, figure 3.2-11 shows ""generally"" connected and disconnected segments of stream.
2. Was temporal variability and used and described? Somewhat - model used temporal data but uncertain of range. Figure 3.2-13 shows temporal variability from 2018-2020. Included in text is an ainimation of 2011-2017 water levels in relation to streams, but no description in text. 
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? Somewhat - Appendix F clearly explains the groundwater monitoring sites used in the model and provides hydrographs of each but lack of description in the ISW section. No mention of screening depths.",
Becky,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Yes,"Figures 3.2-11 to 3.2-13 show that the Ventura River is perennially wet in the Kennedy Area (north of the Robles Diversion), where it typically loses water to the groundwater system. Groundwater levels in well 05N23W33B03S near the Ventura River channel (Figure 3.2-05) range from 810 to 790 ft amsl. Ground surface elevations along the Ventura River channel near this well are approximately 810 ft amsl in this area (Figure 3.1-04 and 3.2-03). Similarly, groundwater levels in well 05N23W33G01S (approximately 700 ft south of 05N23W33B03S) range from 800 to 790 ft, with ground surface elevations along the Ventura River channel near the well approximately 800 ft. Hence, it is expected that the Ventura River is connected to the groundwater system during high water level conditions in areas where the streambed is below the groundwater elevations. During low groundwater level conditions, the Ventura River may still percolate and recharge the groundwater system but may no longer be connected depending on local the groundwater levels and streambed elevations. The Kennedy Area has limited groundwater storage and the recharged groundwater flows rapidly downgradient into the Robles Area. Due to the sudden drop in bedrock elevations past the Kennedy Narrows, groundwater elevations drop correspondingly in the Robles Area. Consequently, surface flows form the Kennedy Area rapidly infiltrate into the groundwater in the Robles Area. The Ventura River within the Robles Area is mostly dry south of the Robles Diversion, except under stormflow conditions, when flows in the Ventura River exceed the infiltration rate along the riverbed. Observed groundwater levels are well below ground surface (Figures 3.2-03 and 3.2-05), indicating that the groundwater system is disconnected from the Ventura River in the Robles Area, even during high groundwater level conditions; however, there is the possibility that the Ventura River and the water table are transiently and briefly connected in the Robles Area. During high groundwater level conditions (typically after big storms), groundwater can get connected to some segments of the Ventura River intermittently for brief periods of time; however, as water levels decline the water table in the Robles Area gets disconnected from the Ventura River (Appendix H).

&& In the northern part of the Santa Ana Area, the Ventura River is still predominantly dry and losing when wet. The groundwater/surface-water interconnection in this Area is likely transient and spatially variable, depending on the relative elevations of the streambed and groundwater levels. Groundwater and the Ventura River are generally connected, and surface water flow is generally perennial in the Casitas Springs Area, although some intervening dry stretches exist within this area. The Ventura River gains water from San Antonio Creek at the San Antonio Creek confluence. Upstream and downstream of this confluence, bedrock is shallow, and the lateral extent of the alluvium is also restricted (Figure 3.1-10a and 3.1-10b), the groundwater daylights and begins discharging to the Ventura River in the northern part of the Casitas Springs Area.","Page 64 && 65 / 3.2.6
Table 3.2-01
Figure 3.2-11
Appendix H","1. Are ISWs mapped in the basin? Yes 
2. Is the mapping consistent with the assessment? Yes - Conclusions seem to be consistent with the assessment. Spatial and temporal details are given about ISWs in the basin. Even though the plan categorizes ISW as ""generally connected"", which is vague, the plan seems to have done a thorough analysis with available data",Changed from somehwat to yes because I think the plan did a pretty good job assessing ISWs with the data they had
Becky,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","no aquifers are acknowledged; shallow aquifer is acknowledged, but not considered principle for reasons like not the main pumping aquifer = no
All principal shallow aquifers are not acknowledged in ISW section (if multiple exist) = somewhat
Adequate data from shallow aquifer(s) is used in defining ISWs and all principal shallow aquifers are acknowledged= yes","principal aquifer, shallow ",Yes,"One principal aquifer, consisting of the Holocene and Pleistocene alluvial deposits within the basin boundary, is currently recognized in the UVRGB (DWR, 2016). The bedrock formations that underlie the aquifer (such as the Sespe Formation, Rincon Shale, and Monterey Formation) have low permeability and are not known to yield significant amounts of groundwater within the UVRGB but may be sufficient for limited domestic supplies.","Page 40 / 3.1.3
","1. Are all shallow aquifers acknowledged in the ISW section (if multiple exist)? yes - one unconfined aquifer
2. Does the plan consider the shallow aquifer(s) as principal aquifer(s)? Yes
",
Becky,,,Environment,2,Were data gaps identified when mapping ISWs?,"no data gaps identified when there is an obvious lack of data = no
1) Vague and/or confusing mention of lacking information 2) Mention of ISW data gaps in separate section in GSP. = somewhat
Clear description of where data gaps exist (temporally and spatially) in ISW section or Data Gaps Section following the assessment= yes","Interconnected surface water, ISW",Somewhat,"Streamflow data along the Ventura River are available at the 607 gage (located just downgradient of the Robles Diversion) and the Foster Park station (gage 608). While continuous and recent streamflow data is available from the Foster Park station, data from gage 607 was not available past 2017 due to delays in reporting by CMWD. This is not considered a significant data gap or uncertainty. These data will be incorporated into the modeling when CMWD publishes. Flow conditions in the Ventura River are characterized by a high degree of spatial and temporal variability, with the Ventura River often ceasing to flow in summer and fall in the Robles and Santa Ana areas and with different reaches of the Ventura River losing or gaining to the aquifer (Section 3.1.1.2 and 3.1.3.2). Ventura River flow conditions have been mapped historically by CMWD and UVRGA (Figures 3.2-12 and 3.2-13) and this was used as qualitative information during model calibration (Appendix F). However, due to the lack of streamflow gages between the Robles Diversion and the Foster Park station, there remains some uncertainty in quantifiable streamflows and streamflow depletions in the stretches of the Ventura River between the Robles Diversion and the Foster Park gage. Additional streamflow gages along the Ventura River would improve the understanding and refine the modeling of streamflows and surface-water/groundwater interactions within the UVRGB.
&&
The primary locations of groundwater recharge and discharge are adequately identified in the GSP and are not a data gap. It is acknowledged that there is considerable variability in the extents of the recharge and discharge areas over time.",Pages 52-53 / 3.1.4,"1. Were data gaps identified? Yes - Data gaps/uncertainties acknowledged, plans to fill data gap at at least one gage
2. Were the data gaps identifed in the ISW section? No - Data gaps are identified in Sections 3.1.4 - Data Gaps and Uncertainty - and not directly in ISW section.",
Becky,,,Environment,2,"In the case of data gaps and uncertainty, were streams mapped and described as potential ISWs in the GSP? If ISWs are adequately mapped and there is no uncertainty in the ISW mapping, then select ""Not Applicable"".","no description or map of potential ISWs = no
1) partial inclusion of potential ISWs 2) only a description but no map or vice versa = somewhat
All uncertainties and data gaps are clearly described and mapped temporarily and spatially= yes","Interconnected surface water, ISW, data gap",Somewhat,"Observed groundwater levels are well below ground surface (Figures 3.2-03 and 3.2-05), indicating that the groundwater system is disconnected from the Ventura River in the Robles Area, even during high groundwater level conditions; however, there is the possibility that the Ventura River and the water table are transiently and briefly connected in the Robles Area. During high groundwater level conditions (typically after big storms), groundwater can get connected to some segments of the Ventura River intermittently for brief periods of time; however, as water levels decline the water table in the Robles Area gets disconnected from the Ventura River (Appendix H). A series of snapshots from an animation showing a cross section along the Ventura River depicting simulated groundwater levels and river conditions for 2011-2017 is provided in Appendix J, and the animation can be viewed through the following link: <https://uvrgroundwater.org/uvrga_animation_historic_sidebyside/>. In the northern part of the Santa Ana Area, the Ventura River is still predominantly dry and losing when wet. The groundwater/surface-water interconnection in this Area is likely transient and spatially variable, depending on the relative elevations of the streambed and groundwater levels. Groundwater and the Ventura River are generally connected, and surface water flow is generally perennial in the Casitas Springs Area, although some intervening dry stretches exist within this area. The Ventura River gains water from San Antonio Creek at the San Antonio Creek confluence. Upstream and downstream of this confluence, bedrock is shallow, and the lateral extent of the alluvium is also restricted (Figure 3.1-10a and 3.1-10b), the groundwater daylights and begins discharging to the Ventura River in the northern part of the Casitas Springs Area","Page 64 / 3.2.6
Figure 3.2-11
Appendix P Figure 2","1. Is there a map AND description of pISW? Somewhat - Figure 3.2-11 did not map them as ""potential"" but they used: Losing, generally disconnected, gaining reach with generally interconnected, variabily losing or gaining reach with intermittent connection. It is clear that data gaps exist, but the map does not necessarly reflect where potential ISWs are. The text also did not mention potential or uncertainty in the spatial and/or temporal asessment of ISWs. A more detailed ISW analysis should include the potential ISW areas to highlight where data is missing.",
Becky,,Groundwater Dependent Ecosystems (GDE),Environment,1,"Is there an inventory, map, or description of fauna (e.g., birds, fish, amphibian) and flora (e.g., plants) species or habitat types in the basin's GDEs? Please indicate in the notes if threatened and endangered species are identified in the GSP.","No description of flora and fauna in GDEs = no
1) lacking in either maps/description/inventory of flora and/or fauna 2) no mention of endandgered/threatened species= somewhat
Detailed inventory, maps, or description of flora AND fauna in GDEs. Also, Inclusion of any threatened and/or endangered species in the basin.= yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, habitat, species",Yes,,"Appendix O Tables 5,6
Appendix O Figures 1,7
Appendix O's Appendix B
Appendix P Table 2
Appendix P Figure 4","1. Does the plan present the flora AND fauna in the basin's GDEs? Habitat types? Yes - Description in GDE section of main vegetation in the GDEs (including aquatic GDEs). Appendices O and P include figures, tables, and descriptions of flora and fuana. Included is table 5 and table 6 which present the special status wildlife in the two accepted GDEs. 
2. Does the plan acknowledge endangered/threatened/special status species in GDEs? Yes - Appendix B (of Appendix O)- Evaluation Criteria and List of Special Status Species with Potential to Occur in the UVRGB",
Becky,,,Environment,1,"Were GDEs in the basin identified (mapped) and described in the GSP using best available data (e.g., NC dataset, localized VegMap data)? Please describe which data were used in the Notes.","No map of GDEs (or wetlands, riparian veg, etc.) = no
1) Map of NC dataset polygons with NDMI but no specific GDE maps, 2) Maps of GDEs but unclear data/methods used = somewhat
GSP used NC dataset or a localized vegMap to describe and map GDEs = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, VegMap",Yes,"This section describes the current best available information concerning potential groundwater dependent ecosystems in the Basin. This understanding is primarily informed by regional information collected from sources including (1) The Nature Conservancy (TNC) and DWR statewide database of indicators of groundwater dependent ecosystems (iGDEs) and supporting data and documentation, 2) descriptions of vegetation alliances from the USDA’s Classification and Assessment with Landsat of Visible Ecological Groupings (CALVEG) which generally correspond with the Natural Communities Commonly Associated with Groundwater (NCCAG) classifications discussed below and 3) the Ventura River Watershed Management Plan, (4) review of available reports and studies, (5) review of aerial photos, and (6) consultation with local biologists having extensive experience working thin the Basin. Ecosystem and vegetation species data specific to the UVRGB is limited. However, where possible, effort was made to provide information specific to the UVRGB (Figure 3.2-14). This GSP divides GDEs into two groups: (1) Riparian GDEs, which are associated with the chronic lowering of groundwater levels sustainability indicator and (2) Aquatic GDEs, which are associated with the depletions of interconnected surface water sustainability indicator.
&&
 Modeled groundwater levels from the UVRGA GSP numerical model provided spatially distributed depth to water (DTW) measurements throughout the basin to overlay with the iGDEs. To evaluate groundwater access for potential riparian GDEs over changing DTW conditions, varying climatic conditions were selected from the numerical model output. Water years 2005, 2010, and 2015 were selected to represent wet, average, and dry precipitation conditions, respectively.2 Model outputs of the highest and lowest DTW conditions for each modeled year were exported to GIS for spatial analysis. This provided six hydrologic conditions that could be evaluated against plant rooting depths, corresponding with the high and low DTW value for the wet, average, and dry water years (wet-high, wet-low, average-high, average-low, dry-high, and dry-low). GIS Spatial Analysis of Maximum Rooting Depth and Groundwater Level A GIS spatial analysis was conducted to intersect the maximum rooting depths associated potential riparian GDEs to the six DTW categories. Table 3 presents the criteria used to screen the potential riparian GDEs based on the results from this spatial analysis. If maximum rooting depths were always deeper than the lowest DTW condition, that potential riparian GDE was classified as likely to be groundwater dependent and groundwater dependency was verified to include the confirmed riparian GDE in the UVRGB Riparian GDE map. When maximum rooting depth was never deeper than the highest DTW conditions, that potential GDE was classified as unlikely to be groundwater dependent and was excluded from the UVRGB Riparian GDE map. If maximum rooting depth for a potential riparian GDE was deeper than any of the DTW conditions (i.e., deeper than at least one hydrologic condition), it was assumed that groundwater dependency could be possible and additional evaluation of groundwater level, maximum rooting depth, and location-specific characteristics was completed.
&&
Two potential riparian GDE units were confirmed as groundwater dependent and are considered further in the GSP: (1) South Santa Ana GDE Unit and (2) Foster Park GDE Unit (Figure 3.2-15).
&&
Five Aquatic GDEs were identified within the UVRGB: the South Robles Critical Riffle, the South Santa Ana Critical Riffle, the North Robles Habitat Area, the Confluence Habitat Area, and the Foster Park Habitat Area (Figure 3.2-16). Details concerning of these Aquatic GDEs and their importance for aquatic species within the UVRGB are described in (Appendix P).
","Page 65 / 3.2.7.1 && 
Page 7 / Appendix O &&
Page 67 / 3.2.7.2.1 &&
Page 68 / 3.2.7.2.2 (incorectly labeled in the GSP as a second 3.2.7.2.1)

Figure 3.2-14to17
Appendix O Table 1, Page 3; Table 4, Page 15
Appendix O Figure 6, Page 14
Appendix P Figure 3, Page 6","1. Is there a map? Yes - Figure 6 in Appendix O and Figure 3 in Appendix p map identified GDEs within the basin.
2. Is there a description of data sources and processing? (describe in notes)  Yes -Complete description of what datasets were used is in Appendix O. They used NCCAG dataset, Groundwater elevation and model output, Aerial imagery, Vegitation maps dataset and maximum rooting depth",
Becky,,,Environment,1,Was depth-to-groundwater data from the underlying principal aquifer used to verify the NC dataset?,"No groundwater depth data described = no
Groundwater measurements used but lack of detail in describing depth to groundwater data. Also there might be a lack of information on which aquifer the data is from. = somewhat
depth to groundwater is clearly used and description of spatial/temporal data is included = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, depth to groundwater",Somewhat,"Some occurrences of Coast Live Oaks were screened out based on comparison of rooting depths with groundwater level data and model generated water table contours. The remaining occurrences of Coast Live Oaks were reviewed by the GSP Development Team and eliminated due to the lack of alluvial groundwater where the trees are located. The Coast Live Oaks in these areas are sustained by shallow perched groundwater, bedrock groundwater, or surface water in the associated drainages. In other words, pumping in the UVRGB cannot impact these trees.
 &&
Modeled groundwater levels from the UVRGA GSP numerical model provided spatially distributed depth to water (DTW) measurements throughout the basin to overlay with the iGDEs. To evaluate groundwater access for potential riparian GDEs over changing DTW conditions, varying climatic conditions were selected from the numerical model output. Water years 2005, 2010, and 2015 were selected to represent wet, average, and dry precipitation conditions, respectively.2 Model outputs of the highest and lowest DTW conditions for each modeled year were exported to GIS for spatial analysis. This provided six hydrologic conditions that could be evaluated against plant rooting depths, corresponding with the high and low DTW value for the wet, average, and dry water years (wet-high, wet-low, average-high, average-low, dry-high, and dry-low).","Page 66 / 3.2.7.1
Appendix O, Page 7 / 2.3
Appendix O Figures 9,10, Page 25-26","1. Is data from shallowest principal aquifer used? Somewhat - More information is needed whether or not shallow perched aquifer should be considered principal aquifer. Coastal live oak has rooting depth of 35 feet. It is possible the model is not modeling shallow perched groundwater since one unconfined aquifer. Multi completion model that can show vertical groundater gradient is needed.
2. Is there a description of the data? (spatial, temporal, proximity to GDEs?) Somewhat -  Groundwater depths were used, but not enough detail given. Appenidx O includes hydrographs from 1985-2018 showing groundwater levels compared to NDMI for for riparian GDE units. Descripton of well locations and screening depth should be included in the GDE section 
",
