Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
Martha,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","no = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"Underrepresented communities (URCs) and Disadvantaged Communities (DACs). Underrepresented communities and Disadvantaged Communities include the City of Greenfield, the City of Salinas, Castroville CSD, San Jerardo Cooperative, San Ardo Water District, San Vicente Mutual Water Company, Environmental Justice Coalition for Water

&&

SVBGSA seeks to engage more constructively with URCs and DACs moving forward in subbasin planning processes and ultimately GSP implementation. In August 2019, SVBGSA hired the Consensus Building Institute (CBI) to conduct an assessment with URC and DAC community leaders via formal interviews. The purpose of the assessment was to capture insights and recommendations to inform an engagement strategy for URCs and DACs. CBI conducted 14 interviews and summarized findings from the assessment to identify initial strategic steps for work with URCs and DACs for GSP planning and implementation. Based on this work, an initial set of short and middle term actions to complete from January 2021-August 2021 was identified and work has begun on these items during the GSP development period and will be operational for implementation in Fall 2021. The Board affirmed these short and middle term actions on February 11, 2021 and are intended for focus during implementation of the GSP. Middle and. long-term actions with Underrepresented communities were identified for 2022. The Spectrum of Community to Ownership will be utilized as a guide in further shaping SVBGSA work with URCs and DACs communities in the Basin in consultation with community leaders. 

There are a variety of audiences targeted within the Basin whose SGMA knowledge varies from high to little or none. Given this variance, SVBGSA efforts are broad and all-inclusive. Target audiences include: • SVBGSA Board, Advisory Committee and Subbasin Planning Committees• SVBGSA Groundwater Sustainability Fee Payers • Partner agencies including Monterey County Environmental Health Department, County of Monterey, MCWRA, and the Greater Monterey County Regional Water Management Group (RWMG) • Municipal and public water service providers Eastside Aquifer Subbasin GSP 2-14 August 12, 2021 • Private and local small or state small water system providers • Local municipalities: Cities of Salinas, Gonzales, and the community of Chualar • Elected officials within the Basin • Beneficial uses and users of groundwater including, agriculture, domestic wells and local small or state small water systems, and environmental uses such as wetlands • Diverse social, cultural, and economic segments of the population within the Basin including Underrepresented Communities • The general public Stakeholder involvement and public outreach is critical to the GSP development because it helps promote the plan based on input and broad support. The following activities summarize involvement opportunities and outreach methods to inform target audiences and stakeholders. It is important to note that levels of interest will evolve and shift according to the GSP’s
implementation opportunities and priorities.","2-2
2-18","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement = Inform & Involve
3. Evidence/strategies listed for level of engagement:

Several targetted engagement opportunities are listed for DACs that have been used during GSP development with the intention to use during implementation as well. It is important to note that these are the same staegies used throughout all the GSPs by the Salinas Valley GSAs. "
Martha,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"The Advisory Committee, at this time, does not include representation from: • Tribes

&&
The Subbasin also does not contain any tribal lands (RWMG, 2018).","2-2 
3-3","1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:

NOT APPLICABLE"
Martha,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"• Environmental organizations. Environmental organizations that are stakeholders include Sustainable Monterey County, League of Women Voters of Monterey County, Landwatch Monterey County, Friends and Neighbors of Elkhorn Slough, California Native Plant Society Monterey Chapter, Trout Unlimited, Surfriders, the Nature Conservancy and the Carmel River Steelhead
Stakeholders associated with these beneficial users and uses include the following. These users
are also represented on the SVBGSA Board and Advisory Committees as described in the next
section.

Environmental Users. Environmental users include the habitats and associated species maintained by conditions related to surface water flows such as steelhead trout and groundwater dependent ecosystems (GDE) including brackish and freshwater marsh and riparian habitats. Environmental users include native vegetation and managed wetlands.

There are a variety of audiences targeted within the Basin whose SGMA knowledge varies from high to little or none. Given this variance, SVBGSA efforts are broad and all-inclusive. Target audiences include: • SVBGSA Board, Advisory Committee and Subbasin Planning Committees• SVBGSA Groundwater Sustainability Fee Payers • Partner agencies including Monterey County Environmental Health Department, County of Monterey, MCWRA, and the Greater Monterey County Regional Water Management Group (RWMG) • Municipal and public water service providers Eastside Aquifer Subbasin GSP 2-14 August 12, 2021 • Private and local small or state small water system providers • Local municipalities: Cities of Salinas, Gonzales, and the community of Chualar • Elected officials within the Basin • Beneficial uses and users of groundwater including, agriculture, domestic wells and local small or state small water systems, and environmental uses such as wetlands • Diverse social, cultural, and economic segments of the population within the Basin including Underrepresented Communities • The general public Stakeholder involvement and public outreach is critical to the GSP development because it helps promote the plan based on input and broad support. The following activities summarize involvement opportunities and outreach methods to inform target audiences and stakeholders. It is important to note that levels of interest will evolve and shift according to the GSP’s
implementation opportunities and priorities. ",2021-02-02 00:00:00,"
1. Environmental Stakeholders identified? YES
2. Which level of engagment: ENGAGEMENT=Inform & involve
3. Evidence/strategies listed for level of engagement:

Although the GSP does identify several environmental organizations and mentions that at least one environmental organization is representing stakeholders by being a part of the GSP Advisory Committee, there are no other details of who this Advisory member/organization is or what their level of engagement has been. More details are needed. "
Martha,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"Additional activities scoped for engagement of Underrepresented Communities and Disadvantaged Communities include: • Conduct workshops with partners on importance of water and groundwater sustainability • Identify URC and DAC concerns and needs for engagement • Plan listening sessions around GSA milestones • Coordinate with partner organizations to develop a “resource hub” where people can go for support • Identify community allies in groundwater engagement work and bring down barriers for participation • Consider particular URC and DAC impacts during routine GSA proceedings • Convene a working group on domestic water, including URCs and DACs. 

&&

SVBGSA utilizes a variety of tactics to achieve broad, enduring, and productive involvement with stakeholders during the development of the GSP. Below are activities that SVBGSA uses to engage the public currently and anticipated activities for GSP implementation: • Develop and maintain a list of interested parties • Offer public informational sessions and subject-matter workshops and provide online access via Facebook Live or via Zoom • Basin tours (currently on hold due to COVID restrictions) • SVBGSA Map Portal • Salinas Valley Subbasin GSP Web Map • Eastside Subbasin Area Web Map • Annual Report presentations • FAQS – Offer FAQs on several topics including SGMA, SVBGSA, GSP, projects, Monitoring Program, Annual Report, Programs and Groundwater Sustainability Fee • Science of Groundwater – new examples (studies, etc.) • Board, Advisory Committee, and other Committee Meetings o Regular public notices and updates; Brown Act compliance o Develop talking points for various topics and evolve as necessary • Subbasin Implementation Committees  Each subbasin’s planning committee for GSP development will transition to a subbasin implementation committee to be convened for GSP updates and annual report reviews. • Integrated Implementation Committee o The Integrated Implementation Committee will be convened to discuss Basin wide aspects to the 6 GSPs in the Basin including public outreach. • Online communications o SVBGSA website: maintain with current information o SVBGSA Facebook page: maintain and grow social media presence Eastside Aquifer Subbasin GSP 2-16 August 12, 2021 o Direct email via Mailchimp newsletter • Mailings to most-impacted water users and residents – topics to include: Annual Report dashboard, What does your GSA do with the Sustainability Fee?, newsletter that accompanies each tax bill. • Media coverage. Appendix 2C includes SVBGSA’s media policy. o Op-eds in the local newspapers o Press releases o Radio interviews • Promote/Celebrate National Groundwater Week (held in December) • Co-promotional opportunities and existing channels with agencies, committees, and organizations including email newsletters, social media, board meetings and mailings to customers. • Talks and presentations to various stakeholder groups, associations, community organizations, and educational institutions. • Educational materials","2-20, 2-15-16","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for DACs?  ( yes/no) YES
3. What level of outreach engagement? Engagement= Inform & Involve

Similar to the rest of the GSPs in Salinas Valley, they all used a similar appendix solely dedicated to explaining the DAC situation in the Basin. The GSP does document targetted and specific engagement opporutnities that have been used during development with clear intention to continue using during implementation. The GSP also documents how all interested stakeholders can engage and methods of outreach during implementation. "
Martha,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  ( yes/no)
3. What level of outreach engagement? "
Martha,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"Environmental Users. Environmental users include the habitats and associated species maintained by conditions related to surface water flows such as steelhead trout and groundwater dependent ecosystems (GDE) including brackish and freshwater marsh and riparian habitats. Environmental users include native vegetation and managed wetlands. Stakeholders associated with these beneficial users and uses include the following. These users are also represented on the SVBGSA Board and Advisory Committees as described in the next section. • Environmental organizations. Environmental organizations that are stakeholders include Sustainable Monterey County, League of Women Voters of Monterey County, Landwatch Monterey County, Friends and Neighbors of Elkhorn Slough, California Native Plant Society Monterey Chapter, Trout Unlimited, Surfriders, the Nature Conservancy and the Carmel River Steelhead

SVBGSA utilizes a variety of tactics to achieve broad, enduring, and productive involvement with stakeholders during the development of the GSP. Below are activities that SVBGSA uses to engage the public currently and anticipated activities for GSP implementation: • Develop and maintain a list of interested parties • Offer public informational sessions and subject-matter workshops and provide online access via Facebook Live or via Zoom • Basin tours (currently on hold due to COVID restrictions) • SVBGSA Map Portal • Salinas Valley Subbasin GSP Web Map • Eastside Subbasin Area Web Map • Annual Report presentations • FAQS – Offer FAQs on several topics including SGMA, SVBGSA, GSP, projects, Monitoring Program, Annual Report, Programs and Groundwater Sustainability Fee • Science of Groundwater – new examples (studies, etc.) • Board, Advisory Committee, and other Committee Meetings o Regular public notices and updates; Brown Act compliance o Develop talking points for various topics and evolve as necessary • Subbasin Implementation Committees  Each subbasin’s planning committee for GSP development will transition to a subbasin implementation committee to be convened for GSP updates and annual report reviews. • Integrated Implementation Committee o The Integrated Implementation Committee will be convened to discuss Basin wide aspects to the 6 GSPs in the Basin including public outreach. • Online communications o SVBGSA website: maintain with current information o SVBGSA Facebook page: maintain and grow social media presence Eastside Aquifer Subbasin GSP 2-16 August 12, 2021 o Direct email via Mailchimp newsletter • Mailings to most-impacted water users and residents – topics to include: Annual Report dashboard, What does your GSA do with the Sustainability Fee?, newsletter that accompanies each tax bill. • Media coverage. Appendix 2C includes SVBGSA’s media policy. o Op-eds in the local newspapers o Press releases o Radio interviews • Promote/Celebrate National Groundwater Week (held in December) • Co-promotional opportunities and existing channels with agencies, committees, and organizations including email newsletters, social media, board meetings and mailings to customers. • Talks and presentations to various stakeholder groups, associations, community organizations, and educational institutions. • Educational materials",,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  ( yes/no) NO
3. What level of outreach engagement? 

Engagement = Inform 


Although the GSP does identify several environmental organizations and mentions that at least one environmental organization is representing stakeholders by being a part of the GSP Advisory Committee, there are no other details of who this Advisory member/organization is or what their level of engagement has been. More details are needed. 

Outreach and engagement opportunities are outlined in the GSP but are vague and are meant for all interested parties. "
Martha,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Chapter 2 of GSP,Chapter 2 is presented as the Communications & Engagement Plan for the East Aquifer GSP.
Martha,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Yes,"The basin wide SVBGSA program area also has well documented DAC designation including seven Census Designated Places (CDPs), 60 Block Groups and 20 Tracts. Additionally, work conducted by the Greater Monterey County Integrated Regional Water Management Program (IRWMP) identified 25 small DACs, SDACs, and suspected disadvantaged communities in unincorporated areas of the IRWMP region (RWMG, 2018). Figure 2-3 shows where DACs, SDACs, and EDAs are located within the Salinas Valley Groundwater Basin, and Appendix 2D further describes DACs.","Figure 2-3
2-18","1. Location on the map? (yes/no) YES
2. Identified by name? (yes/no) YES
3. DAC places, tracks, or block data used in map?
DAC Places, Tracts, and Blocks used. "
Martha,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Not Applicable,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)
NOT APPLICABLE"
Martha,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,,,"1. Does the GSP document the size of the population for each DAC?
GSP does not document DAC populations. "
Martha,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
GSP does not include depth by location in domestic well map (only density map provided). "
Martha,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"Figure 3-8, Figure 3-9, and Figure 3-10 show the density of domestic, production, and public supply wells, respectively, in the Subbasin, with the production wells being inclusive of the public supply wells.",2021-03-13 00:00:00,"1. How are domestic wells mapped (density/point/none)?

Density Map is used to map domestic wells. "
Sara,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"The SVBGSA does not have regulatory authority over groundwater quality and is not charged with improving groundwater quality in the Salinas Valley Groundwater Basin. Projects and actions implemented by the SVBGSA are not required to improve groundwater quality; however, they must not further degrade it.&&&
Figure 5-22 shows a map of nitrate distribution in the Subbasin prepared by CCGC. The orange and red areas illustrate the portions of the Subbasin where groundwater has nitrate concentrations above the drinking water MCL of 45 mg/L as NO3.
Figure 5-23 shows maps of measured nitrate concentration from six decades of monitoring for the entire Salinas Valley Groundwater Basin. These maps, prepared by MCWRA, indicate that elevated nitrate concentrations in groundwater were locally present in the 1960s, but significantly increased in 1970s and 1980s. Extensive distribution of nitrate concentrations above the drinking water MCL, as shown on Figure 5-22, has been present in the Eastside Subbasin for 20 to 30 years.&&&
5.4.4 Groundwater Quality Summary
Based on the water quality information for the DDW and ILRP wells from GAMA groundwater information system, the following are the COC for drinking water supply wells in the Subbasin and will be included in the GSP monitoring program: • 1,2 dibromo-3-chloropropane • 1,2,3-trichloropropane • arsenic • benzo(a)pyrene • chloride • di(2-ethylhexyl) phthalate • dinoseb • hexachlorobenzene • iron • lindane • manganese • nitrate (as nitrogen) • nitrate + nitrite (sum as nitrogen) • specific conductance • sulfate • total dissolved solids • vinyl chloride The constituents of concern for agricultural supply wells that occur in the Subbasin and are known to cause reductions in crop production when irrigation water includes them in concentrations above agricultural water quality objectives include: • chloride • iron • manganese The COC for active cleanup sites listed in Table 5-2 are not part of the monitoring network described in Chapter 7. However, the status of these constituents at these sites will continue to be monitored by the DTSC or the CCRWQCB. Furthermore, the COC for these sites that have a  regulatory standard under Title 22 for drinking water wells, or the Basin Plan for irrigation supply wells will be monitored in the DDW and ILRP wells that are part of the monitoring network.","Page 5-30 / 5.4
Page 5-33/ 5.4.3
Page 5-38 / 5.4.4
Figure 5-21 thru 5-23
Table 5-3
Appendix 5-B","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? Yes • 1,2 dibromo-3-chloropropane • 1,2,3-trichloropropane • arsenic • benzo(a)pyrene • chloride • di(2-ethylhexyl) phthalate • dinoseb • hexachlorobenzene • iron • lindane • manganese • nitrate (as nitrogen) • nitrate + nitrite (sum as nitrogen) • specific conductance • sulfate • total dissolved solids • vinyl chloride The constituents of concern for agricultural supply wells that occur in the Subbasin and are known to cause reductions in crop production when irrigation water includes them in concentrations above agricultural water quality objectives include: • chloride • iron • manganese
2. Are the COC's mapped? Yes
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified? Everything is of concern
5. Is there a data gap/ Or not enough data related COC's? No mention

They have two clean up sites. Although they have mapped the constitutes, better mapping and map legend is needed. 





"
Martha,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",Yes,"As highlighted in the IWRM Plan, small disadvantaged communities in unincorporated areas often have small public water systems that serve fewer than 200 connections. The smallest of these communities have State Small Water Systems (SSWS), which serve between five and 14 connections); Local Small Water Systems (LSWS), which serve between two and four connections; and/or households served by private domestic groundwater wells. There is a significant difference in capacity, water supply, and infrastructure needs between a DAC served by a large water system (e.g., a large disadvantaged community of several thousand people, or a small disadvantaged community served by a large water utility) and a small disadvantaged community served by a small water system or by private wells. The State Water Resources Control Board (SWRCB) summarized these differences in its 2015 report, Safe Drinking Water Plan for California (SWRCB, 2015): • Small water systems have the greatest difficulty in providing safe drinking water because they are least able to address the threats to public health associated with water quality. • Larger water systems are better equipped to deal with water quality issues because they have more customers to fund the necessary improvements, have economy of scale, more technical expertise, better management skills and knowledge, are able to solve operational problems internally, and have dedicated financial and business-related staff. They generally have more sophisticated treatment and distribution system operators who are able to react to incidents and changes in treatment conditions that may occur during operations. • On the other hand, small systems, especially those in disadvantaged communities, have
only a small number of customers, which provides them with limited fiscal assets and no economy of scale. They often lack technical expertise, the ability to address many of the issues pertinent to operating a water system, as well as qualified management and financial and business personnel. In many instances, especially for very small water systems, the system operator may be just a part-time position.","Appendix 2D, Page 60 of 96","The GSP identifies where DACs within the Basin is receiving their water supply, mostly relying on private domestic wells but some relying on small local water systems as well as larger water systems. "
Becky,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"Figure 4-9 shows locations of ISW, in the Eastside Subbasin evaluated on a monthly basis over the entire model period from 1967 to 2017. The blue cells indicate areas where surface water is connected to groundwater for more than 50 percent of the number of months in the model period and are designated as areas of ISW. The clear cells represent areas that have interconnection less than 50 percent of the model period and require further evaluation to determine whether the SMC, discussed in Chapter 8, apply. In Figure 4-9 the gray cells show locations of canals, drains, or connectors and were excluded from the analysis. These ISW locations are based on simulated results from the preliminary SVIHM, which is calibrated to measured groundwater levels and streamflows. Although seepage along the ISW reaches is based on assumed channel and aquifer parameters as model inputs, the preliminary SVIHM is the best available tool to estimate ISW locations. The model construction and uncertainty are described in Chapter 6 of this GSP. This map does not show the extent of interconnection which is estimated in Chapter 5. Interconnection between surface water and groundwater can vary both in time and space. A seasonal analysis is included in Appendix 4A.

&& The preliminary SVIHM is used to map the potential locations of interconnected surface water (ISW), as described in Chapter 4 and shown in Figure 4-9. There is no data that verifies the location and extent of surface water connection to groundwater, nor the extent to which groundwater extraction depletes surface water. Therefore, this section describes the hydraulic principles that establish the relationship between surface water and groundwater, upon which the current conditions and monitoring network are based.

&& Depletion of interconnected surface water is estimated by evaluating the change in the modeled stream leakage with and without pumping (i.e. water flowing from the stream into the groundwater system). A model simulation without any groundwater pumping in the model (i.e., SVIHM with no pumping) was compared to the model simulation with groundwater pumping (i.e., SVIHM with pumping). The difference in stream depletion between the two models is the depletion caused by the groundwater pumping. This comparison was undertaken for the entire area of the Salinas Valley included in the model and also for the Subbasin. The stream depletion differences are only estimated for the interconnected segments identified in Figure 4-14. The methodology for quantifying stream depletion is described in detail by Barlow and Leake (2012). Depletion of interconnected sections of surface water bodies in the Subbasin is estimated for every month of the year. The Salinas River is not located in the Subbasin and, thus, is not included in this analysis. Table 5-4 shows the estimated annual average depletion of the interconnected surface water along the stream segments within the Subbasin shown on Figure 4-14 due to groundwater pumping. This is the average historical rate, and as discussed in Chapter 8, surface water depletions from groundwater use in the Subbasin should not increase from this rate, as measured by shallow groundwater levels.",Page 4-23 / 4.4.5.1; Figure 4-9 && page 5-43 / 5.6.2,"1. Is there a clear map of ISWs? Yes - figure 4-9
2. Was temporal variability and used and described? Yes - figure 4-9 presents the percentage of connection during model period (1967-2017) 
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? No - no description of where data is coming from in either ISW section (4.4.5.1 and 5.6.2). All that is said is the model is used. Looking ahead at section 7.7 (interconnected surface water monitoring network), figure 7-5 shows that there are no groundwater or surface water monitoring points in the basin. ISW assessment is reliant 100% on model interpolation over basin. "
Becky,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"The blue cells indicate areas where surface water is connected to groundwater for more than 50 percent of the number of months in the model period and are designated as areas of ISW. The clear cells represent areas that have interconnection less than 50 percent of the model period and require further evaluation to determine whether the SMC, discussed in Chapter 8, apply. In Figure 4-9 the gray cells show locations of canals, drains, or connectors and were excluded from the analysis. These ISW locations are based on simulated results from the preliminary SVIHM, which is calibrated to measured groundwater levels and streamflows. Although seepage along the ISW reaches is based on assumed channel and aquifer parameters as model inputs, the preliminary SVIHM is the best available tool to estimate ISW locations.

&& The SVIHM did not identify any ISW in the Subbasin, as shown in Figure 4-9.",Page 4-23 / 4.4.5.1 && page 7-16 / 7.7,"1. Are ISWs mapped in the basin?  Yes
2. Is the mapping consistent with the assessment? Somewhat - the plan concludes that some of the basin has ISWs, which are only when greater than 50% of model is connected over range of years. Less than 50% connection are said to need further evaluation. Very small number of cells are showing greater than 50% connection and the plan concludes that no ISW was identified in the basin in section 7.7. No information of data used in model - difficult to determine if these conlusions are correct"
