Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"1.5.10 Disadvantaged Communities
The COA and COR lying within the Enterprise and Anderson Subbasins are both DACs according to the
DWR DAC Mapping Tool. DWR has developed a web-based application (DAC Mapping Tool) to assist in evaluating DAC status throughout the State. This publicly available mapping tool shows DACs of California in funding areas as recognized pursuant to California Proposition 1 and Proposition 84. DAC Block Groups, Tracts, and Places depict data from the U.S. Census American Community Survey 2010-2018 showing census block groups identified as DACs (less than 80 percent of the state’s median household income [$56,982]) or severely disadvantaged communities (SDACs) (less than 60 percent of the state's median household income [$42,737]). Figures 1-2 through 1-4 present DACs and SDACs identified by the DWR DAC Mapping Tool in Places (DWR, 2021a; Figure 1-2), Tracts (DWR, 2021b; Figure 1-3), and Blocks (DWR, 2021c; Figure 1-4) in the greater Redding area. The U.S. Census designations are as follows:  Census Places – Populated areas that generally include one officially designated but currently unincorporated community, for which the Place is named, plus surrounding inhabited countryside of varying dimensions and, occasionally, other, smaller unincorporated communities as well.  Census Tracts – subdivisions of county of 4,000 people  Census Blocks – subdivisions of tracts of 1,500 people According to the DWR analysis presented on Figures 1-2 through 1-4, much of the Enterprise and Anderson Subbasins are designated as a DAC (light brown) or SDAC (dark brown), including COR and COA. In addition to being identified as DACs, COR and COA both have non-English-speaking Hispanic or Latino populations. The following population data for COR and COA have been retrieved from the U.S. Census Bureau’s data from 2015-2019.

&&

Table 1-6 (Page 1-21)
Shasta Health Center August 5, 2019
Suvee Semore, Center Manager
DAC of Anderson Spanishspeaking residents
Outreach Materials: Spanish/English public meeting announcement and Spanish SGMA brochure
Project brief, FAQ, timeline, and public meeting announcement for posting at Anderson and Redding Health Centers

&&

1.5.6 Public Meetings Related to GSP Development
The EAGSA convened a number of public meetings leading up to and related to GSP development. These included the following meetings and objectives:  Public Workshops – public outreach, solicitation of public comment  EAGSA Board Meetings – EAGSA formation, hearing public comment, GSP decision making, and decision making on how the GSP will respond to public comment 
1.5.6.1 Public Workshops 
The public outreach team convened two public workshops: an in-person workshop on October 16, 2019, and a virtual workshop on April 27, 2021. Table 1-3 lists EAGSA public workshops, outcomes, target audience, and attendance.

&&

1.5.9.1 Opportunities for Engagement
The EAGSA provided a variety of opportunities for public engagement and involvement including the following:  Information – Outreach materials – project description factsheet, frequently asked questions, EAGSA GSA development and implementation timeline (provided on the website), hardcopies of the project brief and schedule (provided at public workshops and to libraries and Shasta Health Centers), and Rural Community Assistance Corporation training. In addition, the outreach team provided the Spanish and English SGMA brochure to libraries and Health Centers in COA and COR. – The EAGSA partnered with organizations to write about the EAGSA and solicit comments and promote meetings in newsletters. • Shasta Tehama Watershed Education Coalition  Solicitation and documentation of comments – Public Workshops – solicited verbal comments, comment cards, and invited emails – EAGSA Board Meetings – public comment period – GSP Chapters – solicitation and documentation of comments via Google form survey – Invitation to email comments and letters – Targeted Briefings – meetings to present and solicit comments in small groups or one-on-one – Individual interviews – outreach interviews and follow-up interviews to clarify comments received in writing – GSP Public Comment Portal – solicitation and documentation of comments and responses on individual GSP chapters and the Draft GSP via the web-based tool housed on the EAGSA website 1.5.9.2 Encouragement of Active Involvement SGMA requires GSAs to consider the interests of all beneficial uses and users of groundwater as a part of GSP development and implementation. Furthermore, as is stated in Water Code § 10727.8: The GSA shall encourage the active involvement of diverse social, cultural, and economic elements of the population within the groundwater basin prior to and during the development and implementation of the GSP. To plan and implement public outreach to meet these requirements, the EAGSA developed a Communications & Engagement Plan (Appendix C). The following sections describe how the EAGSA has encouraged active involvement in GSP development.","Chapter 1: 1-19
1-21
1-9
1-18","1. DAC's identified? (yes/no): YES,
2. If yes, which level of engagment: Engagement=Inform Consult
3. Evidence/strategies listed for level of engagement:

DACs were identified and mapped, GSP includes some forms of targetted engagement mostly focused on notifying DACs about GSP development. Mostly general stakeholder engagement is included in the GSP. "
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Tribes identified? (yes/no): 
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:

Tribes identified for Anderson Subbasin, not for Enterprise Subbasin. "
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"1.5.1.7 Environmental Users of Groundwater
Representatives of environmental users of groundwater have interests in the connection between the Enterprise and Anderson Subbasin groundwater and surface water, most notably, the Sacramento River The following representatives of environmental users of groundwater and groundwater-dependent ecosystems (GDEs) have engaged with the EAGSA:  The Nature Conservancy  California Department of Fish and Wildlife  Virginia Phelps (member of the public)

&&

1.5.9.1 Opportunities for Engagement
The EAGSA provided a variety of opportunities for public engagement and involvement including the following:  Information – Outreach materials – project description factsheet, frequently asked questions, EAGSA GSA development and implementation timeline (provided on the website), hardcopies of the project brief and schedule (provided at public workshops and to libraries and Shasta Health Centers), and Rural Community Assistance Corporation training. In addition, the outreach team provided the Spanish and English SGMA brochure to libraries and Health Centers in COA and COR. – The EAGSA partnered with organizations to write about the EAGSA and solicit comments and promote meetings in newsletters. • Shasta Tehama Watershed Education Coalition  Solicitation and documentation of comments – Public Workshops – solicited verbal comments, comment cards, and invited emails – EAGSA Board Meetings – public comment period – GSP Chapters – solicitation and documentation of comments via Google form survey – Invitation to email comments and letters – Targeted Briefings – meetings to present and solicit comments in small groups or one-on-one – Individual interviews – outreach interviews and follow-up interviews to clarify comments received in writing – GSP Public Comment Portal – solicitation and documentation of comments and responses on individual GSP chapters and the Draft GSP via the web-based tool housed on the EAGSA website 1.5.9.2 Encouragement of Active Involvement SGMA requires GSAs to consider the interests of all beneficial uses and users of groundwater as a part of GSP development and implementation. Furthermore, as is stated in Water Code § 10727.8: The GSA shall encourage the active involvement of diverse social, cultural, and economic elements of the population within the groundwater basin prior to and during the development and implementation of the GSP. To plan and implement public outreach to meet these requirements, the EAGSA developed a Communications & Engagement Plan (Appendix C). The following sections describe how the EAGSA has encouraged active involvement in GSP development.","Chpater 1: 1-7
1-18","
1. Environmental Stakeholders identified? Yes, including The Nature Conservacy and Dept. of Fish & Wldlife
2. Which level of engagment: Inform, Consult
3. Evidence/strategies listed for level of engagement:

GSP identifies some environmental stakeholders but mostly includes general engagement opporutities open to all stakeholders. More information on targetted engagement is needed if any was attempted. "
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"The EAGSA intends to continue public outreach and provide opportunities for engagement during GSP implementation. This will include providing opportunities for public participation, especially from  beneficial users, at public EAGSA Board meetings, and providing access to GSP information online.

&&

8.2.3 Outreach
The EAGSA will continue public outreach and provide opportunities for engagement during GSP implementation. The EAGSA website will be maintained as the primary communication tool for SGMA-related content, monitoring data, reports, and meeting information. The goal of this tool is to make the GSP process as accessible to the public as possible. Given the high percentage of DACs and SDACs in the Anderson Subbasin, it will be important to make the GSP-related information readily available to individuals from their home computers or computers available at the local library. The philosophy is to share and exchange information with local tribes, DACs, SDACs, and other interested members of the public, without the burden of obtaining transportation to public meetings, taking time off work for attendance, and potentially acquiring and paying for child care while participating in public outreach activities. The ability to be heard and participate in this public process will be rewarding to the public, allowing them to feel more connected to the local management of groundwater resources in their subbasin. Additionally, announcements for GSA Board meetings and other GSP-related meetings and workshops will continue to be distributed via email to recipients included in the interested parties list, which will be maintained and updated as needed during GSP implementation. The EAGSA intends to host annual public workshops to present findings from each annual report. This will be done to provide an opportunity for the public to become or stay apprised of local groundwater conditions and GSP activities.  ","Chapter 1: 1-23
Chapter 8: 8-4","1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for DACs?  ( yes/no)
3. What level of outreach engagement? 

GSP includes general language that suggests outreach activities used during GSP development will continue through  GSP implementation. "
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  (yes/no)
3. What level of outreach engagement? "
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"The EAGSA intends to continue public outreach and provide opportunities for engagement during GSP implementation. This will include providing opportunities for public participation, especially from  beneficial users, at public EAGSA Board meetings, and providing access to GSP information online.

&&

8.2.3 Outreach
The EAGSA will continue public outreach and provide opportunities for engagement during GSP implementation. The EAGSA website will be maintained as the primary communication tool for SGMA-related content, monitoring data, reports, and meeting information. The goal of this tool is to make the GSP process as accessible to the public as possible. Given the high percentage of DACs and SDACs in the Anderson Subbasin, it will be important to make the GSP-related information readily available to individuals from their home computers or computers available at the local library. The philosophy is to share and exchange information with local tribes, DACs, SDACs, and other interested members of the public, without the burden of obtaining transportation to public meetings, taking time off work for attendance, and potentially acquiring and paying for child care while participating in public outreach activities. The ability to be heard and participate in this public process will be rewarding to the public, allowing them to feel more connected to the local management of groundwater resources in their subbasin. Additionally, announcements for GSA Board meetings and other GSP-related meetings and workshops will continue to be distributed via email to recipients included in the interested parties list, which will be maintained and updated as needed during GSP implementation. The EAGSA intends to host annual public workshops to present findings from each annual report. This will be done to provide an opportunity for the public to become or stay apprised of local groundwater conditions and GSP activities.  ","Chapter 1: 1-23
Chapter 8: 8-4","1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Environmental stakeholders?  (yes/no)
3. What level of outreach engagement? 

GSP includes general language that suggests outreach activities used during GSP development will continue through  GSP implementation. "
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,"1.5.4 Communications & Engagement Plan Development
 The EAGSA developed a Communications & Engagement Plan (Appendix C-1). The Communications & Engagement Plan includes a description of the engagement goals and desired outcomes, SGMA requirements for outreach, beneficial uses and users, interested parties list, participants/potential audiences for GSP development, and a description of interbasin coordination. The Communications & Engagement Plan provides information related to the EAGSA’s methods for stakeholder outreach and engagement, including public workshops, targeted stakeholder briefings, EAGSA Board meetings, EAGSA website, and media outreach as well as messages and talking points related to SGMA processes andfrequently asked questions for development of outreach materials.","Chpater 1: 1-8
Appendix 1-C",Title: Appendix C-1 Communications and Engagement Plan
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Yes,"1.5.10 Disadvantaged Communities 
The COA and COR lying within the Enterprise and Anderson Subbasins are both DACs according to the DWR DAC Mapping Tool. DWR has developed a web-based application (DAC Mapping Tool) to assist in evaluating DAC status throughout the State. This publicly available mapping tool shows DACs of California in funding areas as recognized pursuant to California Proposition 1 and Proposition 84. DAC Block Groups, Tracts, and Places depict data from the U.S. Census American Community Survey 2010-2018 showing census block groups identified as DACs (less than 80 percent of the state’s median household income [$56,982]) or severely disadvantaged communities (SDACs) (less than 60 percent of the state's median household income [$42,737]). Figures 1-2 through 1-4 present DACs and SDACs identified by the DWR DAC Mapping Tool in Places (DWR, 2021a; Figure 1-2), Tracts (DWR, 2021b; Figure 1-3), and Blocks (DWR, 2021c; Figure 1-4) in the greater Redding area. The U.S. Census designations are as follows:  Census Places – Populated areas that generally include one officially designated but currently unincorporated community, for which the Place is named, plus surrounding inhabited countryside of varying dimensions and, occasionally, other, smaller unincorporated communities as well.  Census Tracts – subdivisions of county of 4,000 people  Census Blocks – subdivisions of tracts of 1,500 people According to the DWR analysis presented on Figures 1-2 through 1-4, much of the Enterprise and Anderson Subbasins are designated as a DAC (light brown) or SDAC (dark brown), including COR and COA. In addition to being identified as DACs, COR and COA both have non-English-speaking Hispanic or Latino populations. The following population data for COR and COA have been retrieved from the U.S. Census Bureau’s data from 2015-2019.","Chapter 1"" 1-19
Figure 1-2, 1-3, 1-4","1. Location on the map? (yes/no) YES
2. Identified by name? (yes/no) YES
3. DAC places, tracks, or block data used in map?

Three maps included to map DACs, one for each type of data method such as Blocsk, Tracts, and Places as mapped from Figures 1-2 to 1-4. "
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Not Applicable,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)
"
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",Somewhat,"The U.S. Census designations are as follows:  Census Places – Populated areas that generally include one officially designated but currently unincorporated community, for which the Place is named, plus surrounding inhabited countryside of varying dimensions and, occasionally, other, smaller unincorporated communities as well.  Census Tracts – subdivisions of county of 4,000 people  Census Blocks – subdivisions of tracts of 1,500 people According to the DWR analysis presented on Figures 1-2 through 1-4, much of the Enterprise and Anderson Subbasins are designated as a DAC (light brown) or SDAC (dark brown), including COR and COA. In addition to being identified as DACs, COR and COA both have non-English-speaking Hispanic or Latino populations. The following population data for COR and COA have been retrieved from the U.S. Census Bureau’s data from 2015-2019.",,"1. Does the GSP document the size of the population for each DAC?
The GSP includes population size of DAC according to DAC block groups, tracts, and places and can find a population using the of each tract, block group and place provided in Figures 1-2 to 1-4."
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?

Map does not include depth by location. "
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"DWR’s Well Completion Report Map Application classifies wells as domestic, production, and public (municipal). Figures 2-6, 2-7, and 2-8 show the density of domestic, public, and production wells, respectively, in the subbasin. Well counts in the subbasin are summarized in Table 2-2. Over 90 percent of the wells in the DWR dataset are domestic wells. Many of the domestic wells identified by DWR may be classified as de minimis extractors, defined as pumping less than 2 AF per year (AF/yr) for domestic purposes. Production wells account for most of the remaining wells (5 percent). The majority of wells classified as production wells are assumed to be used for agricultural irrigation, with some production wells used for industrial purposes. Approximately 2 percent of wells in the subbasin are classified as public supply wells. As previously discussed, public (municipal) wells are pumped intermittently to augment surface-water supplies. ","Chapter 2: 2-4
Figure 2-6","1. How are domestic wells mapped (density/point/none)?
Domestic wells are mapped using a density map. "
WQ,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"In the Enterprise Subbasin, the following water quality constituents were identified to have exceedances in 10 percent or more of tested groundwater wells: iron, manganese, lead, arsenic, aluminum, benzene, gasoline, tert-butyl alcohol (TBA), and methyl-tert-butyl ether (MTBE). Naturally occurring water quality constituents include the metals iron, manganese, lead, arsenic, and aluminum; whereas groundwater quality constituents related to human activity include the fuel-related compounds, such as benzene and  gasoline and the non-hydrocarbon solvents TBA and MTBE. Table 3-3 summarizes the analytical results for each of the above water quality constituents. Although available data show localized areas of potential groundwater impairments, the overall quality of groundwater in the Enterprise Subbasin is good and suitable for the designated beneficial uses of the subbasin.
&&&
3.2.5.1 Point-Source Contamination
Point-source contamination data collection activities take place in the Enterprise Subbasin in response to known or potential sources of groundwater contamination. These sources include leaking underground storage tank (LUST) sites and a sewage settling pond. SWRCB and DTSC have the responsibility for cleanup and monitoring of point-source pollutants. Both entities make all related materials available to the public through two public portals: GeoTracker managed by SWRCB (SWRCB, 2020b) and EnviroStor managed by DTSC (DTSC, 2019). Figure 3-21 presents a map with locations of active remediation sites within the Enterprise Subbasin, and Table 3-4 summarizes the active remediation sites. The SWRCB’s GeoTracker database identifies three open LUST remediation sites with potential or actual groundwater contamination within Enterprise Subbasin. DTSC’s EnviroStor database identifies the same three open LUST remediation sites but includes one additional remediation s 730 ite that may be open with potential or actual groundwater contamination within Enterprise Subbasin. The EnviroStor database redirects the user to the GeoTracker database for more information; however, attempts to locate this site have been  unsuccessful as the GeoTracker database does not contain an entry for this remediation site. Resolution of the status of the fourth potentially open remediation site remains a data gap that will be filled via additional communication with DTSC and/or SWRCB. As indicated in Table 3-4, point-source contaminants include gasoline, sewage sludge, and solvents or non-petroleum hydrocarbons. Although these constituents are of concern, only fuel-related compounds and metals were detected in more than 10 percent of sampled wells within the Enterprise Subbasin to warrant inclusion in the GSP monitoring program.

","Page 3-17 / 3.2.5
Figure 3-19 and 3-21
Appendix E
Page 3-17/ 3.2.5.1
Table 3-3 & 3-4","1. Are all concerning constituents identified as COC's, Yes/No -->which ones?  iron, manganese, lead, arsenic, aluminum, benzene, gasoline, tert-butyl alcohol (TBA), and methyl-tert-butyl ether (MTBE)
2. Are the COC's mapped? Yes
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified? Yes, (appendix E)
5. Is there a data gap/ Or not enough data related COC's? no mention
They don't have explanation regarding each constitutes   however they have tables and figures and are addressing our questions. That is why I gave them Yes


"
WQ,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",No,The Enterprise Subbasin has two water source types: surface water and groundwater. Surface water diverted from the Sacramento River under Central Valley Project contracts with Bureau of Reclamation is the primary water source for most purveyors in the subbasin. The primary water source for County Service Area (CSA) #8 - Palo Cedro is groundwater.,ES-1,Mentions water source for the basin but is notspecific or explicit about water source for DACs. GSP should specificy DAC water sources. 
ISW/GDE,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",Yes,"As previously discussed, the RAGB is bounded on the east by the Cascade Range, on the north and northwest by the Klamath Mountains, and on the west by the Coast Range. Following rain and snowmelt events, the resulting discharge to surface-water channels and infiltration to the aquifer system produces flow within the multiple tributaries to the perennial Sacramento River and recharges the aquifer within the RAGB. The shallow groundwater and perennial nature of surface-water flow in the RAGB suggest there is potential for interconnected surface waters to be present. To identify areas where interconnected surface waters may be present, an analysis was performed based on reviewing depth to groundwater data. The underlying assumption of this analysis is that the shallower the depth to groundwater, the more likely that area is in hydraulic connection to surface water. To document this relationship, the simulated April water-table elevations in WYs 1999 through 2018 (from the EAGSA Model, see Appendix F) were averaged to develop a seasonal high-water-table distribution. The month of April was selected because it represents a period of seasonal high groundwater levels that would be anticipated to result in greater connection between groundwater and surface-water features in the Enterprise Subbasin. The average water-table elevations were then compared to the stream bottom elevations, estimated from available topographic information (USGS, 2019b; USGS, 2018; COR, 2019) to evaluate where modeled streams and the water table were in direct connection (that is, the water table at a given point is above the stream bottom elevation). Figure 3-17 presents the results of that analysis.

&& Major water supplies in the greater RAGB are stored in surface reservoirs; and as a result, the communities in the region are less dependent on groundwater. This may contribute to the fact that groundwater elevations in the RAGB do not show evidence of continuous decline. Depths to groundwater are shallowest near the Sacramento River, Clear Creek, Cottonwood Creek, and Cow Creek, and are generally within a range of a few feet to 25 feet below land surface. However, depths to groundwater generally increase with increasing distance from streams. In areas outside of large drainages within Anderson Subbasin, depths to groundwater can range from 150 to 250 feet below ground surface (bgs). Similarly, in the central portions of Enterprise Subbasin, depths to groundwater range between 100 to 150 feet bgs and approach depths of nearly 200 feet bgs.","Page 3-15 / 3.2.2

&&Page 2-1 / appendix F

Figure 3-17

","1. Is there a clear map of ISWs? yes - figure 3-17
2. Was temporal variability used and described? yes - the plan used a model with groundwater April groundwater data from 1999-2018
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? yes - the ISW section does not contain man details, but appendix F describes the model and the data used, including the locations of groundwater calibration sites and hydrographs."
ISW/GDE,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Yes,"Figure 3-17 presents the results of that analysis. Portions of the streams that are symbolized as blue lines represent interconnected surface water, whereas portions of the streams that are symbolized as orange lines are streams that are not interconnected (that is, the water table is below the bottom of the stream bed). As shown on Figure 3-17, the entire lengths of the Sacramento River, Little Cow Creek, and Cow Creek are interconnected under seasonal high-water-table conditions, which is to be expected because these streams are perennial. The analysis further indicates that portions of Churn Creek, Stillwater Creek, and Clover Creek are interconnected during seasonal high groundwater conditions.",Page 3-15 / 3.2.2 ,"1. Are ISWs mapped in the basin? yes - figure 3-17
2. Is the mapping consistent with the assessment? Based on the available groundwater levels and model results, the plan includes the Sacramento and Cottonwood as ISW."
