Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,This document serves as a tool for facilitating public engagement in the GSP development process. It is designed to be a living document that is updated as needed to reflect current mechanism of engagement. West San Jacinto GSA will continue to use the communication tools outlined in this document as necessary through the implementation phase of the GSP.,Appendix F - 7 (p.13),"1. Documents outreach plans to stakeholders? (yes/no) Somewhat
2. List specific outreach methods for DACs?  ( yes/no) NO
3. What level of outreach engagement? 

GSP mostly focuses on outreach during GSP development and mentions it will continue to adopt these methods during implementation as well. ",
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  (yes/no)
3. What level of outreach engagement? ",
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,This document serves as a tool for facilitating public engagement in the GSP development process. It is designed to be a living document that is updated as needed to reflect current mechanism of engagement. West San Jacinto GSA will continue to use the communication tools outlined in this document as necessary through the implementation phase of the GSP.,Appendix F - 7 (p.13),"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Environmental stakeholders?  (yes/no)
3. What level of outreach engagement? 


GSP mostly focuses on outreach during GSP development and mentions it will continue to adopt these methods during implementation as well. ",
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,"A Public Outreach and Engagement Plan was developed for this GSP (Appendix F). The purpose of the Public Outreach and Engagement Plan was to create a common understanding and transparency throughout the groundwater sustainability planning process, including fulfilling the requirements of SGMA as described in 23 CCR §354.10.d. The Public Outreach and Engagement Plan discusses the EMWD decision-making process; identifies opportunities for public engagement and provides a discussion of how public input and response will be used; describes how EMWD encourages the active involvement of diverse social, cultural, and economic elements of the population within the Plan Area; and describes the method EMWD shall follow to inform the public about progress implementing the public outreach and engagement plan, including the status of projects and actions. ","2.1.5.5 (p. 2-45)

Appendix F",Appendix F serves as the Communications & Engagement Plan for the basin. ,
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Yes,"""Disadvantaged communities within the Plan Area include portions of Mead Valley, Romoland, Homeland, Winchester, and Lakeview."" && ""The Plan Area contains several Disadvantaged Communities (DAC) and Severely Disadvantaged  Communities (SDAC). As defined in California Health and Safety Code, Section 116760.20, DACs  are Census geographies having less than 80% of the statewide annual median household income  ($51,026 for 2018) and SDACs are Census geographies having less than 60% of the statewide  annual median household income ($38,270 for 2018). According to DWR’s DAC Mapping Tool,  SDACs in the Plan Area are located in Homeland and Winchester, and DACs are located in Lakeview, the unincorporated area Mead Valley west of Interstate-215 and south of the MARB,  and the unincorporated area Romoland northwest of Homeland (Figure 2-9).""' 
",2.1.5.1 (p.2-41); 2.1.3.1 (pp.2- 30 and 2-31); Figure 2-9,"1. Location on the map? (yes/no)
2. Identified by name? (yes/no)
3. DAC places, tracks, or block data used in map?",
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Not Applicable,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)
",
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",Yes,,Table 2-9 (p. 2-31),"1. Does the GSP document the size of the population for each DAC?
GSP includes Table 2-9 which shows the populations for multiple parts of the basin that have been considered DACs. ",
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
Map does not include depth by location. ",
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,No,,,"1. How are domestic wells mapped (density/point/none)?
Domestic wells are not mapped. ",
WQ,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Somewhat,"The Total Dissolved Solids and Nitrogen Management Plan, which is part of the Basin Plan, addresses TDS and nitrogen in both surface waters and groundwaters throughout the Santa Ana River basin (RWQCB 2019). EMWD has an approved maximum benefit objective adjustment for the San Jacinto Upper Pressure Management Zone, which is adjacent to the Plan Area, within the Hemet-San Jacinto Groundwater Management Area. The comprehensive maximum benefit includes the addition of TDS and nitrate-nitrogen ""maximum benefit"" objectives for the San Jacinto Upper Pressure Management Zone. The ""maximum benefit"" TDS and nitrate-nitrogen objectives are less stringent than the existing ""antidegradation"" objectives Of the potential COCs measured in the groundwater of the Plan Area, TDS and nitrate are the only two for which groundwater quality objectives have been developed in the Basin Plan (Table ES 1). This means that the Basin Plan has defined concentrations of these constituents in the groundwater for the “reasonable protection of beneficial uses of water” (RWQCB 2019). Other COCs have regulatory thresholds that are applied after the groundwater has been extracted and before it can be served as drinking water. Therefore, TDS and nitrate are the focus of the water quality discussion in this GSP.","pg 2-19, 
 Figure 2-46 (TDS) Figure 2-47 (Nitrate)
 ES-5, Groundwater Quality","1. Are all concerning constituents identified as COC's, Yes/No  -->which ones? Yes, Nitrate and TDS
2. Are the COC's mapped? Yes
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified? No
5. Is there a data gap/ Or not enough data related COC's? Yes

Only contaminents TDS and Nitrate are mapped and analyzed every three years. 
 The plan mentions other COC's have regularly threshholds which will be applied after extraction of GW, however, please provide the defined concentration of other COC's. The evaluation of TDS and NItrate has been from 2012 to 2015. Also, they have noticed the origin of other ocntaminations but the spatal extent of it is part of their data gaps. They have clean up forces shown on figure 2-43.

",
WQ,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",Somewhat,"Disadvantaged Communities (DACs) within the Plan Area receive water from cities, mutual water companies, or EMWD.","2.1.5.1 (pp. 2-41)

Table 3-2","Table 3-2 identifies where every location/city of the basin recieves their water from inclding groundwater, recycled water, desalinated groundwater and purchased surface water. Some of these locations have been designated as DACS. ",
ISW/GDE,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",No,"The San Jacinto River is ephemeral and surface water flow does not reach the Plan Area during  years with normal and below-normal water year precipitation (see Section 2.2.2 Surface Water and  Drainage Features). Groundwater underlying the San Jacinto River is typically encountered at  depths that exceed 100 feet bgs (Figures 2-38 and 2-39). The thick vadose zone that separates the  bottom of the San Jacinto River from the underlying groundwater table indicates that the San  Jacinto River is not an interconnected groundwater-surface water system within the Plan Area.  Surface water runoff generated within the City of Moreno Valley, City of Perris, and MARB is  conveyed through the Plan Area via the Perris Valley Strom Drain (Table 2-12B). The highest average  flows are measured during the winter months of December, January, and February. Groundwater in  the vicinity of the Perris Valley Storm Drain is typically at depths that exceed 40 feet bgs (e.g.,  Appendix H, Casing Name: Bean Rider West OC). The presence of an over 40 foot-thick vadose zone  measured underlying the Perris Storm Drain indicates that groundwater and surface water are not connected along its length.  Groundwater elevations underlying the Salt Creek Flood Control Channel are generally shallower  than groundwater conditions encountered near the San Jacinto River and Perris Valley Storm  Drain. Static groundwater levels underlying Salt Creek indicate that groundwater can be found at  a depth of 30 to 40 feet bgs (Figure 2-38; Appendix J). The Salt Creek Channel may have a  continuous hydraulic connection between the channel bottom and the underlying groundwater at  times of above average precipitation. Groundwater elevations in the vicinity of the Salt Creek  Channel, however, do not contribute to baseflow in the channel and there are no potential or  identified Groundwater Dependent Ecosystems (GDEs) along the Salt Creek Channel as it passes  through the Plan Area (Figure 2-49; see Section 2.4.7 Groundwater Dependent Ecosystems). CDFW maintains approximately 900 acres of wetlands that utilize recycled water for wetland  maintenance in the SJWA. The SJWA is underlain by thick clay deposits that limit the vertical migration of surface water into the principal aquifer (EMWD 2011b). These clay deposits act as a  physical barrier between groundwater and surface water in this region.  As described above, groundwater elevation, streamflow, and lithologic data indicate that  groundwater and surface water are not connected within the Plan Area. Infiltration of surface water  flow through the San Jacinto River, Perris Valley Storm Drain, and Salt Creek Flood Control  Channel is not impacted by groundwater production and management within the Plan Area. 
",2.4.6 (p. 2-74 and 2-75); Figure 2-38 and 2-39,"1. Is there a clear map of ISWs? no ISW map
2. Was temporal variability and used and described? somewhat - figure 2-38 shows gorundwater elevations in fall of 2018 and figure 2-39 shows average groundwater elevations from 2013-2018. This range of temporal data is not discussed in the text. Some temporal variability in seasonality of connection is mentioned in text, but very brief and vague.
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? somewhat - figures 2-38 and 2-39 show the groundwater monitoring points, but difficult to visualize or understand their poximity to surface water. No mention of screening depths or stream gauge locations.",changed from somewhat to no because no map
ISW/GDE,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",No,"As described above, groundwater elevation, streamflow, and lithologic data indicate that groundwater and surface water are not connected within the Plan Area. Infiltration of surface water flow through the San Jacinto River, Perris Valley Storm Drain, and Salt Creek Flood Control Channel is not impacted by groundwater production and management within the Plan Area",Page 2-74 / 2.4.6,"1. Are ISWs mapped in the basin? no
2. Is the mapping consistent with the assessment? no - There are too many data gaps (spatial and temporal) to conclude that no ISWs exist in the basin.  Also, there are potential ISWs that aren't be acknowledged in the mapping. Everything is assumed to be disconnected, which might not be the case in sometimes of year and water year types.",
ISW/GDE,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","no aquifers are acknowledged (no groundwater data); shallow aquifer is acknowledged, but not considered principle for reasons like not the main pumping aquifer = no
All principal shallow aquifers are not acknowledged in ISW section (if multiple exist) = somewhat
Adequate data from shallow aquifer(s) is used in defining ISWs and all principal shallow aquifers are acknowledged= yes","principal aquifer, shallow ",Yes,"Groundwater underlying the San Jacinto River is typically encountered at
depths that exceed 100 feet bgs (Figures 2-38 and 2-39)",Page 2-74 / 2.4.6,"1. Are all shallow aquifers acknowledged in the ISW section (if multiple exist)? yes - one unconfined aquifer
2. Does the plan consider the shallow aquifer(s) as principal aquifer(s)? yes - no evidence to suggest otherwise
",
ISW/GDE,,,Environment,2,Were data gaps identified when mapping ISWs?,"no data gaps identified when there is an obvious lack of data = no
1) Vague and/or confusing mention of lacking information 2) Mention of ISW data gaps in separate section in GSP. = somewhat
Clear description of where data gaps exist (temporally and spatially) in ISW section or Data Gaps Section following the assessment= yes","Interconnected surface water, ISW",No,,,"1. Were data gaps identified? no 
2. Were the data gaps identifed in the ISW section? no

No mention of data gaps - temporal or spatial. It would have been nice to see depth-to-groundwater contour maps. It is unclear whether the groundwater elevations estimated under the streams were corrected for land surface elevation, when mapping ISWs.",
ISW/GDE,,,Environment,2,"In the case of data gaps and uncertainty, were streams mapped and described as potential ISWs in the GSP? If ISWs are adequately mapped and there is no uncertainty in the ISW mapping, then select ""Not Applicable"".","no description or map of potential ISWs = no
1) partial inclusion of potential ISWs 2) only a description but no map or vice versa = somewhat
All uncertainties and data gaps are clearly described and mapped temporarily and spatially= yes","Interconnected surface water, ISW, data gap",No,"The Salt Creek Channel may have a continuous hydraulic connection between the channel bottom and the underlying groundwater at times of above average precipitation. Groundwater elevations in the vicinity of the Salt Creek Channel, however, do not contribute to baseflow in the channel and there are no potential or identified Groundwater Dependent Ecosystems (GDEs) along the Salt Creek Channel as it passes through the Plan Area (Figure 2-49; see Section 2.4.7 Groundwater Dependent Ecosystems)",,"1. Is there a map AND description of pISW? no - Even though the Salt Creek channel may have connection, it was not mapped as a potential ISW.",
ISW/GDE,,Groundwater Dependent Ecosystems (GDE),Environment,1,"Is there an inventory, map, or description of fauna (e.g., birds, fish, amphibian) and flora (e.g., plants) species or habitat types in the basin's GDEs? Please indicate in the notes if threatened and endangered species are identified in the GSP.","No description of flora and fauna in GDEs = no
1) lacking in either maps/description/inventory of flora and/or fauna 2) no mention of endandgered/threatened species= somewhat
Detailed inventory, maps, or description of flora AND fauna in GDEs. Also, Inclusion of any threatened and/or endangered species in the basin.= yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, habitat, species",Somewhat,,Appendix J; Tables 1-3 ,"1. Does the plan present the flora AND fauna in the basin's GDEs? Habitat types? somewhat - There is a description of vegetation and wetland species and ecological communities identified in the NC Dataset.  However, there are no inventory, map, or description of fauna species or habitat types (e.g., terrestrial or aquatic threatened and endangered species)
2. Does the plan acknowledge endangered/threatened/special status species in GDEs? no - Also no explicit mention of listed species",
ISW/GDE,,,Environment,1,"Were GDEs in the basin identified (mapped) and described in the GSP using best available data (e.g., NC dataset, localized VegMap data)? Please describe which data were used in the Notes.","No map of GDEs (or wetlands, riparian veg, etc.) = no
1) Map of NC dataset polygons with NDMI but no specific GDE maps, 2) Maps of GDEs but unclear data/methods used = somewhat
GSP used NC dataset or a localized vegMap to describe and map GDEs = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, VegMap",Yes,"The Natural Communities Commonly Associated with Groundwater (NCCAG) dataset identified 235 unique vegetation community indicators commonly associated with phreatophytes and 83 unique wetland indicators commonly associated with the surface expression of groundwater in the SJGB. Of the 235 vegetation community indicators, 79 are located in the Plan Area. Of the 83 wetland community indicators, 28 are located in the Plan Area. 

&& The natural communities underlying each mapped indicator identified in the NCCCAG dataset were characterized as either GDEs, ecosystems that may be groundwater dependent (potential GDEs), or ecosystems that are not groundwater dependent. Classification of each community was based on a review of local groundwater elevations, lithology, groundwater production, aerial photographs, and satellite data33. Because groundwater management in the Hemet-San Jacinto Management Area is overseen by the Hemet-San Jacinto Watermaster, as defined in the Stipulated Judgement Case No. 1207274, characterization of groundwater dependent ecosystems and the associated impacts that groundwater extraction may have on habitat health was limited to the Plan Area. A detailed discussion of the characterization of each of the 107 habitats located in the Plan Area is provided in Appendix J.",Page 2-75/ 2.4.7; Appendix J; figure 2-48,"1. Is there a map? yes - figure 2-48, but very vague. NC dataset was used to initially map
2. Is there a description of data sources and processing?
(describe in notes) yes- description of data sources and processing",
ISW/GDE,,,Environment,1,Was depth-to-groundwater data from the underlying principal aquifer used to verify the NC dataset?,"No groundwater depth data described = no
Groundwater measurements used but lack of detail in describing depth to groundwater data. Also there might be a lack of information on which aquifer the data is from. = somewhat
depth to groundwater is clearly used and description of spatial/temporal data is included = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, depth to groundwater",Somewhat,"Groundwater in the vicinity of these communities, measured in conjunction with groundwater remediation activities at Site “Y” at Camp Hann, ranged from six feet to 34 feet below ground surface between 2005 and 2015 (Figure 2-49; ACOE 2015). Willows may become stressed when groundwater levels are deeper than 15 feet bgs (City of San Diego 2013). Groundwater elevations in the vicinity of the vegetation communities has historically varied to be within the rooting depth range at times and below it at times (Figure 2-49).",Page 2-76 / 2.4.7.1,"1. Is data from shallowest principal aquifer used? yes - only one unconfined aquifer 
2. Is there a description of the data? (spatial, temporal, proximity to GDEs?) somehwat - limited groundater data provided and available. The plan does discuss one well location with data from 2005-2015 near one of the GDEs, but lack of information about other groundater data used (location of data & screening depths)",
