Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
Martha,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","no = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"Note: During GSP development, the Cosumnes SGMA Working Group and its committees had several key outreach roles and responsibilities, most notably: The Cosumnes SGMA Working Group’s outreach responsibilities included receiving/considering input from the public and stakeholder groups such as the SWAG, providing direction and guidance to the Outreach & Engagement/Communications Committee and for C&E Plan
implementation, reporting on public/stakeholder comment shared with the GSA Boards and other outreach / engagement discussions, and making recommendations on outreach and engagement to GSA Boards for consideration. The Outreach & Engagement / Communications Committee (O&E Committee), comprising one representative per GSA, managed and guided stakeholder outreach and engagement, with input and direction from the Working Group.
The Tribal Outreach Committee, comprising of the Cosumnes PIO and Watershed Coordinator, formed in December 2020 to increase outreach efforts during the final stages of GSP development with input and direction from the Working Group.

Three of the GSAs have disadvantaged communities within their GSA boundaries in the Cosumnes Subbasin:
• Sacramento County
• City of Galt
• Amador County

Phase I
1. Use DWR Disadvantaged Communities Mapping Tool or other geographic information system technology to help identify disadvantaged, severely disadvantaged and economically distressed communities within the Cosumnes subbasin.
2. GSAs share insights on engaging with members of these communities from past projects or efforts. Also consider the key outreach principles identified below.
3. Review catalog of existing outreach materials. Modify as necessary to fit the needs of each community. This may include translating select materials into one or more languages. Develop additional materials if advantageous.
4. Identify potential points of contacts / outreach partners for DAC engagement. See preliminary list of partners below. Conduct an initial, informal communication with organizational points of contact to clarify interest in engaging DAC communities on SGMA; request advice about appropriate avenues for outreach; and identify next steps.

Summary of Cosumnes Subbasin Outreach Activities
[Work in progress, more information will be provided as it becomes available]
Ongoing
• DAC contacts invited to subscribe to the Interested Parties list and attend meetings
• Those subscribed to the Interested Parties list receive event notices
• Press releases and/or news articles developed to advertise public workshops
• GSAs regularly identify and employ specific outreach strategies (e.g., mail event postcards) that seem
most effective and feasible, customized to different phases and key moments in SGMA implementation.
GSP Development
• 2019 Stakeholder survey sent out to all landowners in the subbasin
• DAC and SDAC communities identified based on data from DWR DAC Mapping too, 2018 Censusbtract
• Bilingual (Spanish) SGMA documents developed by DWR and other NGOs posted to the website.
• Informal discussions held in 2020 and 2021 with community engagement experts like New Current Water to advise how to broaden outreach, particularly due to COVID impacts
• 2020 and 2021 public webinars posted to YouTube, which can be translated into different languages in closed captions
• Website updated in 2021 to be available in multiple languages (currently Spanish, Chinese, Hmong, and Vietnamese)
• Postcards / event notices mailed to all landowners in the subbasin to advertise workshops related to topics of greatest interest to most of the land owners (e.g., June 2021 workshop on Plan implementation  funding and Draft GSP webinars and workshops).
• Exploring convening a Citizens Advisory Committee to inform GSP implementation. ","Appendix C / 8
Appendix E","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement = Inform & Involve
3. Evidence/strategies listed for level of engagement: GSP includes a specific engagement guide (Appendix E) for engaging disadvanatged communities. It includes a detailed Phase I of outreach and engegament as well as identifies the DACs within the plan area. "
Martha,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Yes,"Three Native American tribal communities are directly present within the Basin, and each relies on a combination of surface water from the Cosumnes River and/or groundwater to support their needs. Various other tribes utilize or have some interest in the Basin and are present within Amador and Sacramento Counties but are not necessarily located directly within the Basin boundaries.

&& 

Native American Tribal Communities and Lands
The Basin is also home to several Native American tribal communities and lands (Figure PA-9): • The Wilton Rancheria tribe is located in Sacramento County in the northwestern portion of the
Basin, adjacent to the Cosumnes River. The mission statement for the Wilton Rancheria Department of Cultural Preservation describes the importance of protecting resources committed
to the Tribe5, including the Cosumnes River which is considered a valuable resource by the Tribe. The Tribal Chairman was interviewed as part of initial stakeholder outreach efforts and has
attended multiple Working Group meetings. • The Buena Vista Rancheria of Me-Wuk Indians tribe is located in Amador County in the southeastern portion of the Basin. The Buena Vista Rancheria of Me-Wuk Indians rely on both groundwater and surface water to meet demands (EKI, 2009). • The Ione Band of Miwoks tribe is located in Amador County and is a public water supplier dependent upon groundwater, serving a population of 62 residents (Safe Drinking Water Information System [SDWIS], 2018). The Ione Band of Miwoks has at least two groundwater wells. Typical groundwater use by the Tribe is approximately 5.0 acre-feet per year (AFY; 2014-2016 use data6). In addition to the tribes mentioned above, an additional eleven tribes are listed by the Native American Heritage Commission (NAHC) within Amador and Sacramento counties who utilize or have some interest in the Basin. The NAHC Tribes include: the Calaveras Band of Mi-Wuk Indians, the Colfax-Todds Valley Consolidated Tribe, the Jackson Rancheria Band of Miwuk Indians, the Nashville Enterprise Miwok-Maidu- Nishinam Tribe, the Tsi Akim Maidu, the Shingle Springs Band of Miwok Indians, the Jackson Rancheria, the confederated Villages of Lisjan, the United Auburn Indian Community of the Auburn Rancheria, the Washoe Tribe of Nevada and California, and the Yocha Dehe Wintun Nation (Kronick, 2020).Through inclusion on the Interested Person Email List, interviews, and additional outreach efforts by the Tribal Outreach Committee, the Working Group has sought to integrate these Native American tribal communities into GSP planning efforts. Outreach efforts are on-going and will continue throughout GSP implementation.
&&

The Tribal Outreach Committee, comprising of the Cosumnes PIO and Watershed Coordinator, formed in December 2020 to increase outreach efforts during the final stages of GSP development with input and direction from the Working Group.

&&

1. Confirm that the Native American tribes identified above are correctly posed for SGMA outreach. 2. The GSAs will prepare background materials related to Native American tribal outreach and engagement. The material will include a compilation of past Native American tribal outreach methods, goals, and results (including primary points of contact). The materials will include SGMA-related obligations for GSAs pursuant to SGMA, and interests and goals as they relate to tribal outreach and potential participation in sustainable groundwater management planning (see Relevant DWR Information below). 3. The GSAs will conduct an initial, informal communication with tribal primary points of contact to clarify interest in communicating formally regarding SGMA and tribal interests; request advice about appropriate avenues for outreach; and identify next steps. In the event a tribal representative cannot be contacted within 45 days, the District will consult with DWR’s Office of Tribal Policy Advisor for guidance (Anecita Agustinez, DWR Tribal Policy Advisor - Anecita.Agustinez@water.ca.gov). 4. Following successful initial communication with the Native American tribes, the GSAs will facilitate the implementation of the next steps identified in #3. Actions may include preparation of a formal letter from the Board to each of","ES 2 / 19, 48
Appendix C/ 8
Appendix D ","1. Tribes identified? (yes/no): YES
2. If yes, which level of engagment: Engagement = Inform & Involve
3. Evidence/strategies listed for level of engagement: The GSP has included an engagement guidance document dedicated for Tribal Engagement which identifies about 14 tribes as stakeholders within the Basin. The GSP also outlines a detailed outreach plan which is missing the second and third phase (will be released after the first phase is done). This is the first plan that has included such intensive information focused on tribes and tribal engagement. "
Martha,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"The Nature Conservancy (TNC) owns 3,510 acres of land along the western reaches of the
Cosumnes River which form the Cosumnes River Preserve.

Cosumnes Coalition • • • Purpose
Inform and involve to consider / incorporate potential
ecosystem impacts to GSP process.
Potential Focused Strategies
• Expanding monitoring network
• Project partnerships
• Information and tools sharing
• Updates with the Surface Water Advisory Group
Cosumnes River Preserve •
Foothill Conservancy •
Historic McFarland Ranch •
The Nature Conservancy • • •
Permaculture Association •
Rancho Seco Park •
Sacramento County Parks & Recreation","ES 2 / 19
Appendix D/ 24","
1. Environmental Stakeholders identified? YES, the GSP notes that TNC is an environmental stakheolder for the basin. 
2. Which level of engagment: Involve
3. Evidence/strategies listed for level of engagement:

The GSA has a Surface Water Advisory Group which consists of members from Environmental NGOs, including TNC."
Martha,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Advertising Public Engagement Opportunities The Water Forum, PIO, Watershed Coordinator, facilitation team, and O&E Committee worked to ensure that Cosumnes Working Group outreach efforts were comprehensive in reaching any and all
interested stakeholders. Outreach approaches were updated as new and better ways to reach interested parties were identified. Public engagement opportunities were advertised using strategies such as: • Email blasts to the Interested Parties list – Interested parties can sign up to receive updates and information about upcoming engagement opportunities. • One-paragraph update – Text that Working Group members can incorporate into organizational newsletters, blogs, and Facebook posts to reach interested parties. • Website – Date and location of public meetings and workshops will be highlighted on the cosumnes.waterforum.org homepage. • Social media engagement – Local groups and individuals should consider using social media to amplify outreach materials and advertise public engagement opportunities. • Other outreach media, such as bulletin boards, flyers at community gathering sites, etc., can
also be used as a way to reach out to community members.

• Exploring convening a Citizens Advisory Committee to inform GSP implementation.((DAC engagement guide)","Apppendix D / 15

Appendix E","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for DACs?  (yes/no) YES but needs more detail
3. What level of outreach engagement? Engagement= Infom with the intention to involve"
Martha,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Somewhat,"Advertising Public Engagement Opportunities The Water Forum, PIO, Watershed Coordinator, facilitation team, and O&E Committee worked to ensure that Cosumnes Working Group outreach efforts were comprehensive in reaching any and all interested stakeholders. Outreach approaches were updated as new and better ways to reach interested parties were identified. Public engagement opportunities were advertised using strategies such as: • Email blasts to the Interested Parties list – Interested parties can sign up to receive updates and information about upcoming engagement opportunities. • One-paragraph update – Text that Working Group members can incorporate into organizational newsletters, blogs, and Facebook posts to reach interested parties. • Website – Date and location of public meetings and workshops will be highlighted on the cosumnes.waterforum.org homepage. • Social media engagement – Local groups and individuals should consider using social media to amplify outreach materials and advertise public engagement opportunities. • Other outreach media, such as bulletin boards, flyers at community gathering sites, etc., can also be used as a way to reach out to community members.

&&

Ongoing
• Tribal contacts invited to subscribe to the Interested Parties list and attend meetings • Those subscribed to the Interested Parties list receive event notices","Apppendix D / 15
","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Tribes?  ( yes/no) Somewhat, more detail is needed. 
3. What level of outreach engagement?  Engagement = Inform "
Martha,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"Advertising Public Engagement Opportunities The Water Forum, PIO, Watershed Coordinator, facilitation team, and O&E Committee worked to ensure that Cosumnes Working Group outreach efforts were comprehensive in reaching any and all interested stakeholders. Outreach approaches were updated as new and better ways to reach interested parties were identified. Public engagement opportunities were advertised using strategies such as: • Email blasts to the Interested Parties list – Interested parties can sign up to receive updates and information about upcoming engagement opportunities. • One-paragraph update – Text that Working Group members can incorporate into organizational newsletters, blogs, and Facebook posts to reach interested parties. • Website – Date and location of public meetings and workshops will be highlighted on the cosumnes.waterforum.org homepage. • Social media engagement – Local groups and individuals should consider using social media to amplify outreach materials and advertise public engagement opportunities. • Other outreach media, such as bulletin boards, flyers at community gathering sites, etc., can also be used as a way to reach out to community members.",Apppendix D / 15,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  ( yes/no) NO
3. What level of outreach engagement? Engagement = Inform "
Martha,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Appendix D ,Appendix D serves as the Communications & Engagement Plan for the Basin. 
Martha,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Yes,"Three of the GSAs have disadvantaged communities within their GSA boundaries in the Cosumnes Subbasin:
• Sacramento County
• City of Galt
• Amador County","Figure PA-10
Appendix E","1. Location on the map? (yes/no) YES
2. Identified by name? (yes/no) YES, identified by name within the text
3. DAC places, tracks, or block data used in map?

Figure PA-10 provided maps DACs within the Basin. "
Martha,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Yes,"The Basin is also home to several Native American tribal communities and lands (Figure PA-9): • The Wilton Rancheria tribe is located in Sacramento County in the northwestern portion of the Basin, adjacent to the Cosumnes River. The mission statement for the Wilton Rancheria Department of Cultural Preservation describes the importance of protecting resources committed to the Tribe5, including the Cosumnes River which is considered a valuable resource by the Tribe. The Tribal Chairman was interviewed as part of initial stakeholder outreach efforts and has attended multiple Working Group meetings. • The Buena Vista Rancheria of Me-Wuk Indians tribe is located in Amador County in the southeastern portion of the Basin. The Buena Vista Rancheria of Me-Wuk Indians rely on both groundwater and surface water to meet demands (EKI, 2009). • The Ione Band of Miwoks tribe is located in Amador County and is a public water supplier dependent upon groundwater, serving a population of 62 residents (Safe Drinking Water Information System [SDWIS], 2018). The Ione Band of Miwoks has at least two groundwater wells. Typical groundwater use by the Tribe is approximately 5.0 acre-feet per year (AFY; 2014-2016 use data6).","Figure PA-9
Page 48","1. Tribal lands identified? (yes/no) YES
2. Tribal lands mapped? (yes/no) YES

Figure PA-9 maps Tribal lands and the tribal lands and tribes asre also identified in the text of the GSP. "
Martha,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",Yes,"Approximately 9% of the Basin (18,236 acres) is covered by DWR-designated disadvantaged communities (DACs) or severely disadvantaged communities (SDACs), including 8,263 residents of the City of Galt (U.S. Census Bureau 2018). Of these 8,263 Galt residents, approximately 5,133 are designated as DACs and approximately 3,130 are designated as SDACs. The additional DACs occur within farmlands, non-irrigated lands, and small rural residential areas in the western portion of the Basin.",ES / 20,"1. Does the GSP document the size of the population for each DAC?
Yes, GSP documents approximate DAC populations using Census information. "
Martha,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?

No well depth by location provided. "
Martha,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"Figure PA-12 shows the density of wells per square mile within the Basin, based on Well Completion Report (WCR) records compiled by DWR.9 According to these records, 2,258 domestic, 433 production10, and 23 public supply wells have been installed within the Public Land Survey System (PLSS) sections11 that fall within the Basin.","Figure PA-12
Page 53 GSP","1. How are domestic wells mapped (density/point/none)?

Yes, mapped using both density and point map on the same figure. 
"
Sara,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Somewhat,"Arsenic 
The boxplots in Figure GWC-9 show that all samples representing the Victor Formation come from monitoring wells, which are the shallowest wells and do not provide water for beneficial use. These samples have historical arsenic concentrations that exceeded the MCL, but currently sample concentrations are below the MCL. All samples from the Laguna Formation and Mehrten Formation come from deeper production wells and arsenic concentrations have exceeded the MCL. Most samples from production wells screened in the deeper Valley Springs and Ione Formations are below the MCL.&&&
Nitrate 
In the Basin, six of the 90 wells sampled for nitrate (7%) exceeded the MCL, which is similar to the percentage reported in the Groundwater Quality Assessment Report for the Sacramento-Amador Watershed (which includes the Basin) which found that 4% of the samples exceeded the MCL (CH2MHill, 2016). Figure GWC-10 shows that the historical and current distributions of exceedances are similar with most wells having concentrations below 3.0 mg/L.&&&
Lead
Lead is a toxic, naturally occurring metal that can be indicative of anthropogenic impacts. Relatively low concentrations in drinking water are harmful to human health and can bioaccumulate in the body over time causing delays in physical or mental development. Lead was previously regulated by the Primary MCL of 0.015 mg/L for the production of potable water, and the USEPA established a goal of zero as the maximum contaminant level for lead. Recently, however, the regulations have been revised to include the water within the distribution system and the AL of 0.015 mg/L was established to protect public health, which is the same value as the MCL. The lead concentrations in 12 of 44 wells (27%) exceeded the AL, however, all of the exceedances were in samples from monitoring wells that do not supply water for beneficial&&
9.4.3. Constituents and Secondary MCLs and WQOs
TDS, chloride, sulfate, iron and manganese have Secondary (i.e., aesthetically-based) MCLs, while boron has a WQO. These regulatory criteria were exceeded by a variable percentage of samples: TDS (14%), chloride (2%), sulfate (2%), iron (31%), manganese (48%), and boron (3%). These constituents are further evaluated below to determine whether or not they represent a potential COC.
• TDS is a measure of the total dissolved ionic constituents in a water sample, and although TDS does not generally affect human health, it is an aesthetic characteristic of drinking water (Hem, 1970). Seventeen of the 126 wells exceeded the Secondary MCL (14%), and the Mann-Kendall analysis indicates that 14 of the 17 wells (82%) have statistically significant trends, including five trending downward and nine trending upward. One of the five downward-trending wells was above the Secondary MCL in the past but has since declined and is now below the Secondary MCL.&&&
• Chloride is present in natural waters, but concentrations are generally low in groundwater (Hem, 1970). Chloride is one of the primary constituents dissolved in ocean water and, as discussed previously, its concentration is utilized to evaluate seawater intrusion. Four of 183 wells exceeded the secondary MCL (2%), and the Mann-Kendall analysis indicates that 16 wells have statistically significant trends (eight wells have declining trends and eight wells have increasing trends). The concentrations of these trending wells did not exceed the Secondary MCL, although the chloride concentrations are approaching the Secondary MCL in one monitoring well at the Buena Vista Landfill in Amador County. Chloride is not considered a COC for the purposes of this GSP because the exceedances do not result in health-related concerns, and monitoring of TDS serves as an indicator of general drinking water quality.&&&
Sulfate is naturally- occurring and present in soil and water (Hem, 1970) due to the oxidation of sulfide minerals but also from anthropogenic sources. The concentrations in one of 112 wells exceeded the Secondary MCL (1%), and the Mann-Kendall analysis indicates that eight wells have statistically significant trends (one well shows declining concentrations and seven wells show increasing concentrations). One sulfate exceedance occurs in a monitoring well at the Buena Vista Landfill in Amador County and the concentrations are trending upward and will likely continue to increase with time. This monitoring well does not supply water for beneficial use and the SWRCB lists the site as an active facility under Title 27 – Municipal Solid Waste Landfill and there is no outstanding violations regarding the permitted underground fuel storage tanks on file (Amador County Planning Department, 2020).&&&
Iron is an essential element in the metabolism of animals and plants, however if concentrations are excessive, the iron can stain laundry and plumbing fixtures and is therefore considered an objectionable impurity in domestic and industrial water supplies (Hem, 1970). The iron concentrations in 30 of 96 wells exceeded the Secondary MCL (31%), and the Mann-Kendall analysis indicates that 10 of the 96 wells have statistically significant declining concentrations (no statistically significant upward trends). Nine of the 10 wells exceeded the Secondary MCL in the past, but current data are below the secondary MCL.&&&
Manganese is an essential element for plants and animals, but is an undesirable impurity in water supplies. When manganese concentrations are sufficiently high, the water can deposit black oxide stains (Hem, 1970). Samples from 48 of 100 wells exceeded the secondary MCL (48%), and over half of the 48 wells are monitoring wells (27 wells) at the City of Galt WWTP or the Buena Vista Landfill.&&&
Boron is essential for plant functions, but high concentrations can be harmful to sensitive crops (Ayers and Westcot, 1985). Few boron sensitive plants are grown in the Basin, and only one of the 39 wells sampled for boron exceeded the advisory level (3%). &&&
9.4.4. Point-Source Contamination Sites
In addition to various non-point source groundwater quality COCs, numerous point-source contamination sites (70) are located in the Basin and can influence shallow groundwater quality (Figure GWC-12). These sites are typically associated with industrial or commercial land uses (e.g., gas stations), and are comprised of four active Leaking Underground Storage Tank (LUST) Cleanup sites, 31 closed LUST Cleanup sites, nine permitted Underground Storage Tanks (USTs), one active Cleanup Program site, one inactive Cleanup Program site, three closed Cleanup Program sites, 13 California Department of Toxic Substances Control (DTSC) Cleanup sites, seven land disposal sites, and one closed military cleanup site. The specifics of each site are summarized below and listed in Table GWC-5.","Page 116 / 9.4.2
Page 117 / 9.4.2
Page 117 / 9.4.3
Page 118 / 9.4.3
Page 119 / 9.4.3
Page 119 / 9.4.4
Appendix H
Figure GWC-8 thru 12
Table GWC-4 thru GWC-5","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? Yes, Nitrate, Arsenic, Lead, Chloride, Boron, TDS, chloride, sulfate, iron and manganes, However they have take the ""lead"" out since it is not used for beneficial users
2. Are the COC's mapped? Some of them
3. Is there spatial trend data for all COC's? for lead, Arsenic, Nitrate and Chloride. (They have graphed them on Appendix H)
4. Are constitues which are not of concern identified? Appendix H 
5. Is there a data gap/ Or not enough data related COC's? No

They also have clean-up sites where they have been impacted by gasoline, benzene and heavy metals, those wells have been destroyed but COC's are still visiable in GW quality.

"
Martha,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",Somewhat,,Figure PA-11,Figure PA-11 maps all the public water systems which can be looked at with the DAC map and find the water sources for DACs. 
