Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Sara,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Somewhat,"The Basin Plan defined groundwater quality objectives that provide for the “reasonable protection of beneficial uses of water” for six constituents in the Subbasin: TDS, sulfate, chloride, boron, nitrate, and total coliform bacteria (Table 2-17; RWQCB 2019). In addition to data collected at the City of Santa Monica production wells, concentrations of these constituents were measured in samples collected from City of Santa Monica monitoring wells, and remedial monitoring wells at other sites in the Subbasin. The most recent concentrations of TDS, nitrate, sulfate, and boron for the Ballona and Silverado aquifers are shown in Figures 2-40 through 2-46. The most recent concentrations of chloride in the Ballona and Silverado aquifers are presented in Figures 2-36 and 2-38 (see Section 2.4.3 Seawater Intrusion). No data on total coliform bacteria counts in the Subbasin was available in the GAMA database. Additional analysis of the other five constituents is presented in the following sections.","Page 2-72 and 2-73 / 2.4.4.2 and Table 2-5
Figure 2-37 to 2-46","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? Yes, TDS, sulfate, chloride, boron, nitrate, indicator bacteria, lead, and total coliform.
2. Are the COC's mapped? MOst of them, they just haven't mapped total Coliform
3. Is there spatial trend data for all COC's? Most (just not total Coliform)
4. Are constitues which are not of concern identified? Yes
5. Is there a data gap/ Or not enough data related COC's? 
Constituents for different parts of basin that was evaluated include: TDS, sulfate, chloride, boron, nitrate, indicator bacteria, lead, and total coliform. All water quality contaminents of concern were identified and mapped except coliform because there is no data. Table 2-5 presents details of contaniments by location (including coliform bacteria).  



",
Martha,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",No,,,,
Becky,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",No,"Surface water in the Plan Area is principally drained by 245 miles of storm-drains constructed of reinforced concrete, brick, cast iron, clay and other impermeable materials. Of these, approximately 135 miles drain the Ballona Creek watershed into Ballona Creek. Open channel surface waters in the Plan Area include portions of Ballona Creek, Centinela Creek, and the Rustic Canyon and Santa Monica Canyon Channels. The Rustic Canyon and Santa Monica Canyon channels drain the Santa Monica Canyon Watershed, discharging onto Will Rogers State Beach. Within the Plan Area 100% of the extent of these channels is concrete-lined and therefore disconnected from interaction with underlying groundwater. Centinela Creek flows in a channel that is concrete-lined upstream of its intersection with Ballona Creek. The Ballona Creek channel is concrete-lined upstream of Centinela Avenue, approximately 3 miles inland from the coast. Downstream of Centinela Avenue, Ballona Creek has paved or boulder-lined banks with an unpaved bottom until its discharge into Santa Monica Bay (County of Los Angeles 2020). At this transition location, the channel is located within the sediments of the Bellflower aquitard and has an approximate elevation of 6 feet above mean sea level. Infiltration of surface water into the Bellflower aquitard downstream of Centinela Avenue, contributes to the palustrine Ballona Creek Wetlands, located approximately half a mile downstream. These wetlands constitute the primary area of groundwater-surface water interaction in the Subbasin. Shallow groundwater elevations adjacent to Ballona Creek and upstream of the Ballona wetlands have been stable between 2005 and 2020 (Figure 2-52). Elevations in this area are typically at or above sea level for wells screened in the upper Bellflower aquitard. In contrast, groundwater elevations in the shallow and Silverado aquifers in the vicinity of the Charnock wellfield ranged from -55 to +25 ft MSL over the same time period (Figure 2-52). The difference in measured groundwater elevation and in groundwater elevation response to production at the Charnock wellfield between the shallow wells adjacent to the Ballona Wetlands and the monitoring wells adjacent to the Charnock wellfield demonstrates that the shallow surface water in the Bellflower aquitard adjacent to the unlined portions of the Ballona Creek Channel is disconnected from the primary production aquifer in the Subbasin (Figure 2-52).",Page 2-78 / 2.4.6 && Figure 2-52,"1. Is there a clear map of ISWs? No - no map included
2. Was temporal variability used and described? somewhat - 5 wells with data dating back to 2005 were used, but lack of description of temporal variation in ISWs
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? Somewhat -  Most of the major surface water in the basin in concrete lined. The GSP identifies a small portion of the Ballona Creek as ISW because it is not concrete lined and water seeps into the Bellflower aquitard and sustains the palustrine Ballona Creek Wetlands. Figure 2-52 presents 5 wells (with data from 2005 to present) in the basin that are used to verify ISWs (see screen depths in figure 2-30). They are clustered in the center of the basin around the two production wellfields and in the southern basin near the Ballona creek. The GSP uses groundwater depths in the center of the basin from the Ballona and Silverado aquifers to compare to shallow groundwater measurments near the Ballona Creek wetlands to dismiss connection between the aquifers. The text and Figure 2-52 are contradictory with regards to the aquifer that the southern wells are in. The text states they are in the Bellflower aquitard, while the map labels the wells as Ballona aquifer. This needs to be clarifed.",Changed from somewhat to no because no ISW map
Becky,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"While any surface water in the Subbasin that percolates into the shallow subsurface can contribute recharge to the upper shallow alluvium, the principal aquifers used for groundwater extraction in the Subbasin are separated hydrogeologically from the upper alluvium by the Bellflower Aquitard (see Section 2.3.2 Principal Aquifers and Aquitards). Also, given the principally concrete-lined channels of the Santa Monica Canyon and Ballona Creek channels, the extensive paved area in the Subbasin, and the largely urbanized storm drain system that conveys precipitation to Santa Monica Bay, minimal interaction between the groundwater and surface water occurs within the Plan Area. 

&& Groundwater outflows occur to ephemeral streams that enter the Subbasin from the Santa Monica Mountains and to Ballona Creek (Figure 2-3). During dry years the modeled outflows are typically less than a few hundred AFY (Table 2-25). However, in wet years such as 1998 and 2005, these flows can exceed 4,000AF (Table 2-25). The combined outflows to ephemeral streams and to Ballona Creek totaled 7,300 AFY and 6,400 AFY in 1998 and 2005, respectively.",Page 2-78 / 2.4.6 && Page 2-95 / 2.5.2.2,"1. Are ISWs mapped in the basin? No map
2. Is the mapping consistent with the assessment? Somewhat - Overall conclusion of disconnection makes sense since considering the majority of surface water is concrete lined but the conclusions of ISWs are vague because one area is acknolwedged as an ISW (near the wetlands), but again, the plan seems to disregard the connected area because they believe it is disconnected from the ""principle"" aquifers. Then, in the water budget section (2.5), the GSP states that groundwater outflows into ephemeral streams that enter the subbasin from the Santa Monica mountains and to Ballona Creek. Gaining stretches of streams in the basin were not acknolwedged in the ISW section (2.4.6) and it is unclear if these gaining ephemeral streams are within the subbasin or not. ","Changed from no to somehwat since within the plan area, 100% of surface water is concrete lined, but there are still some uncertainties that exist."
Becky,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","no aquifers are acknowledged (no groundwater data); shallow aquifer is acknowledged, but not considered principle for reasons like not the main pumping aquifer = no
All principal shallow aquifers are not acknowledged in ISW section (if multiple exist) = somewhat
Adequate data from shallow aquifer(s) is used in defining ISWs and all principal shallow aquifers are acknowledged= yes","principal aquifer, shallow ",No,"While any surface water in the Subbasin that percolates into the shallow subsurface can contribute recharge to the upper shallow alluvium, the principal aquifers used for groundwater extraction in the Subbasin are separated hydrogeologically from the upper alluvium by the Bellflower Aquitard (see Section 2.3.2 Principal Aquifers and Aquitards). Also, given the principally concrete-lined channels of the Santa Monica Canyon and Ballona Creek channels, the extensive paved area in the Subbasin, and the largely urbanized storm drain system that conveys precipitation to Santa Monica Bay, minimal interaction between the groundwater and surface water occurs within the Plan Area.","pg 2-78, 2.4.6","1. Are all shallow aquifers acknowledged in the ISW section (if multiple exist)? Yes - The GSP achknowledges the shallow aquifer (which is referenced when talking about both the Bellflower aquitard and the Ballona aquifer) in the section and the ""principle"" Silverado aquifer.
2. Does the plan consider the shallow aquifer(s) as principal aquifer(s)? No - The plan only considers the pumping aquifer as the principle aquifer. The plan should consider the shallow aquifers as principle because it is connected to the Ballona Creek Wetlands, providing beneficial use to environmental groundwater users.
",Changed from somewhat to no because shallow aquifer is not considered principal aquifer 
Becky,,,Environment,2,Were data gaps identified when mapping ISWs?,"no data gaps identified when there is an obvious lack of data = no
1) Vague and/or confusing mention of lacking information 2) Mention of ISW data gaps in separate section in GSP. = somewhat
Clear description of where data gaps exist (temporally and spatially) in ISW section or Data Gaps Section following the assessment= yes","Interconnected surface water, ISW",No,,,"1. Were data gaps identified? No
2. Were the data gaps identifed in the ISW section? No

No mention of data gaps",
Becky,,,Environment,2,"In the case of data gaps and uncertainty, were streams mapped and described as potential ISWs in the GSP? If ISWs are adequately mapped and there is no uncertainty in the ISW mapping, then select ""Not Applicable"".","no description or map of potential ISWs = no
1) partial inclusion of potential ISWs 2) only a description but no map or vice versa = somewhat
All uncertainties and data gaps are clearly described and mapped temporarily and spatially= yes","Interconnected surface water, ISW, data gap",No,,,1. Is there a map AND description of pISW? No map or description of pISWs,
Becky,,Groundwater Dependent Ecosystems (GDE),Environment,1,"Is there an inventory, map, or description of fauna (e.g., birds, fish, amphibian) and flora (e.g., plants) species or habitat types in the basin's GDEs? Please indicate in the notes if threatened and endangered species are identified in the GSP.","No description of flora and fauna in GDEs = no
1) lacking in either maps/description/inventory of flora and/or fauna 2) no mention of endandgered/threatened species= somewhat
Detailed inventory, maps, or description of flora AND fauna in GDEs. Also, Inclusion of any threatened and/or endangered species in the basin.= yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, habitat, species",Yes,"Within the Subbasin, communities of potential GDEs, including both potential wetland habitats and potential groundwater dependent vegetation, were identified in three grouped units: along the Pacific Coast Highway near the northwestern limit of the Plan Area, in Kenneth Hahn State Park, and in the vicinity of the Ballona Wetlands Ecological Preserve (BWER; Figure 2-53). Local groundwater elevations, aerial photographs, lithology, and previous technical evaluations were reviewed, if available, in the vicinity of each NCCAG listed community in these areas to assess local groundwater elevations. If groundwater elevations were found to support the wetlands or vegetation communities, these communities were categorized as GDEs (Figure 2-54). Where groundwater elevations were not found to support NCCAG listed communities, the communities are not considered GDEs for this GSP. If insufficient information was available on local groundwater conditions, the NCCAG listed communities were categorized as potential GDEs. Discussion of the available data and assessment of the listed communities is presented by area in the text below.

&& The NCCAG identifies 37.3 acres of vegetation communities within the BWER (Table 2-18). Of these, 8.7 acres are in Area A, 25.3 acres are in Area B, and 3.3 acres are in Area C. Although the dominant species vary between the individual areas within BWER, mule fat (Baccharis salicifolia), quailbush (Atriplex lentiformis), arroyo willow (Salix lasiolepis), spreading alkalai weed (Cressa truxillensis), and desert saltgrass (Distichlis spicata) compose the top five species identified. This vegetation, as well as other non-groundwater dependent vegetation, provides habitat for 17 special status species confirmed present within the boundaries of the BWER (Table 2-19; USACE 2017 [Appendix D]).",Page 2-79 / 2.4.7,"1. Does the plan present the flora AND fauna in the basin's GDEs? Habitat types? Yes
2. Does the plan acknowledge endangered/threatened/special status species in GDEs? Yes - Table 2-20 is special status species confirmed in the BWER (Ballona Wetlands Ecological Reserve).

GSP should correct labeling for columns in Table 2-20: the first column is named ""vegetation type,"" but it should actually be species name, given that the table includes flora and fauna.",
Becky,,,Environment,1,"Were GDEs in the basin identified (mapped) and described in the GSP using best available data (e.g., NC dataset, localized VegMap data)? Please describe which data were used in the Notes.","No map of GDEs (or wetlands, riparian veg, etc.) = no
1) Map of NC dataset polygons with NDMI but no specific GDE maps, 2) Maps of GDEs but unclear data/methods used = somewhat
GSP used NC dataset or a localized vegMap to describe and map GDEs = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, VegMap",Yes,"Within the Subbasin, communities of potential GDEs, including both potential wetland habitats and potential groundwater dependent vegetation, were identified in three grouped units: along the Pacific Coast Highway near the northwestern limit of the Plan Area, in Kenneth Hahn State Park, and in the vicinity of the Ballona Wetlands Ecological Preserve (BWER; Figure 2-53). Local groundwater elevations, aerial photographs, lithology, and previous technical evaluations were reviewed, if available, in the vicinity of each NCCAG listed community in these areas to assess local groundwater elevations. If groundwater elevations were found to support the wetlands or vegetation communities, these communities were categorized as GDEs (Figure 2-54). Where groundwater elevations were not found to support NCCAG listed communities, the communities are not considered GDEs for this GSP. If insufficient information was available on local groundwater conditions, the NCCAG listed communities were categorized as potential GDEs. Discussion of the available data and assessment of the listed communities is presented by area in the text below.","pg 2-79, 2.4.7; Figure 2-53","1. Is there a map? Yes - NC dataset used to map GDEs (figure 2-53).
2. Is there a description of data sources and processing? Yes
(describe in notes) Groundwater elevations, aerial photographs, lithology, and previous technical reports were used to evaluate GDEs",
Becky,,,Environment,1,Was depth-to-groundwater data from the underlying principal aquifer used to verify the NC dataset?,"No groundwater depth data described = no
Groundwater measurements used but lack of detail in describing depth to groundwater data. Also there might be a lack of information on which aquifer the data is from. = somewhat
depth to groundwater is clearly used and description of spatial/temporal data is included = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, depth to groundwater",Somewhat,"Red Willow and Arroyo Willow are phreatophytes, plants with roots that reach the groundwater table, that have a low tolerance for saline conditions and generally grow where depth to groundwater is less than 15 feet (Robinson 1958). A localized perched groundwater zone was detected at approximately 17 feet bgs in the vicinity of these phreatophyte communities (MARRS Services Inc. 2019). The suspected source of this groundwater was a nearby surface drainage, rather than emerging groundwater (MARRS Services Inc. 2019). However, based on the shallow depth to groundwater in the vicinity of the willow communities and the low tolerance of willows to saline conditions, these communities are considered to be GDE && Historical groundwater elevations within the BWER ranged from -6 to 26 ft MSL (4 to 18 ft bgs) in Area A, 3 to 7 ft MSL (0.1 to 4.5 ft bgs) in Area B, and -2 to 8 ft MSL (2 to 23 ft bgs) in Area C (USACE 2017 [Appendix E]). These groundwater elevations were measured from borings within the Bellflower aquitard which is not currently used as a source of groundwater supply for the Subbasin. In the vicinity of the BWER, a 40 feet thick clay layer separates the Bellflower aquifer from the underlying Ballona aquifer (see Section 2.3.1 Geology).",Page 2-79 / 2.4.7.1 && Page 2-80 / 2.4.7.3 ,"1. Is data from shallowest principal aquifer used? yes - the aquifers from which groundwater data is sourced are described
2. Is there a description of the data? (spatial, temporal, proximity to GDEs?) Somewhat - the plan does a good job of stating which aquifer the groundwtaer data is coming from and proximity to GDEs, but unsure of tempral range of groundwater data used",
Becky,,,Environment,2,"Did the GSP avoid using any of the following criteria when deciding whether or not to remove NC dataset polygons from the final GDE map?: 1)Presence of Surface Water, 2)Distance from agricultural fields, 3)Principal aquifer was not considered main pumping aquifer, 4)groundwater connection % of time, 5)Other?  If so, please specify in the Notes. ","GSP uses one of the above criteria (or other illogical reason) to remove a potential GDE = no
Unclear whether or not plan used these criteria . = somewhat
The GSP does not include any of these criteria to remove a NC dataset polygon = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset",No,"There is no direct link between the shallow surface water in the Bellflower aquitard at BWER and the Silverado
aquifer in the vicinity of the primary production wellfields. Therefore, groundwater production from existing wells
will not impact groundwater elevations or the identified GDEs within the BWER.",2-82 / 2.4.7.3,,
Becky,,,Environment,2,"Were multiple water year types (e.g., wet, average, dry) of groundwater level data used to characterize groundwater conditions in the GDEs? If so, please indicate which years and water year types in the Notes.","Only 1 year of data or no data used to characterize gw conditions in GDE = no
The plan lacks a description of multi-year groundwater level data and/or only post-drought or post- SGMA benchmark data is used (after 2015)  = somewhat
1. Detailed explanation of the multi-year groundwater data used and 2. groundwater data from prior to recent drought = yes","groundwater conditions, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, depth to groundwater, depth to water",Somewhat,"Historical groundwater elevations within the BWER ranged from -6 to 26 ft MSL (4 to 18 ft bgs) in Area A, 3 to 7 ft MSL (0.1 to 4.5 ft bgs) in Area B, and -2 to 8 ft MSL (2 to 23 ft bgs) in Area C (USACE 2017 [Appendix E]).",Page 2-80 / 2.4.7.3,"Note: 
water year type does not need to be explictely mentioned when groundwater data used multiple years of known wet and dry periods

Ranges of groundwater elevations were given, but explicit mention of temporal range of data was not described in the text. The plan does reference Appendix E, which shows multi-year hydrograph data. The GSP should provide more detail in the text on what years and which water year types are correlated to the groundwater depths provided.",
Becky,,,Environment,2,Were depth-to-groundwater measurements under GDEs corrected for land surface elevations?,"depth to water measurements interpolated from wells = no
Model is said to use groundwater elevations, but did not state that they corrected for land surface elevation = somewhat
It is explicit that groundwater measurements used to verify GDEs are correct for land surface elevation = yes","DEM, digital elevation model, land surface elevation, depth to groundwater, GDE, groundwater dependent ecosystem",Somewhat,"Historical groundwater elevations within the BWER ranged from -6 to 26 ft MSL (4 to 18 ft bgs) in Area A, 3 to 7 ft MSL (0.1 to 4.5 ft bgs) in Area B, and -2 to 8 ft MSL (2 to 23 ft bgs) in Area C (USACE 2017 [Appendix E]).",Page 2-80 / 2.4.7.3,1. Was a digital elevation model (DEM) or Lidar data used to correct for land surface elevation? Somewhat (uncertain) - Groundwater measurements are provided as both elevations and depths wihen describing groundwater conditions in the BWER. No mention of DEM used to correct for landsurface elevation.,Changed from yes to somehwhat because no mention of DEM or correcting for land surface.
Becky,,,Environment,2,Were data gaps identified when mapping GDEs?,"No data gaps identified when there likely should be = no
Vague description of a lack of data or data gaps mentioned in other section of GSP = somewhat
Clear description of data gaps (spatial and temporal) in text and/or mapped = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, data gap, shallow monitoring well, shallow aquifer",No,,,"1. Were data gaps identified? No
2. Were the data gaps identifed in the GDE section? No

No data gaps identified in GDE section",
Becky,,,Environment,2,"In the case of data gaps and uncertainty, were potential GDEs mapped and described in the GSP?","Potential GDEs are not mapped or described in plan  = no
Vague description of potential GDEs and/or no map; wrong methods for assuming non-GDEs = somewhat
Potential GDEs are clearly acknowledged and mapped. = yes","potential groundwater dependent ecosystem, potential GDE, potential groundwater-dependent ecosystem, data gap",Yes,"Within the Subbasin, communities of potential GDEs, including both potential wetland habitats and potential
groundwater dependent vegetation, were identified in three grouped units: along the Pacific Coast Highway near
the northwestern limit of the Plan Area, in Kenneth Hahn State Park, and in the vicinity of the Ballona Wetlands
Ecological Preserve (BWER; Figure 2-53).","pg 2-79, 2.4.7; Figure 2-53",1. Is there a map AND description of pGDEs? yes,
Lauren,,Water Budget,Ecosystems,1,"Does the GSP include water demands for native vegetation in the historic, current, and projected water budgets?","No: No mention of evapotranspiration for the water budget
Somewhat: Numerical models that include different land cover classes in evapotranspiration 
Yes: Riparian Evapotranspiration separated out in the water budget charts or tables ","water budget, native vegetation, phreatophyte",No,,,"1. Is the water budget made with a spreadsheet model or numerical model? Numerical
2. Is there a line for Native Veg ET in the water budget? No
",
Lauren,,,Ecosystems,1,"Does the GSP include water demands for managed wetlands in the historic, current, and projected water budgets?","No: No line item or description of managed wetlands’ water demands in water budgets even if wetlands are discussed in other areas of GSP. No mention of managed wetlands in GSP.  
Somewhat: Managed wetlands are part of the numerical model or spreadsheet model assumptions but not included as a separate line item
Yes: Separate line item for managed wetlands in water budgets","water budget, managed wetlands",No,"Adjacent to the northeastern boundary of Area B, the California State Lands Commission owns 26 acres of freshwater marsh that was constructed between 2001 and 2003 as a mitigation site for the Playa Vista development (USEPA 2012). Groundwater that is pumped from the Ballona aquifer and Bellflower aquitard in Playa Vista is treated to remove VOCs and other contaminants of concern at the site and discharged to Centinela Creek. This treated discharge is a primary component of flow in the freshwater marsh. Because the freshwater marsh is a managed ecosystem that would not exist without the surface water flows in Centinela Creek, no natural communities commonly associated with groundwater were identified in the NCCAG database within the boundaries of the freshwater marsh",Page 2-82 / 2.4.7.4,"1. Is the water budget made with a spreadsheet model or numerical model? Numerical
2. Is there a line for Managed Wetlands in the water budget? No
",
Lauren,,,Climate Change,1,"Does the GSP incorporate climate change into the projected water budget using DWR change factors or other source? If other, please specify in the Notes. If DWR change factors were used, indicate in the Notes whether the GSP use 2030 factors, 2070 factors, or both?","No: Climate change not incorporated into projected water budget
Somewhat: Use a different climate model other than DWR change factors but description of methodology is unclear
Yes: Climate change is incorporated and methods are clearly stated","water budget, climate change, change factors, 2030, 2070",Yes,"Three total future scenarios are discussed below. These include a future baseline scenario, as well as two future scenarios that incorporate climate change. Climate change factors provided by DWR for the years 2030 and 2070 were applied to the future baseline hydrology to adjust temperature, evapotranspiration, and precipitation based on projected climate conditions in the Subbasin (see Section 2.2.3 Historical, Current, and Projected Climate). Additionally, DWR provided sea level forecasts for 2030 and 2070 that include sea level rise of 15 cm and 45 cm, respectively. Current sea level was maintained in the future baseline scenario.",Page 2-98 / 2.5.5.3,"1. Is climate change incorporated? Yes
2. Do they use DWR change factors (climate period analysis), transitory analysis or something else (describe)? DWR
3. If using DWR climate change factors, do they use 2030, 2070 or both? Both",
Lauren,,,Climate Change,1,"Does the GSP consider multiple climate scenarios (e.g., the 2070 wet and 2070 extremely dry) scenarios in the projected water budget? If there are other scenarios considered in the GSP, please specify in the Notes.","No: Only one climate scenario used
Somewhat: no somewhat for this question
Yes: Multiple climate scenarios used (wet / extremely dry) and provided in projected water budget","projected water budget, 2070",No,"The DWR climate change datasets include two future climate period conditions: one 2030 (near future) and three 2070 scenarios (late future). The latter consists of the central tendency of the ensemble of the general circulation models (GCMs), drier with extreme warming (2070 DEW) conditions and wetter with moderate warming (2070 WMW) conditions. The climate change data falls into three categories. First, climatological data such as recipitation and reference evapotranspiration on a state-wide gridded basis; second, hydrological data such as unimpaired streamflow as point data; and third, Central Valley Project operations data. The latter are not relevant for the Santa Monica Basin. && Future climate conditions in the Subbasin are projected to be warmer and drier than they have been historically (Cayan et al. 2010; Allen and Anderson 2018). In order to better quantify the potential effects of climate change within each groundwater basin in California, DWR provided climate change datasets at an approximately 6 km grid-scale that were originally developed for the Water Storage Investment Program (DWR 2018). These datasets were derived from a collection of 20 global climate projections. The central tendency of each of the 20 projections was used to establish 2030 and 2070 projected climate conditions.","pg 2-53, 2.2.3.2
pg 8, 5.1, Appendix F
","1. If they use DWR climate change factors, which scenarios do they use? (central tendency, extreme wet, extreme dry) Central Tendency for both 2030 and 2070
2. If other than DWR factors, which combination(s) of RCP and GCM do they use?
3. If other than DWR factors, do they use an ensemble of models or single model run?",
Lauren,,,Climate Change,2,Does the GSP incorporate climate change into precipitation inputs for the projected water budget?,"No: Precipitation not adjusted for climate change in inputs for projected water budget
Somewhat: no somewhat for this question
Yes: Precipitation adjusted for climate change either through change factors or other model projections for the projected water budget","projected water budget, precipitation, input",Yes,"Within the Subbasin, the 2030 and 2070 datasets consist of monthly change factors for precipitation, and evapotranspiration that, when multiplied by the historical precipitation, or evapotranspiration provide an estimate of future climate conditions. Additionally, DWR provided de-trended historical temperature and 2030 and 2070 predicted temperatures in the Subbasin. These data sets were used to calculate temperature change factors and were applied to the historical temperature record. Using the DWR climate change factors, temperatures in the Subbasin are expected to increase by approximately 2 degrees Fahrenheit by 2030 and approximately 4.5 degrees Fahrenheit by 2070 (Figure 2-12).
Precipitation in the Subbasin is projected to remain relatively constant in the Subbasin in both the 2030 and 2070 scenarios. At the UCLA precipitation gauge, precipitation is projected to be 16.51 inches, slightly higher than the long-term historical average, under the 2030 scenario, and 16.33 inches, approximately equal to the long-term historical average, under the 2070 scenario. The timing of the precipitation is, however, projected to change with more precipitation received in January and February, and less precipitation received in October, November, and December (Figure 2-14).",Page 2-53 / 2.2.3.2,,
Lauren,,,Climate Change,2,Does the GSP incorporate climate change into evapotranspiration inputs for the projected water budget?,"No: Evapotranspiration not adjusted for climate change in projected water budget inputs
Somewhat: no somewhat for this question
Yes: Evapotranspiration adjusted for climate change either through change factors or other model projections in projected water budgets","projected water budget, evapotranspiration, ET, input",Yes,"Overall, evapotranspiration is projected to increase by approximately 4% relative to historical rates in the 2030 scenario and by approximately 9% relative to historical rates in the 2070 scenario. Higher evapotranspiration rates reflect projected increases in temperature for the Subbasin in each of these scenarios.",Page 2-54 / 2.2.3.2,,
Lauren,,,Climate Change,2,"Does the GSP incorporate climate change into surface water flow inputs (e.g., imported water, streamflow) for the projected water budget?","No: Surface water inputs are not accounted for in projected water budgets
Somewhat: CC in surface water flows, BUT imported water not adjusted 
Yes: Surface water flows adjusted for climate change (DWR change factors for spreadsheet model, modeled with adjusted precip and ET for numerical model) and if there is imported water, it is adjusted as well.","projected water budget, surface water flow, input",No,"No surface water is diverted for use within the Subbasin. Surface flows occur within lined channels and are generally disconnected from the underlying groundwater system (see Section 2.4.6 Interconnected Groundwater and Surface Water). Therefore, the following discussion focuses on the volume of groundwater entering and leaving the Subbasin during the historical, current, and future projected conditions && Surface water supply availability and reliability was not changed for future conditions. MWD and its member agencies have developed new projects to increase the diversity and capacity of imported water supplies while encouraging its member agencies, including the City of Santa Monica, to develop local supply projects to meet the needs of their customers (City of Santa Monica 2018a). The diversity of additional potential water supply projects in the broader Los Angeles Coastal Plain is discussed further in Appendix H.",Page 2-97 / 2.5.5 && Page 2-99 / 2.5.5.3,"1. Is the water budget made with a numerical model or spreadsheet model? Numerical
2. If spreadsheet, are DWR surface water change factors included?
3. Is there imported water in the water budget? Is this adjusted for climate change? No",
Lauren,,,Climate Change,2,Does the GSP incorporate climate change into sea level inputs for the projected water budget?,"No: Does not mention or apply sea level rise into projected water budget though located in vicinity of coastal region
Somewhat: no somewhat for this question
Yes: Clear sea level rise projections under climate change incorporated into projected water budget","projected water budget, sea level, input",Yes,"Additionally, DWR provided sea level forecasts for 2030 and 2070 that include sea level rise of 15 cm and 45 cm, respectively. Current sea level was maintained in the future baseline scenario.",Page 2-98 / 2.5.5.3,,
