Unnamed: 0,y tonz,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"SGMA identifies interested parties that the GSA must consider when developing and implementing the GSP, including: • Agricultural users of water • Domestic well owners • Municipal well operators • Public water systems • Land use planning agencies • Environmental users of groundwater • Surface water users • The federal government • California Native American tribes (see Appendix A for Tribal Outreach Guidance Document) • Disadvantaged communities (including those served by private domestic wells or small community water systems).

&&

Occurrence and Location of Disadvantaged Communities in the Subbasin Over half of the Subbasin is covered by some level of DAC, notably in the Glenn County portion of the southern Subbasin, west of I-5, and near the City of Corning (Figure 2-22). Identification of DACs helps ensure the GSP adequately protects all beneficial users


&&

Communication & Engagement Forums Member Agencies Governance Briefings Member Agency board members may brief their councils or boards regularly on GSA activities and may work with the Corning Subbasin Advisory Board to provide additional briefings on sensitive or important topics. Stakeholder Briefings Corning Subbasin Advisory Board members will meet with and communicate regularly with the stakeholders they represent. To promote consistent messaging, to the extent possible, all briefings will be coordinated through the Advisory Board structure. Public Meetings/Hearing Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. Regular meetings of the GSAs and the Corning Subbasin Advisory Board constitute regular public meetings that will be noticed and conducted in accordance with the Ralph M. Brown Act. SGMA requires that public meetings be held prior to the adoption of fees or the adoption of GSP elements and the final GSP document. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSAs will hold required public meetings and hearings, but will also use less formal public workshops to solicit feedback and information throughout the process. Public Workshops The Corning Subbasin Advisory Board will convene public workshops. These workshops provide less formal opportunities for people to learn about groundwater, SGMA, and GSP elements. Workshops can be organized in a variety of ways, including open houses, “stations” where people can ask questions one-on-one, and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, comment cards and other techniques to promote inclusion. Whatever format is used, workshops will be designed to maximize opportunities for public input. 6 Public Notices In addition to the public notice required for fee adoption, SGMA requires that prior to initiating the development of a GSP, GSAs must provide a written statement describing the manner in which interested parties may participate in the development and implementation of the GSP. The statement must be provided to all the cities and counties within the subbasin. As outlined in this Communications and Engagement Plan, there will be a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at GSA and Corning Subbasin Advisory Board meetings and through written comments.

&&

2.16.3.3 Public Engagement Opportunities Throughout GSP development, the GSP Development Team provided public engagement opportunities, solicited input, and incorporated input into proposals to the CSAB and GSAs. Table 2-12 outlines the public comment opportunities and their objectives for soliciting active public comments, questions, and suggestions to decision makers and the GSP Development Team to inform the GSP. The GSP Development Team identified the objectives of each public comment opportunity and the format in which the public could actively participate. Due to COVID restrictions, CSAB convened over a 2-way interactive videoconference platform. The Board convened 2 meetings with 2-way videoconference access. While many CSAB members most appreciated the opportunities for in-person meetings, many of the public participants expressed appreciation for the opportunity to participate and make public comment via virtual access. It is important to note that the format for all virtual meetings allowed 2-way engagement with the public, which facilitated some back-and-forth clarification, answering questions, and generally an inviting atmosphere for public comments. This 2-way virtual format produces a more conversational and inviting outcome in contrast with written public comment through the meeting chat or email during virtual meetings, which can be more reductive and restrictive. Finally, Table 2-12 also includes the stakeholder sectors and institutional stakeholders who participated in these opportunities to engage and provide comment.","Appendix 2A / 3, 5, 6
2-64
2-71","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagaement= Inform 
3. Evidence/strategies listed for level of engagement:

GSP identifies DACs within the basin by mapping them. No specific targetted engagement is documented. The GSP provides documentation of general stakeholder engagement. "
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Yes,"Tribal Lands The Paskenta Band has jurisdiction over the Paskenta Reservation (Tribal Lands). This approximately 2,000-acre Reservation is located in the center of the Subbasin, southwest of the City of Corning and is completely reliant on groundwater for drinking water and irrigation supplies. As of 2016, there were 269 tribal members in the Paskenta Band (Bold Planning, 2020). The tribal council for the Paskenta Band consists of a chairperson, vice chairperson, public works manager, treasurer, and secretary and there is also a chief executive officer and chief financial officer for the tribal commercial pursuits (Bold Planning, 2020). The Paskenta Reservation includes numerous business enterprises, including the Rolling Hills Casino, equestrian center, and golf courses (LACO, 2019). The Paskenta Band has 2 groundwater supply wells that they use to provide water for the casino and golf courses. The supply well for the casino is capable of pumping 600 gallons per minute (Bold Planning, 2020). Water supply for the Reservation is discussed in more detail in the Basin Setting. The tribe utilizes a tertiary wastewater treatment plant (WWTP) to treat and dispose of up to 100,000 gallons per day of water on the Reservation (LACO, 2019). In 2019, the Rolling Hills Casino and Resort proposed a 3.2-acre expansion within the developed footprint of the existing Casino and other commercial enterprises (LACO, 2019). In addition to the commercial enterprises associated with the casino and golf courses, the Reservation includes 1,400-acres of open space used for wildlife habitat, conservation, hunting, and fishing. Popular hunting attractions include pheasant, quail, chukar, dove, turkey, waterfowl, and wild boar.7 Luk Lake is a 65-acre lake utilized for bass and trout fishing. 8 The lake was formed by the construction of Top Cat Dam in 1976 (Tehama County, 2018).

&& 

Communication & Engagement Forums Member Agencies Governance Briefings Member Agency board members may brief their councils or boards regularly on GSA activities and may work with the Corning Subbasin Advisory Board to provide additional briefings on sensitive or important topics. Stakeholder Briefings Corning Subbasin Advisory Board members will meet with and communicate regularly with the stakeholders they represent. To promote consistent messaging, to the extent possible, all briefings will be coordinated through the Advisory Board structure. Public Meetings/Hearing Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. Regular meetings of the GSAs and the Corning Subbasin Advisory Board constitute regular public meetings that will be noticed and conducted in accordance with the Ralph M. Brown Act. SGMA requires that public meetings be held prior to the adoption of fees or the adoption of GSP elements and the final GSP document. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSAs will hold required public meetings and hearings, but will also use less formal public workshops to solicit feedback and information throughout the process. Public Workshops The Corning Subbasin Advisory Board will convene public workshops. These workshops provide less formal opportunities for people to learn about groundwater, SGMA, and GSP elements. Workshops can be organized in a variety of ways, including open houses, “stations” where people can ask questions one-on-one, and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, comment cards and other techniques to promote inclusion. Whatever format is used, workshops will be designed to maximize opportunities for public input. 6 Public Notices In addition to the public notice required for fee adoption, SGMA requires that prior to initiating the development of a GSP, GSAs must provide a written statement describing the manner in which interested parties may participate in the development and implementation of the GSP. The statement must be provided to all the cities and counties within the subbasin. As outlined in this Communications and Engagement Plan, there will be a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at GSA and Corning Subbasin Advisory Board meetings and through written comments.

&&

2.16.3.3 Public Engagement Opportunities Throughout GSP development, the GSP Development Team provided public engagement opportunities, solicited input, and incorporated input into proposals to the CSAB and GSAs. Table 2-12 outlines the public comment opportunities and their objectives for soliciting active public comments, questions, and suggestions to decision makers and the GSP Development Team to inform the GSP. The GSP Development Team identified the objectives of each public comment opportunity and the format in which the public could actively participate. Due to COVID restrictions, CSAB convened over a 2-way interactive videoconference platform. The Board convened 2 meetings with 2-way videoconference access. While many CSAB members most appreciated the opportunities for in-person meetings, many of the public participants expressed appreciation for the opportunity to participate and make public comment via virtual access. It is important to note that the format for all virtual meetings allowed 2-way engagement with the public, which facilitated some back-and-forth clarification, answering questions, and generally an inviting atmosphere for public comments. This 2-way virtual format produces a more conversational and inviting outcome in contrast with written public comment through the meeting chat or email during virtual meetings, which can be more reductive and restrictive. Finally, Table 2-12 also includes the stakeholder sectors and institutional stakeholders who participated in these opportunities to engage and provide comment.","2-26
2-64
2-71","1. Tribes identified? (yes/no): YES
2. If yes, which level of engagment: Engagement=Inform & Involve
3. Evidence/strategies listed for level of engagement:
General stakeholder engagemement is documented, Tribes are identified  and have been given a seat on the Advisory Committee for the GSP. Details about groundwater usage by Tribes is identified as well. "
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"SGMA identifies interested parties that the GSA must consider when developing and implementing the GSP, including: • Agricultural users of water • Domestic well owners • Municipal well operators • Public water systems • Land use planning agencies • Environmental users of groundwater • Surface water users • The federal government • California Native American tribes (see Appendix A for Tribal Outreach Guidance Document) • Disadvantaged communities (including those served by private domestic wells or small community water systems).


Communication & Engagement Forums Member Agencies Governance Briefings Member Agency board members may brief their councils or boards regularly on GSA activities and may work with the Corning Subbasin Advisory Board to provide additional briefings on sensitive or important topics. Stakeholder Briefings Corning Subbasin Advisory Board members will meet with and communicate regularly with the stakeholders they represent. To promote consistent messaging, to the extent possible, all briefings will be coordinated through the Advisory Board structure. Public Meetings/Hearing Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. Regular meetings of the GSAs and the Corning Subbasin Advisory Board constitute regular public meetings that will be noticed and conducted in accordance with the Ralph M. Brown Act. SGMA requires that public meetings be held prior to the adoption of fees or the adoption of GSP elements and the final GSP document. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSAs will hold required public meetings and hearings, but will also use less formal public workshops to solicit feedback and information throughout the process. Public Workshops The Corning Subbasin Advisory Board will convene public workshops. These workshops provide less formal opportunities for people to learn about groundwater, SGMA, and GSP elements. Workshops can be organized in a variety of ways, including open houses, “stations” where people can ask questions one-on-one, and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, comment cards and other techniques to promote inclusion. Whatever format is used, workshops will be designed to maximize opportunities for public input. 6 Public Notices In addition to the public notice required for fee adoption, SGMA requires that prior to initiating the development of a GSP, GSAs must provide a written statement describing the manner in which interested parties may participate in the development and implementation of the GSP. The statement must be provided to all the cities and counties within the subbasin. As outlined in this Communications and Engagement Plan, there will be a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at GSA and Corning Subbasin Advisory Board meetings and through written comments.

&&

2.16.3.3 Public Engagement Opportunities Throughout GSP development, the GSP Development Team provided public engagement opportunities, solicited input, and incorporated input into proposals to the CSAB and GSAs. Table 2-12 outlines the public comment opportunities and their objectives for soliciting active public comments, questions, and suggestions to decision makers and the GSP Development Team to inform the GSP. The GSP Development Team identified the objectives of each public comment opportunity and the format in which the public could actively participate. Due to COVID restrictions, CSAB convened over a 2-way interactive videoconference platform. The Board convened 2 meetings with 2-way videoconference access. While many CSAB members most appreciated the opportunities for in-person meetings, many of the public participants expressed appreciation for the opportunity to participate and make public comment via virtual access. It is important to note that the format for all virtual meetings allowed 2-way engagement with the public, which facilitated some back-and-forth clarification, answering questions, and generally an inviting atmosphere for public comments. This 2-way virtual format produces a more conversational and inviting outcome in contrast with written public comment through the meeting chat or email during virtual meetings, which can be more reductive and restrictive. Finally, Table 2-12 also includes the stakeholder sectors and institutional stakeholders who participated in these opportunities to engage and provide comment.

","Appendix 2A / 3
2-64
2-71","
1. Environmental Stakeholders identified? The GSP  mentions ""Environmental users of groundwater"" but does not identify specific environmental groups or organizations. 
2. Which level of engagment: Engagement= Inform
3. Evidence/strategies listed for level of engagement:
"
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Communication & Engagement Forums Member Agencies Governance Briefings Member Agency board members may brief their councils or boards regularly on GSA activities and may work with the Corning Subbasin Advisory Board to provide additional briefings on sensitive or important topics. Stakeholder Briefings Corning Subbasin Advisory Board members will meet with and communicate regularly with the stakeholders they represent. To promote consistent messaging, to the extent possible, all briefings will be coordinated through the Advisory Board structure. Public Meetings/Hearing Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. Regular meetings of the GSAs and the Corning Subbasin Advisory Board constitute regular public meetings that will be noticed and conducted in accordance with the Ralph M. Brown Act. SGMA requires that public meetings be held prior to the adoption of fees or the adoption of GSP elements and the final GSP document. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSAs will hold required public meetings and hearings, but will also use less formal public workshops to solicit feedback and information throughout the process. Public Workshops The Corning Subbasin Advisory Board will convene public workshops. These workshops provide less formal opportunities for people to learn about groundwater, SGMA, and GSP elements. Workshops can be organized in a variety of ways, including open houses, “stations” where people can ask questions one-on-one, and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, comment cards and other techniques to promote inclusion. Whatever format is used, workshops will be designed to maximize opportunities for public input. 6 Public Notices In addition to the public notice required for fee adoption, SGMA requires that prior to initiating the development of a GSP, GSAs must provide a written statement describing the manner in which interested parties may participate in the development and implementation of the GSP. The statement must be provided to all the cities and counties within the subbasin. As outlined in this Communications and Engagement Plan, there will be a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at GSA and Corning Subbasin Advisory Board meetings and through written comments.

&&

2.16.3.3 Public Engagement Opportunities Throughout GSP development, the GSP Development Team provided public engagement opportunities, solicited input, and incorporated input into proposals to the CSAB and GSAs. Table 2-12 outlines the public comment opportunities and their objectives for soliciting active public comments, questions, and suggestions to decision makers and the GSP Development Team to inform the GSP. The GSP Development Team identified the objectives of each public comment opportunity and the format in which the public could actively participate. Due to COVID restrictions, CSAB convened over a 2-way interactive videoconference platform. The Board convened 2 meetings with 2-way videoconference access. While many CSAB members most appreciated the opportunities for in-person meetings, many of the public participants expressed appreciation for the opportunity to participate and make public comment via virtual access. It is important to note that the format for all virtual meetings allowed 2-way engagement with the public, which facilitated some back-and-forth clarification, answering questions, and generally an inviting atmosphere for public comments. This 2-way virtual format produces a more conversational and inviting outcome in contrast with written public comment through the meeting chat or email during virtual meetings, which can be more reductive and restrictive. Finally, Table 2-12 also includes the stakeholder sectors and institutional stakeholders who participated in these opportunities to engage and provide comment.","2-64
2-71","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for DACs?  ( yes/no) NO
3. What level of outreach engagement? 

GSP documents outreach stategies  during implementation in the same part where they describe those for development. No other details are provided except the continuation of current engagement stategies and outreach. "
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Somewhat,"Communication & Engagement Forums Member Agencies Governance Briefings Member Agency board members may brief their councils or boards regularly on GSA activities and may work with the Corning Subbasin Advisory Board to provide additional briefings on sensitive or important topics. Stakeholder Briefings Corning Subbasin Advisory Board members will meet with and communicate regularly with the stakeholders they represent. To promote consistent messaging, to the extent possible, all briefings will be coordinated through the Advisory Board structure. Public Meetings/Hearing Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. Regular meetings of the GSAs and the Corning Subbasin Advisory Board constitute regular public meetings that will be noticed and conducted in accordance with the Ralph M. Brown Act. SGMA requires that public meetings be held prior to the adoption of fees or the adoption of GSP elements and the final GSP document. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSAs will hold required public meetings and hearings, but will also use less formal public workshops to solicit feedback and information throughout the process. Public Workshops The Corning Subbasin Advisory Board will convene public workshops. These workshops provide less formal opportunities for people to learn about groundwater, SGMA, and GSP elements. Workshops can be organized in a variety of ways, including open houses, “stations” where people can ask questions one-on-one, and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, comment cards and other techniques to promote inclusion. Whatever format is used, workshops will be designed to maximize opportunities for public input. 6 Public Notices In addition to the public notice required for fee adoption, SGMA requires that prior to initiating the development of a GSP, GSAs must provide a written statement describing the manner in which interested parties may participate in the development and implementation of the GSP. The statement must be provided to all the cities and counties within the subbasin. As outlined in this Communications and Engagement Plan, there will be a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at GSA and Corning Subbasin Advisory Board meetings and through written comments.

&&

2.16.3.3 Public Engagement Opportunities Throughout GSP development, the GSP Development Team provided public engagement opportunities, solicited input, and incorporated input into proposals to the CSAB and GSAs. Table 2-12 outlines the public comment opportunities and their objectives for soliciting active public comments, questions, and suggestions to decision makers and the GSP Development Team to inform the GSP. The GSP Development Team identified the objectives of each public comment opportunity and the format in which the public could actively participate. Due to COVID restrictions, CSAB convened over a 2-way interactive videoconference platform. The Board convened 2 meetings with 2-way videoconference access. While many CSAB members most appreciated the opportunities for in-person meetings, many of the public participants expressed appreciation for the opportunity to participate and make public comment via virtual access. It is important to note that the format for all virtual meetings allowed 2-way engagement with the public, which facilitated some back-and-forth clarification, answering questions, and generally an inviting atmosphere for public comments. This 2-way virtual format produces a more conversational and inviting outcome in contrast with written public comment through the meeting chat or email during virtual meetings, which can be more reductive and restrictive. Finally, Table 2-12 also includes the stakeholder sectors and institutional stakeholders who participated in these opportunities to engage and provide comment.","2-64
2-71","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Tribes?  (yes/no) NO
3. What level of outreach engagement? 


GSP documents outreach stategies  during implementation in the same part where they describe those for development. No other details are provided except the continuation of current engagement stategies and outreach. "
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"Communication & Engagement Forums Member Agencies Governance Briefings Member Agency board members may brief their councils or boards regularly on GSA activities and may work with the Corning Subbasin Advisory Board to provide additional briefings on sensitive or important topics. Stakeholder Briefings Corning Subbasin Advisory Board members will meet with and communicate regularly with the stakeholders they represent. To promote consistent messaging, to the extent possible, all briefings will be coordinated through the Advisory Board structure. Public Meetings/Hearing Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. Regular meetings of the GSAs and the Corning Subbasin Advisory Board constitute regular public meetings that will be noticed and conducted in accordance with the Ralph M. Brown Act. SGMA requires that public meetings be held prior to the adoption of fees or the adoption of GSP elements and the final GSP document. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSAs will hold required public meetings and hearings, but will also use less formal public workshops to solicit feedback and information throughout the process. Public Workshops The Corning Subbasin Advisory Board will convene public workshops. These workshops provide less formal opportunities for people to learn about groundwater, SGMA, and GSP elements. Workshops can be organized in a variety of ways, including open houses, “stations” where people can ask questions one-on-one, and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, comment cards and other techniques to promote inclusion. Whatever format is used, workshops will be designed to maximize opportunities for public input. 6 Public Notices In addition to the public notice required for fee adoption, SGMA requires that prior to initiating the development of a GSP, GSAs must provide a written statement describing the manner in which interested parties may participate in the development and implementation of the GSP. The statement must be provided to all the cities and counties within the subbasin. As outlined in this Communications and Engagement Plan, there will be a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at GSA and Corning Subbasin Advisory Board meetings and through written comments.

&&

2.16.3.3 Public Engagement Opportunities Throughout GSP development, the GSP Development Team provided public engagement opportunities, solicited input, and incorporated input into proposals to the CSAB and GSAs. Table 2-12 outlines the public comment opportunities and their objectives for soliciting active public comments, questions, and suggestions to decision makers and the GSP Development Team to inform the GSP. The GSP Development Team identified the objectives of each public comment opportunity and the format in which the public could actively participate. Due to COVID restrictions, CSAB convened over a 2-way interactive videoconference platform. The Board convened 2 meetings with 2-way videoconference access. While many CSAB members most appreciated the opportunities for in-person meetings, many of the public participants expressed appreciation for the opportunity to participate and make public comment via virtual access. It is important to note that the format for all virtual meetings allowed 2-way engagement with the public, which facilitated some back-and-forth clarification, answering questions, and generally an inviting atmosphere for public comments. This 2-way virtual format produces a more conversational and inviting outcome in contrast with written public comment through the meeting chat or email during virtual meetings, which can be more reductive and restrictive. Finally, Table 2-12 also includes the stakeholder sectors and institutional stakeholders who participated in these opportunities to engage and provide comment.","2-64
2-71","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  (yes/no) NO
3. What level of outreach engagement? 


GSP documents outreach stategies  during implementation in the same part where they describe those for development. No other details are provided except the continuation of current engagement stategies and outreach. "
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,2.16 Notice and Communication A Communications & Engagement Plan (C&E Plan) has been developed and is included in Appendix 2A.,"Appendix 2A
2-63",Appendix 2A serves as the Communications & Engagement Plan for the basin. 
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Yes,"Occurrence and Location of Disadvantaged Communities in the Subbasin Over half of the Subbasin is covered by some level of DAC, notably in the Glenn County portion of the southern Subbasin, west of I-5, and near the City of Corning (Figure 2-22). Identification of DACs helps ensure the GSP adequately protects all beneficial users

","Figure 2-22
2-64","1. Location on the map? (yes/no) YES
2. Identified by name? (yes/no)  YES, city of Corning and Glenn County
3. DAC places, tracks, or block data used in map?

DAC block groups used on map."
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",No,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)


Tribal lands are not mapped. "
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,"According to the SGMA Basin Prioritization Dashboard, the estimated population of the Corning Subbasin was 18,902 people in 2010.",2021-02-01 00:00:00,"1. Does the GSP document the size of the population for each DAC?
GSP does not document the size of population for DACs. "
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,"Well construction information for each well is summarized in Table 3-2. The well screen intervals of the characteristic wells range from 120 to 295 feet below ground surface (bgs). 

&&

Figure 3-7 displays hydrographs of 4 characteristic wells; Table 3-3 lists the well screen intervals and total depths. Well depths for the characteristic wells range from 108 to 780 feet bgs, representing an array of screened intervals.","
3-60
3-62 (Table 3-2)","1. Does the map include depth by location?
Table 3-2 includes a range of well depths including domestic wells but is not mapped. "
