Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"Organizations Representing Environmental Uses of Groundwater  Sonoma County Water Coalition  Sonoma County Conservation Action  Friends of Petaluma River  Petaluma Wetlands Alliance

&&

The Petaluma Valley GSA formed an advisory committee of 10 members with 5 at-large members appointed from the five member agencies, and 5 interest-based members appointed by the Petaluma Valley GSA Board, as follows: • Environmental representative • Rural residential well owner • Business community • Agricultural interest • At-large community representative The role of the Advisory Committee in the GSP development process is to work toward consensus and incorporate community and stakeholder interests into recommendations to the GSA Board on GSP development and SGMA implementation. Advisory Committee members also report to, and seek input, from their larger constituency groups on key components and proposals related to GSP development. The Advisory Committee meets 6 to 10 times annually, and the meetings are open to the public in compliance with California’s Ralph M. Brown Act (Government Code Section 54950). The Advisory Committee makes recommendations to the GSA Board that reflect the outcome of Advisory Committee discussions. To ensure that all viewpoints are heard and considered by the GSA Board, the Advisory Committee identifies areas of agreement and disagreement among the Advisory Committee. The names of GSA Board and Advisory Committee members can be found in Appendix 1-B, and the Advisory Committee Charter is shown in Appendix 1-C.

&&

Stakeholders on the GSA Board and Advisory Committee include representatives from municipal water suppliers, agriculture, environmental organizations, businesses, rural well owners, and at-large community members. Refer to Section 1.2 for additional information about GSA Board and Advisory Committee composition.

&&

SGMA defines an undesirable result as “depletions of interconnected surface water that have significant and unreasonable adverse impacts on beneficial uses of the surface water.” To help characterize environmental beneficial users, it is necessary to identify the aquatic species and habitats that could be adversely affected by lowered groundwater levels in principal aquifers and interconnected surface water depletion. The GSA partnered with the Santa Rosa Plain and Sonoma Valley GSAs to form a practitioners’ work group to provide expert advice and perspectives, which met three times between July and November 2020. The Groundwater Dependent Ecosystems Work Group (GDE Work Group) included staff, expert biologists from Sonoma Water, and representatives from the following groups/organizations: • San Francisco Estuary Institute (SFEI) • County of Sonoma Ag and Open Space Preservation District • Sonoma Ecology Center • California Department of Fish and Wildlife • Permit Sonoma • The Nature Conservancy (TNC) • NOAA National Marine Fisheries Service • Laguna Foundation

&&
Petaluma Valley GSA Advisory Committee Members
John Shribbs Environmental Interests Oct 2017-Current


&&

Communication Forums & Tools Governance Agencies Briefings: Board members will brief their councils or boards regularly on GSA activities and will work with GSA staff to provide additional briefings on sensitive or important topics. In Year One, the goal is to brief member agencies about the initiation of the GSP and the rate/fee study in January and about proposed rate/fee options in April. The purpose of the briefings is to inform boards and councils about the purpose of the GSP and the rate/fee study; the necessity and timing of the rate/fee study; and to get feedback on proposed rate/fee options. Stakeholder Briefings: Advisory Committee members will meet with and communicate regularly with organizations comprised of the stakeholder groups they represent. To avoid overlap and mixed messages, all briefings will be coordinated with outreach staff. Many stakeholder groups were interviewed in 2015, during SGMA initial stakeholder outreach. The Stakeholder Assessment can be found online at www.sonomacountygroundwater.org. Community events: Disadvantaged Communities are specifically called out in SGMA as an interested party. While 81 percent of the area in the Petaluma Valley Basin is designated an Economically Distressed Area, only one percent is categorized as a Disadvantaged Community. It is likely that many of the people living in the DAC area are Spanish speaking, and many are relatively recent immigrants. Previous assessments of engaging Sonoma County’s Spanish speaking community recommend using “food, faith and festivals” as opportunities to educate and interact with people on critical issues. Connecting with communities through existing organizations, like Petaluma People Services Center and the Boys and Girls Club, and through community events, churches and schools, provides an opportunity share information and solicit feedback on rate/fee options and GSP elements. Public Meetings/Hearings Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. SGMA requires that a public meeting be held prior to the adoption of a fee and public hearings for the adoptions of GSP elements and the final plan. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSA will hold required public meetings and hearings, but will also use less informal public workshops (described below) to solicit feedback and information early in the process. 5 Public Workshops Public educational workshops provide less formal opportunities for people to learn about groundwater, SGMA, financing options, and GSP elements. Workshops can be organized in a variety of ways, including open houses, world cafes and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, “dot” voting, comment cards and other techniques. Whatever format of workshop is used, it will be designed to maximize opportunities for public input. A workshop will be held in the spring of Year One (2018) to describe and solicit feedback on fee/rate options. Workshops will also be held as GSP elements are being developed. Public Notices In addition to the public notice required for fee adoption, SGMA requires that prior to initiating the development of a GSP, the GSA must provide a written statement describing the manner in which interested parties may participate in the development and implementation of the GSP. The statement must be provided to all the cities within the basin and to the County of Sonoma. As outlined in this Community Engagement Plan, there will be a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at Board and Advisory Committee meetings and through written comments. In Spring 2018, staff and legal counsel will work with the Advisory Committee and the Board on development of a written statement for public participation","Appendix 1-E-1
1-16
3-50
Appendix 1-B
Appendix 1-E, Page 6","
1. Environmental Stakeholders identified? YES, including Sonoma County Water Coalition, Sonoma County Conservation Action, Friends of Petaluma River, and Petaluma Wetlands Alliance

2. Which level of engagment: Engagement=Inform, Involve, Collaborate
3. Evidence/strategies listed for level of engagement:

The GSP has included documentation of environmental interests being represented on the GSP Advisory Committee since 2017 and continues to serve today. The GSP also includes  several environmental groups that worked on consulting the GSA on GDE-related issues, some of the organizations that were involved include • San Francisco Estuary Institute (SFEI) • County of Sonoma Ag and Open Space Preservation District • Sonoma Ecology Center • California Department of Fish and Wildlife • Permit Sonoma • The Nature Conservancy (TNC) • NOAA National Marine Fisheries Service • Laguna Foundation. 
"
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"7.2.2 Communication and Stakeholder Engagement To meet the requirements of SGMA, the GSA will continue the activities described in Section 1, including: • Holding regular meetings of a diverse, stakeholder-based Advisory Committee to receive feedback on implementation efforts and to solicit outreach ideas and assistance • Informing, educating, and soliciting feedback from stakeholders on the progress of implementing projects and management actions and on Basin conditions through social media, the GSA website, periodic community meetings, focused stakeholder briefings, and paid and free media • Approaching and engaging a diverse set of stakeholders and groundwater users by continuing to reach out to and meet with organizations that represent disadvantaged communities, farmers, environmental interests, rural landowners, and business interests",2021-07-02 00:00:00,"1. Documents outreach plans to stakeholders? (yes/no) YES, most of the outreach plan is based on continuing activities done during the development phase into implementation. 
2. List specific outreach methods for DACs?  ( yes/no) NO
3. What level of outreach engagement? 

"
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  (yes/no)
3. What level of outreach engagement? "
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Yes,"The Community Engagement Plan is comprised of two categories of activities a: Ongoing and project- or program-specific. Ongoing activities are the “housekeeping” tasks of the GSA outreach, including website maintenance and updates, monthly blogs to the interested parties list, updating fact sheets and FAQs, posting Board and AC meetings and materials and issuing press releases about meetings.

&&

7.2.2 Communication and Stakeholder Engagement To meet the requirements of SGMA, the GSA will continue the activities described in Section 1, including: • Holding regular meetings of a diverse, stakeholder-based Advisory Committee to receive feedback on implementation efforts and to solicit outreach ideas and assistance • Informing, educating, and soliciting feedback from stakeholders on the progress of implementing projects and management actions and on Basin conditions through social media, the GSA website, periodic community meetings, focused stakeholder briefings, and paid and free media • Approaching and engaging a diverse set of stakeholders and groundwater users by continuing to reach out to and meet with organizations that represent disadvantaged communities, farmers, environmental interests, rural landowners, and business interests",2021-07-02 00:00:00,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  (yes/no) Mentions the continuation of Advisory Committee meetings which includes an environmental stakeholder representative. More information is needed about environmental stakeholder outreach and a specific plan for implementation. 
3. What level of outreach engagement? 
Engagement=Inform, Involve, Collaborate"
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,"Appendix 1-E
","Title: Community Engagement Plan for Development and
Adoption of a Groundwater Sustainability Plan
Petaluma Valley Groundwater Sustainability Agency"
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",No,,,"1. Location on the map? (yes/no) NO
2. Identified by name? (yes/no) NO
3. DAC places, tracks, or block data used in map?

No DAC locations are mapped. The GSP documents not identifying any DACs within the basins. "
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Not Applicable,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)
"
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,,,"1. Does the GSP document the size of the population for each DAC?
GSP does not document the size of DAC population, only references that less than 1% of the basin is considered a DAC. "
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
Map does not include depth by location."
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Somewhat,"2.3.1 Groundwater Groundwater resources represent an important, and often only, source of water supply for many communities and water users in the Basin. Figure 2-6 presents a map showing the approximate location and density of water wells within the watershed, based on available data from DWR. These groundwater resources are relied upon to varying degrees by rural and urban residents, vineyards and wineries, dairies, and commercial and industrial users, and also support streamflows and ecosystems present in the Basin. Local groundwater represents an important supplemental source of supply for the City of Petaluma, which operates a municipal wellfield within the watershed.","Figure 2-6
2-12","1. How are domestic wells mapped (density/point/none)?

Domestic wells are mapped along with all other types of wells in a single map using a point and density map. There is no clear way to distinguish between domestic wells and other wells. A seperate map showing only domestic wells is recommended. "
WQ,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"3.2.5.2 Naturally Occurring Constituents of Interest
Arsenic, TDS, and chloride have been identified as naturally occurring constituents of interest through previous studies within the Basin.
Arsenic
Water-sample analyses for arsenic were available from 33 wells within the Basin and contributing watershed areas between 2010 and 2019. The occurrence and distribution of arsenic in groundwater samples is displayed on Figure 3-16. Groundwater samples from 6 of the 33 wells (18.2 percent) exceeded the MCL of 10 μg/L for arsenic.
Total Dissolved Solids
Water sample analyses for TDS (and SC as a surrogate for TDS) were available from 33 wells within the Basin and contributing watershed areas between 2010 and 2019. The occurrence and distribution of TDS in groundwater is displayed on Figure 3-17. Groundwater samples from 7 of the 33 wells (21.2 percent) exceeded the secondary MCL of 500 mg/L for TDS.
Chloride
Water sample analyses for chloride were available from 32 wells within the Basin and contributing watershed areas between 2010 and 2019. The occurrence and distribution of chloride in groundwater is displayed on Figure 3-18. Groundwater samples from 2 of the 32 wells (6.2 percent) exceeded the secondary MCL of 250 mg/L for chloride.&&&
3.2.5.3 Anthropogenic Constituents of Interest
Nitrate
Water sample analyses for nitrate were available from 30 wells within the Basin and contributing watershed areas between 2010 and 2019. The occurrence and distribution of nitrate in groundwater within the watershed is displayed on Figure 3-19. Groundwater samples from 1 of the 30 wells (3.3 percent) exceeded the MCL of 10 mg/L for nitrate (as nitrogen).
High nitrate concentrations historically were found in shallow (less than 200 feet below land surface) wells located in the contributing watershed area just northwest of the Basin and contamination was attributed to previous poultry and dairy operations (DWR 1982). Based on these high nitrate concentrations, the County established requirements for 100-foot seals in wells constructed in this area. Teague (Citation forthcoming) noted that the absence of high nitrate concentrations in groundwater samples used for the purposes of the USGS study indicate that nitrate contamination has not moved deeper into the aquifer (the majority of wells analyzed as part of the study are deeper public supply wells), but these results should not be interpreted as evidence that nitrate contamination in the shallow part of the Wilson Grove Formation has been resolved in this area.&&&
Regulated Groundwater Contaminant Sites
There are a number of currently regulated contaminant release sites located in the Basin. Many of the sites are under active cleanup order by the Regional Water Quality Control Board or County of Sonoma Department of Health Services, Environmental Health and Safety. These sites include leaking underground tanks from gasoline and solvent storage. The SWRCB’s GeoTracker website identifies 24 open site cases within the watershed (SWRCB 2021). These releases, which include petroleum and chlorinated solvent contaminants and metals, are generally of limited areal extent. No known impacts on public water-supply wells have occurred related to these release sites.
The SWRCB GAMA Priority Basin Project study of the North San Francisco Bay Groundwater Basins has included two studies by the USGS that evaluated inorganic and organic constituents in groundwater, including constituents associated with regulated contaminant release sites (Kulongoski et al. 2010; Bennett and Fram 2014). The first study conducted in 2004 included samples from 20 public water supply wells in the watershed (Kulongoski et al. 2010). The second study conducted in 2012 included samples from three private domestic wells in the watershed (Bennett and Fram 2014). These samples were analyzed for up to 270 constituents and water-quality indicators, including volatile organic compounds, pesticides, nutrients, major and minor ions, trace elements, radioactivity, microbial indicators, dissolved noble gases, and naturally occurring isotopes (Kulongoski et al. 2010; Bennett and Fram 2014). Three of the 23 public and private wells sampled as part of the GAMA program had very low-level detections of volatile organic compounds and/or pesticides, but all detections were significantly below the contaminant’s respective MCLs (Kulongoski et al. 2010; Bennett and Fram 2014).","Page 3-42/3.2.5.2
Page 3-43 / 3.2.5.3
Figure 3-16 thru 3-19
Page 3-48 / 3.2.5.3

","1. Are all concerning constituents identified as COC's, Yes/No -->which ones?  Yes, Arsenic, TDS, NItrate and chloride
2. Are the COC's mapped? Yes
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified?They mention they have done a study and evaluated 270 constitutes in three domestic wells
5. Is there a data gap/ Or not enough data related COC's? No Mention


"
WQ,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",No,,,GSP does not document or mention water sources for DACs. 
ISW/GDE,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",No,"Interconnected surface water is defined in the GSP Regulations as “surface water that is hydraulically connected at any point by a continuous saturated zone to the underlying aquifer and the overlying surface water is not completely depleted” (23 CCR 350 et seq.). Available information to map interconnected surface water is limited within the Basin and is complicated by the presence of tidal-influenced reaches of streams. Initial mapping of interconnected surface water in the Basin was informed by conditions simulated using the hydrologic model developed by the USGS (further described in Section 3.3). The model was used to evaluate stream reaches that are simulated to be more interconnected to shallow groundwater. Results of this analysis and indicate that much of the mainstem of the Petaluma River, along with the much of Tolay Creek and the lower reaches of Lichau, Lynch, Washington, Adobe, Ellis, and Capri creeks are likely interconnected surface waters. The characterization of the upper reaches of the Petaluma River (upstream of the confluence with Lynch Creek) as interconnected surface water is also supported by data from shallow monitoring well PET0172 and water quality findings by the USGS (Teague, Citation forthcoming). Improvements to mapping of interconnected surface water has been identified as a data gap that will be addressed during implementation of the GSP.

&& Figure 1-6 presents the net stream leakage of the Basin. Net stream leakage is calculated as the difference between groundwater discharge to streams and stream leakage to groundwater. Positive net stream leakage values represent conditions where the streams are gaining water from the groundwater system. Negative net stream leakage values represent conditions where streams are losing water to the groundwater system. Net stream leakage varies with climatic variations, and the degree of interconnection between streams and the underlying water table, ranging from nearly -12,000 acre-feet in WY 1978 up to 14,000 acre-feet in WY 1976

&& 3.3.3.3 Groundwater Budget: The groundwater budget shows the inflows and outflows for the saturated aquifer system of the Basin. This includes inflows and outflows of groundwater at the Basin boundaries, areal recharge, pumping, and flows of groundwater to and from streams, the surface, and ET.","Page 3-49-50 / 3.2.6.1

&& Page 3-64 / 3.3.3.1

&& Page 3-67 / 3.3.3.3","1. Is there a clear map of ISWs? no map
2. Was temporal variability and used and described? somewhat - the ISW section was very short, but there is more detail in the Water Budget section on the model used to calculate the inflow and outflows of groundwater based on historical and current budget timeframe
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? no - no details on groundwater data used (screening depth, spatial description, proximity to streams). Table 3.3 present the summary of data sources in the water budget, and the only mention of groundater levels used in the model is in connection to inflow from tidally influences Petaluma River and San Pablo Bay. Unsure of the location of these groundwater levels used to calibrate model.

Note: groundwater elevations and trends are included in section 3.2.2, which present the groundwater monitoring locations, but this information does not seem to be used for the ISW assesment"
