Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Martha,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Yes,"The GSA is committed to encouraging the active involvement of diverse social, cultural, and economic elements of the population within the groundwater basin. The County of Siskiyou website provides information regarding GSA Board Meeting frequency, background information, documents, status updates, and contact information. GSP updates will be included as noticed per GSA respective meeting agendas that are published in advance. Meetings providing updates on GSP development are scheduled on regularly, typically once a month, to inform the public and Interested Parties and provide opportunities to ask questions and make suggestions. These meetings are posted on the County of Siskiyou website and announced via email. A full list of public meetings where the GSP was discussed or considered are included in Appendix 1-B. 293
In addition, GSP Staff will be available throughout the GSP development process to communicate and engage with Interested Parties and the public. Interested Parties can be involved in GSP development by providing input throughout the process. 
Other avenues for public engagement included or will include: 
GSA Board meetings: During Public comment period of any Siskiyou County Board of Supervisors or Siskiyou County Flood Control & Water Conservation District (GSA) Board meetings
Working Groups: Working groups may be formed during GSP implementation to provide specific input from Interested Parties or on specific topics. 
Comments: Opportunity for the public or interested parties to comment on draft GSP sections or chapters is provided. Comments received through this process, and the responses provided are included in Appendix 1-C.

1.4.4. Coordination 307
GSA and Siskiyou County staff, and at times technical team held coordination meetings or phone calls to provide additional input into the GSP with various state agencies, Tribes, NGO’s, or members of the public. GSA staff and at times the technical team also attended non-SGMA focused workshops to provide updates or information regarding SGMA and the GSP development. Some highlights of those efforts are below: 

• California Department of Fish and Wildlife 
o GSA staff has monthly coordination meetings with CDFW staff to discuss numerous topics, which includes SGMA updates and key items and issue’s related to groundwater management.
• North Coast Regional Water Quality Control Board 
o Recently, GSA staff and the technical team has met with Regional Board staff regarding efforts to gather groundwater samples, and to also discuss the relationship of TMDL waivers in Scott and Shasta Valleys and how those will be impacted or partnered with projects and managements actions in the GSP.
o GSA staff and technical team participated in a Scott and Shasta flow working group, led by Regional Board staff, where immediate project needs were discussed which included actions as they will relate to GSP actions and projects. Development of the interconnected surface water SMC was discussed, and members of the working group provided comments and asked questions that were answered by the technical team. 
• Quartz Valley Tribe
• Yurok Tribe 
• Karuk Tribe 
o The GSA developed a Memorandum of Understanding (MOU) with the Karuk Tribe regarding improving coordination and communication efforts related to GSP development which provided a bridge of opportunity to discuss and deliberate on GSP development for the Scott and Shasta basins. This took multiple meetings, with valuable assistance from DWR 338 provided Facilitation Support Services. The MOU (in Appendix 1-D) was signed and approved by the District Board on March 17, 2020. 
• State Water Resources Control Board
o On November 14th and 15th, GSA and County staff, District Board members, met with SWRCB staff and toured agricultural operations in the Scott and Shasta Valleys to discuss water issues and observe on-ground projects being planned or implemented that in various ways will help improve both groundwater and surface water sources. 
• Klamath Coalition of the Willing
o This is a large group of NGO’s, Tribes, and irrigators brought together to develop solutions related to the Klamath Basin conflicts. County staff and the technical team has interacted with the group and developed project ideas that are both being implemented and in initial design phases, including managed aquifer recharge, storage development and improving upland lake management. These projects are further described in Chapter 4. 
• Scott and Shasta Valley Watermaster District 
o GSA staff and the technical team have had multiple meetings with Watermaster District staff regarding how the GSP’s will not conflict with the Watermaster duties of upholding the Scott and Shasta Valley decrees. The meetings have also been beneficial to understanding current data related to flow and determining data gaps, that will both aid in the accuracy and reliability of both basins respective numerical models.

","8 / 1.4.3.3 
Appendix 1-B","1. Tribes identified? (yes/no): Yes
2. If yes, which level of engagment: Inform and consult, involve and collaborate
3. Evidence/strategies listed for level of engagement: 

""Inform and consult through public meetings and comments.  Working groups """"may be formed."""" Also mentions the three different tribes that will be coordinated with; one of which has extensive discussion and deliberation (Karuk)

  Appendix 1-B mentions a Stakeholder Advisory Committee, its membership includes a tribal stakeholder from Quartz Valley Tribe (Crystal Robinson - environmental director).  Please refer to page 5 of Appendix 1-B as that particular PDF does not allow copy and pasting (pastes symbols instead of the text I'm copying)""",
Martha,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"The GSA is committed to encouraging the active involvement of diverse social, cultural, and economic elements of the population within the groundwater basin. The County of Siskiyou website provides information regarding GSA Board Meeting frequency, background information, documents, status updates, and contact information. GSP updates will be included as noticed per GSA respective meeting agendas that are published in advance. Meetings providing updates on GSP development are scheduled on regularly, typically once a month, to inform the public and Interested Parties and provide opportunities to ask questions and make suggestions. These meetings are posted on the County of Siskiyou website and announced via email. A full list of public meetings where the GSP was discussed or considered are included in Appendix 1-B. In addition, GSP Staff will be available throughout the GSP development process to communicate and engage with Interested Parties and the public. Interested Parties can be involved in GSP development by providing input throughout the process. 
Other avenues for public engagement included or will include: 
GSA Board meetings: During Public comment period of any Siskiyou County Board of Supervisors or Siskiyou County Flood Control & Water Conservation District (GSA) Board meetings
Working Groups: Working groups may be formed during GSP implementation to provide specific input from Interested Parties or on specific topics. 
Comments: Opportunity for the public or interested parties to comment on draft GSP sections or chapters is provided. Comments received through this process, and the responses provided are included in Appendix 1-C.
","8 / 1.4.3.3 
Appendix 1-B","
1. Environmental Stakeholders identified? Yes
2. Which level of engagment: Inform and consult, involve and  collaborate
3. Evidence/strategies listed for level of engagement:

Inform and consult through public meetings and comments.  Working groups ""may be formed.""  Appendix 1-B mentions a Stakeholder Advisory Committee, its membership includes a member from the  environmental/conservation interests (Andrew Braugh).  Please refer to page 5 of Appendix 1-B as that particular PDF does not allow copy and pasting (pastes symbols instead of the text I'm copying)",
Martha,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,,11 / Appendix1 -B,"1. Documents outreach plans to stakeholders? (yes/no)  Somewhat
2. List specific outreach methods for DACs?  ( yes/no) No
3. What level of outreach engagement?  Inform and consult

Similar to GSP development, its unclear whether/how DACs/SDACs will be involved more than just informed and consulted",
Martha,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Yes,,11 / Appendix 1-B,"1. Documents outreach plans to stakeholders? (yes/no) Yes
2. List specific outreach methods for Tribes?  ( yes/no)  Yes
3. What level of outreach engagement?  Inform and consult, involve and collaborate through advisory committee meetings

Advisory committes meetings continue in the implementation phase as specified in page 11 of the Appendix",
Martha,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Yes,,11 / Appendix 1-B,"1. Documents outreach plans to stakeholders? (yes/no) Yes
2. List specific outreach methods for Environmental stakeholders?  ( yes/no) Yes
3. What level of outreach engagement?  Inform and consult, involve and collaborate through advisory committee meetings thru implementation

Advisory committes meetings continue in the implementation phase as specified in page 11 of the Appendix",
Martha,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Appendix B,,
Martha,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Somewhat,"Three communities in Scott Valley are categorized as disadvantaged: Fort Jones, Etna, and Greenview. Communities with an annual median household income (MHI) of less than 80% of the average annual MHI in California are classified as disadvantaged communities (DACs), while communities with annual MHIs of less than 60% of California’s average annual MHI are considered severely disadvantaged communities (SDACs). Based on the 2013–2017 American Community Survey Five Year Estimates, the statewide annual MHI is $67,169, and Fort Jones and Etna both qualify as SDACs with annual MHIs of $29,662 and $35,333, respectively (U.S. 213 Census Bureau 2018). Greenview is listed in government databases as a DAC, but no MHI data are available for this community (DWR 2019b).",8 / 2.1.1.1,"1. Location on the map? (yes/no) No
2. Identified by name? (yes/no) 3 communities identified as DAC: Fort Jones, Etna, Greenview. Fort Jones and Etna as SDAC
3. DAC places, tracks, or block data used in map? ",
Martha,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Somewhat,"There are two areas within the Basin that are not required to form GSAs or develop GSPs under SGMA: the interconnected zone covered by a groundwater adjudication (Figure 1) and the Quartz Valley Indian Reservation (Figure 2). While outside the jurisdiction of the GSA, these portions of the Basin are considered by the GSP as they are within or adjacent to the GSA area. In 1980, the Scott River and some of the surrounding interconnected groundwater, apart from the previously adjudicated French Creek and Shackleford Creek systems, were adjudicated by decree No. 30662 (Superior Court of Siskiyou County 1980). The groundwater adjudicated area, covering 10,015 acres (41 sq km) of the Basin (DWR 2019a), is subject to annual reporting requirements, as specified in Water Code §10720.8. Additionally, because water users on federal tribal lands are not subject to SGMA, the Quartz Valley Indian Reservation (QVIR) is exempt from the Act; however, a tribal representative is a member of the GSA Advisory Committee.","6 / 2.1.1.1
Figure 2, 7 /2.1.1.1

Appendix 1-D","1. Tribal lands identified? (yes/no) Yes
2. Tribal lands mapped? (yes/no) Yes

**Quartz Valley Indian Reservation is a federally recognized tribe. Other tribes are mentioned elsewhere for consultation but are perhaps not within the basin (Yurok and Kurok)?? Should this be a somewhat

GSP includes a Karuk Memorandum of Understanding document that highlgihts the relationship that the tribe will have with the GSAs in developing and engaging with the Basin's GSP. This document is listed as Appendix 1-D, in this document, the Karuk Tribe state their federally recognized status and relationship to the basin. Even after adding this document in, the GSP text does not discuss it or map the location of the Karuk Tribe. ",
Martha,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,,,"1. Does the GSP document the size of the population for each DAC? No population specified for DACs/SDACs
",
Martha,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
 No",
Martha,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,,"Figure 5, 12 / 2.1.1.3","1. How are domestic wells mapped (density/point/none)?
Density",
Sara,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"Constituents of Concern (COCs) were identified based on visual identification of potential groundwater quality issues using the maps generated in this assessment, identification of common constituents of concern and through discussion with stakeholders. Resulting from this analysis and discussion with stakeholders, the full list of constituents of concern (COCs) were: 1. Nitrate as N 2. Specific Conductivity 3. Benzene A series of maps for each COC, with water quality data from the past 30 years (1990- 2020), show the location of tested wells and whether the maximum concentration ever recorded in that well has violated the MCL. In SCott River Valley, the water quality source database categorized some wells as either municipal or monitoring. Municipal wells area public supply well related to a city or town. Monitoring wells are used for monitoring groundwater, such as for site cleanup programs or irrigated lands regulatory program.
Other COC’s: To identify known plumes and contamination within the Basin, SWRCB GeoTracker was reviewed for active clean-up sites of all types. The GeoTracker Database shows two open LUST sites with potential or actual groundwater contamination located within the Basin, shown in Figure 23. Under the “open” category, a clean-up status is listed for each site which provides additional detail on the current phase of the investigation and remediation activities at the site. The LUST sites in the Basin categorized as “closed” are sites where corrective action has been taken and the case at the site has been formally closed; these sites are not shown on Figure 23. 
Underground storage tanks (UST) are containers and tanks, including piping, that are completely or significantly below ground and are used to store petroleum or other hazardous substances. Soil, groundwater, and surface water near the site can all be affected by releases from USTs. A UST becomes a potential hazard when any portion of it leaks a hazardous substance at which point it is classified as a leaking underground storage tank (LUST). The main constituents of concern in contaminant plumes include benzene, toluene, ethylbenzene, and xylenes (this collection of organic compounds is commonly referred to as “BTEX”), which are found in gasoline, and the gasoline additive, methyl tert-butyl ether (MTBE). In addition to benzene, other constituents in the  monitoring wells associated with the two open LUST sites that were found to exceed water quality objectives include: ethylbenzene, MTBE, tert-Butyl alcohol (TBA), toluene, and xylenes.
Chevron #9-6012 
This site is located at a former fueling facility near Etna. The case (number 1TSI025) has been open since 1988. Three USTs used for gasoline have been removed from the site;  one in December 1978 and two in 1988 following a reported unauthorized release of petroleum. Two USTs remained at the site until November 1998. Remediation efforts have included soil excavation, and monitoring has been conducted in seven groundwater wells adjacent to the site since 1993. The petroleum release is known to have occurred in the soil and shallow groundwater, but the full extent of the contamination is not known; a work plan was submitted to the NCRWQCB in August 2019 that proposed to install four  additional groundwater monitoring wells to define the extent of contamination (SWRCB 2880 2019b).

","Appendix 2-b,  Figure 1 thru 12
Page 102 / 2.2.2.3","1. Are all concerning constituents identified as COC's? Yes, COC' (Nitrate, Benzene, SPecific Conductivity))
2. Are the COC's mapped? Yes, COC' (Nitrate, Benzene, SPecific Conductivity))
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified? Yes
5. Is there a data gap/ Or not enough data related COC's? Yes, they need more evaluation on some locations

COC' (Nitrate, Benzene, SPecific Conductivity))
Data has been gathered since 1953, they have graphed the COC's from data from last 30 years (1990-2020).
They have other chemical contaminant leaks from petrol and other facilities that have affected groundwater, but it has not been investigated enough by regulatory entities.

",
Martha,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",No,"Categories of beneficial uses of groundwater in the North Coast Region, as listed in the Basin Plan,  include municipal and domestic supply, agricultural and stock water supply, industria service supply, industrial process supply, aquaculture, and Native American culture. Specific uses of groundwater in Scott Valley include groundwater use for irrigation in agriculture, a significant part of the local economy, as stock water, and as a municipal and domestic water source. Importantly, beneficial uses also include groundwater-dependent ecosystems and instream habitat where and when groundwater contributes to streamflow.",3-42,GSP outlines specific water sources for domestic and irrigation uses but does not identifies the water sources for DACs. ,
Becky,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"Figure 18 illustrates the monthly variations in the amount and direction of water exchange between groundwater and surface water. Losing sections are indicated by red colors and the positive value of the logarithm of the rate of stream leakage to groundwater. Gaining stream sections are indicated by blue colors and the negative value of the logarithm of the rate of stream accretion from groundwater. The vertical axis indicates the stream mileage location along the main stem of the Scott River with the lowest, most downstream location near the Fort Jones USGS stream gage at the top and the highest, most upstream location near Callahan at the bottom. The horizontal axis indicates the time, beginning with October and ending with September 2018 (Tolley, Foglia, and Harter 2019b). White areas indicate locations and times when flow in the streambed is insignificant (effectively dry streambed conditions), although local, disconnected cold water pools may exist (not explicitly modeled). && Across the stream system in Scott Valley (Fig. 18), there are no known stream reaches that are flowing and also entirely and permanently disconnected from surface water, separated from the water table by thick unsaturated zones. For purposes of this plan, the Scott River and its major tributaries (Mill, Shackleford, Oro Fino, Moffett, Kidder, Patterson, Crystal, Johnson, Etna, French, Miners, Sugar, and Wildcat Creeks, South Fork and East Fork Scott River, Figure 15) are therefore all considered part of a single interconnected surface water system in the basin. The interconnected surface water system supports significant fish habitat and riparian vegetation (see Section 2.2.1.7). The Scott Valley Integrated Hydrologic Model (see Section 2.2.3.1, Tolley et al., 2019) was used to compute the amount of stream depletion in interconnected surface water due to groundwater pumping within the basin as a whole, but also separately for both, the areas outside and within the adjudicated zone. The amount of stream depletion is computed for the location of the Fort Jones gage, by month, for the period 1990 – 2018. It is computed by comparing simulation of actual 1990 – 2018 conditions (base case conditions) to hypothetical no-pumping scenarios, either outside or inside the adjudicated zone or across the entire basin. In the no-pumping scenarios, individual fields that partly or fully depend on groundwater for irrigation are assumed to revert to natural vegetation. Natural vegetation is assumed to depend on rainfall and soil moisture to meet its ET demand. For the reference scenario used in the GSP, only vegetation in the Discharge Zone is assumed to be able to consume groundwater for ET. The Discharge Zone is a known area of very shallow groundwater in the western central Basin, in a contiguous area of sub-irrigated pasture east of Highway 3 between Greenview and Etna [Figure 4]). Natural vegetation growing elsewhere, in lieu of agriculture, is assumed to rely on precipitation and stored soil moisture only, with no access to groundwater. The potential ET of natural vegetation is assumed to be 60% of reference ET (well-watered grass). These assumptions are consistent with recent studies of natural vegetation (such as oak savannah and rainfed grasslands) transpiration (Maurer et al. 2006; Howes, Fox, and Hutton 2015). Actual ET is computed by SVIHM based on available soil moisture and may be lower than potential ET due to soils drying out during the summer and fall. && A finite difference groundwater-surface water model simulates spatial and temporal groundwater (GW) and surface water (SW) conditions in the valley overlying the alluvial basin (MODFLOW model). The MODFLOW model simulates the spatially and temporally variable dynamics  • of streamflow in the Basin tributaries and the main-stem Scott River  • of groundwater fluxes • of water level elevations, and • of the groundwater-surface water exchanges",Page 73-74 / 2.2.1.7 && Page 114 / 2.2.3.1; Figure 18; Table 7,"1. Is there a clear map of ISWs? somewhat - Figure 18 presents a map of surface water and the baseflow conditions in the surface water systems, color coded for gaining and losing reaches. There is some discrepency between the desciption of this figure with the text.  The whole system is considered to be a ISW.
2. Was temporal variability and used and described? Somewhat - data from 1990-2018 used, but seasonal and interannual temporal variability not described well
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? Somewhat - All surface water is considered connected and spatial and temporal patterns are discussed in text. The Scott Valley Integrated Hydrologic Model was used to compute ISWs. Data from 1990-2018, but there is no description of the location of groundwater wells or stream gauges used in analysis. More information is needed in ISW section and the map could be clearer. Section 2.2.3.1 gives more detail on the model.

Decent spatial ISW analysis, but temporal discussion/mapping lacking. The description of the ISW map in the text does not match actual figure",
Becky,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Yes,"Across the stream system in Scott Valley (Fig. 18), there are no known stream reaches that are flowing and also entirely and permanently disconnected from surface water, separated from the water table by thick unsaturated zones. For purposes of this plan, the Scott River and its major tributaries (Mill, Shackleford, Oro Fino, Moffett, Kidder, Patterson, Crystal, Johnson, Etna, French, Miners, Sugar, and Wildcat Creeks, South Fork and East Fork Scott River, Figure 15) are therefore all considered part of a single interconnected surface water system in the basin. The interconnected surface water system supports significant fish habitat and riparian vegetation (see Section 2.2.1.7).",Page 74 / 2.2.1.7; Figure 18; Table 7,"1. Are ISWs mapped in the basin? Yes - ISWs were mapped, although the map lacked some clarity. 
2. Is the mapping consistent with the assessment? Yes - The plan concludes that all surface water is interconected (for at least part of the year). Conclusions are consistent with the asessment even though more information is needed to understand the model.",
Becky,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","no aquifers are acknowledged (no groundwater data); shallow aquifer is acknowledged, but not considered principle for reasons like not the main pumping aquifer = no
All principal shallow aquifers are not acknowledged in ISW section (if multiple exist) = somewhat
Adequate data from shallow aquifer(s) is used in defining ISWs and all principal shallow aquifers are acknowledged= yes","principal aquifer, shallow ",Somewhat,"This figure demonstrates that the stream and aquifer are highly connected in this system; water in the Scott River mainstem weaves in and out of the aquifer on its journey south to north. Long stretches of dry riverbed, both within the tailings and (less often) between the confluences of French and Shackleford Creeks, are common seasonal occurrences.",Page 73 / 2.2.1.7;,"1. Are all shallow aquifers acknowledged in the ISW section (if multiple exist)? Somewhat - Plan referes to ""the aquifer"". There seems to be one general alluvial aquifer (see 2.2.1.3), but depending on the location in the basin, there are confined areas. 
2. Does the plan consider the shallow aquifer(s) as principal aquifer(s)? Assuming yes - The ISW section does not specify the principal aquifer(s) when describing ISWs
",
Becky,,,Environment,2,Were data gaps identified when mapping ISWs?,"no data gaps identified when there is an obvious lack of data = no
1) Vague and/or confusing mention of lacking information 2) Mention of ISW data gaps in separate section in GSP. = somewhat
Clear description of where data gaps exist (temporally and spatially) in ISW section or Data Gaps Section following the assessment= yes","Interconnected surface water, ISW",Somewhat,"While interconnected surface water systems were identified in Section 2.1.1.7, there are uncertainties in this identification. A continuous saturated zone between the stream and aquifer is assumed for all locations that were identified as interconnected surface waters, as no locations are known to be separated from the water table by thick unsaturated zones, but this has not been physically confirmed. New streamgauges and new monitoring wells with continuous data collection, combined with seepage runs will provide stronger support to the conclusion presented in this GSP.",Page 6 / appendix 3-A,"1. Were data gaps identified? Somewhat - Data gaps not explicitly identified in ISW section but appendix 3-A does address the need for new stream gauges and monitoring wells
2. Were the data gaps identifed in the ISW section? No",
Becky,,,Environment,2,"In the case of data gaps and uncertainty, were streams mapped and described as potential ISWs in the GSP? If ISWs are adequately mapped and there is no uncertainty in the ISW mapping, then select ""Not Applicable"".","no description or map of potential ISWs = no
1) partial inclusion of potential ISWs 2) only a description but no map or vice versa = somewhat
All uncertainties and data gaps are clearly described and mapped temporarily and spatially= yes","Interconnected surface water, ISW, data gap",Somewhat,,Figure 18,"1. Is there a map AND description of pISW? Somewhat - Figure 18 presents surface water segments as ""uncertain -yes"" and ""uncertain - no"" but does not desribe this in the text.",
