Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"The following graphic illustrates examples of some of the key stakeholders identified for this project. In the center is the GSA, the decision-making body. As the rings move outward, the stakeholders have less impact on the decision-making process, from the Involve level to the Inform level. None of the stakeholders are at the Collaborate or Empower level for this project. 

&&

Equitable Engagement Seeking feedback from a broad and diverse group of stakeholders is a key objective of this plan. The following are considerations and strategies to ensure equitable engagement within the project area. Varied Engagement Types COVID-19 safety concerns and precautions have shifted communication and engagement to primarily virtual platforms while Stay at Home orders are in place, and engagement may continue to be largely via online formats even after orders are lifted. Although online platforms provide easy access for many, digital resources pose challenges for those without access to the internet and other disadvantaged communities. As such, the following strategies will be implemented: • Offer information through varied channels, including a project hotline or phone number and hard copies where possible. Project materials and commenting resources will be made available in hard copy to stakeholders by request. • Adhere to ADA standards for digital resources, including but not limited to sizing, formatting, inclusion of descriptions and captions for images and videos. Engaging Multicultural Communities The following are strategies to ensure engagement with multicultural communities within the project area: • Include in the stakeholder list relevant multicultural organizations and communities, including tribal contacts, Spanish-speaking organizations, advocacy groups and other multicultural contacts; leverage connections with these stakeholders to notify their communities of the project and seek input from them. • Develop key project materials in English and Spanish and provide Spanish meeting options upon request. • Designate a Spanish-speaking project team member to handle Spanish inquiries received through project communication channels.","San Luis Rey Valley Groundwater Basin
Groundwater Sustainability Plan
Public Involvement Plan, Page 4, 7","1. DAC's identified? (yes/no): NO
2. If yes, which level of engagment: Inform, Consult
3. Evidence/strategies listed for level of engagement:


GSP includes text referencing equitable engagement and listing down ways to engage diverse communities mostly spanning on tranlating information to Spanish and finding ways to engage with communitiies during COVID. "
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Yes,"The following graphic illustrates examples of some of the key stakeholders identified for this project. In the center is the GSA, the decision-making body. As the rings move outward, the stakeholders have less impact on the decision-making process, from the Involve level to the Inform level. None of the stakeholders are at the Collaborate or Empower level for this project. 

The USLR Valley Groundwater Subbasin is comprised of mostly Native American, Hispanic and White residents. In order encourage involvement in the GSP Development and continued involvement during GSP implementation, the GSA employs the use of dual language correspondence to all property owners and tribal nations located within the basin. Special invitations to tribal representatives of all tribes located within the basin and to the San Luis Rey Indian Water Authority to attend GSA Executive Team meetings, in addition to stakeholder outreach meetings were extended during GSP development and will continue throughout the GSP implementation process. More importantly, the GSA will convene an Interactive Tribal Work Group to encourage tribal participation, promote basin balancing maintenance activities, and ensure respecting of federal reserve water rights. The GSA will utilize electronic (email and website postings), traditional mail, and possible social media methods to communicate and inform the public about the GSP implementation process and the necessity to perform any project or management actions as described in the GSP.",2021-02-21 00:00:00,"1. Tribes identified? (yes/no):
2. If yes, which level of engagment: Inform, Consult, Involve
3. Evidence/strategies listed for level of engagement:  

GSP has documented directly reaching out to Tribal stakeholders, ensuring tribal representation and continued communication during development and includes intention to convene an interactive tribal work group to continue tribal participation in GSP development. "
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"The following graphic illustrates examples of some of the key stakeholders identified for this project. In the center is the GSA, the decision-making body. As the rings move outward, the stakeholders have less impact on the decision-making process, from the Involve level to the Inform level. None of the stakeholders are at the Collaborate or Empower level for this project. 

&&

Under the requirements of SGMA, GSAs must consider interests of all beneficial uses and users of Groundwater when developing a GSP. As a result, the GSP development needs to consider effects to
other stakeholder groups in or around the groundwater basin with overlapping interests. These interests include, but are not limited to, holders of overlying groundwater rights (including agriculture users and 
domestic well owners), public water systems, local land use planning agencies, environmental users, surface water users, federal government, California Native American tribes, and disadvantaged communities.","Stakeholder plan, Page 3","
1. Environmental Stakeholders identified? The GSP includes the text of considering environmental users but does not explicitly identify the environmental users by name or organization or entity. 
2. Which level of engagment: Inform, Consult, 
3. Evidence/strategies listed for level of engagement:

The GSP is not specific about who are the environmental users but does include language of environmental users being identified as stakeholders. The langugage around environmental stakeholders is vague and mostly consists of engagement of all stakeholders identified. "
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"During GSP implementation, the public will be notified of important developments or changes in the current status of the basin. The GSA will engage in water conservation and efficiency messaging to all stakeholders of the basin as well as establish a drought resiliency workgroup to assist with conservation messaging and stakeholder engagement in drought resilience monitoring of the basin to better avoid the occurrence of undesirable results (see Section 6.0).

&&

6.7 Public Notice and Outreach
Prior to initiating a feasibility study for any of the proposed management actions or projects, the GSA set up a public meeting to present details about the proposed action/project and feasibility study and receive feedback from basin stakeholders. invitations to participate will be extended using the public outreach and professional communication lines and noticing techniques used during development of the GSP. Public notice would also occur in accordance with all pertinent laws and permits. GSA management operations will be documented and discussed in the 5-year update report. ",2021-06-10 00:00:00,"1. Documents outreach plans to stakeholders? (yes/no) Yes, mostly mentions using outreach and noticing techniques used during GSP development. 
2. List specific outreach methods for DACs?  ( yes/no) NO
3. What level of outreach engagement? Inform, Consult"
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Yes,"
The USLR Valley Groundwater Subbasin is comprised of mostly Native American, Hispanic and White residents. In order encourage involvement in the GSP Development and continued involvement during GSP implementation, the GSA employs the use of dual language correspondence to all property owners and tribal nations located within the basin. Special invitations to tribal representatives of all tribes located within the basin and to the San Luis Rey Indian Water Authority to attend GSA Executive Team meetings, in addition to stakeholder outreach meetings were extended during GSP development and will continue throughout the GSP implementation process. More importantly, the GSA will convene an Interactive Tribal Work Group to encourage tribal participation, promote basin balancing maintenance activities, and ensure respecting of federal reserve water rights. The GSA will utilize electronic (email and website postings), traditional mail, and possible social media methods to communicate and inform the public about the GSP implementation process and the necessity to perform any project or management actions as described in the GSP.

&&


6.7 Public Notice and Outreach
Prior to initiating a feasibility study for any of the proposed management actions or projects, the GSA set up a public meeting to present details about the proposed action/project and feasibility study and receive feedback from basin stakeholders. invitations to participate will be extended using the public outreach and professional communication lines and noticing techniques used during development of the GSP. Public notice would also occur in accordance with all pertinent laws and permits. GSA management operations will be documented and discussed in the 5-year update report.","2-21
6-10","1. Documents outreach plans to stakeholders? (yes/no) Yes, mentions using outreach and noticing techniques used during GSP development. 
2. List specific outreach methods for Tribes?  (yes/no) YES
3. What level of outreach engagement? 

GSP has stated that current outreach and communication with identified tribal stakeholders will continue through GSP implementation, with intention to convene tribal working group. "
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"
6.7 Public Notice and Outreach
Prior to initiating a feasibility study for any of the proposed management actions or projects, the GSA set up a public meeting to present details about the proposed action/project and feasibility study and receive feedback from basin stakeholders. invitations to participate will be extended using the public outreach and professional communication lines and noticing techniques used during development of the GSP. Public notice would also occur in accordance with all pertinent laws and permits. GSA management operations will be documented and discussed in the 5-year update report.

",2021-06-10 00:00:00,"1. Documents outreach plans to stakeholders? (yes/no) Yes, mentions using techniques outreach and noticing techniques used during GSP development. 
2. List specific outreach methods for Environmental stakeholders?  (yes/no) NO
3. What level of outreach engagement? "
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,,Title: San Luis Rey Valley Groundwater Basin Groundwater Sustainability Plan Public Involvement Plan
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",No,"Under the requirements of SGMA, GSAs must consider interests of all beneficial uses and users of groundwater when developing a GSP. As a result, the GSP development needs to consider effects to other stakeholder groups in or around the groundwater basin with overlapping interests. These interests include, but are not limited to, holders of overlying groundwater rights (including agriculture users and domestic well owners), public water systems, local land use planning agencies, environmental users, surface water users, federal government, California Native American tribes, and disadvantaged
communities.",Chapter 2: Page 2-19,"1. Location on the map? (yes/no) NO
2. Identified by name? (yes/no) NO
3. DAC places, tracks, or block data used in map?

DACs were briefly mentioned, mostly by name as in identifying as stakeholder but the GSP does not go into any detail about where DACs are located, names of DAC places or any further information about DACs. "
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Somewhat,"The USLR Valley Groundwater Subbasin is comprised of mostly Native American, Hispanic and White residents. In order encourage involvement in the GSP Development and continued involvement during GSP implementation, the GSA employs the use of dual language correspondence to all property owners and tribal nations located within the basin. Special invitations to tribal representatives of all tribes located within the basin and to the San Luis Rey Indian Water Authority to attend GSA Executive Team meetings, in addition to stakeholder outreach meetings were extended during GSP development and will continue throughout the GSP implementation process. More importantly, the GSA will convene an Interactive Tribal Work Group to encourage tribal participation, promote basin balancing maintenance activities, and ensure respecting of federal reserve water rights. The GSA will utilize electronic (email and website postings), traditional mail, and possible social media methods to communicate and inform the public about the GSP implement

&&

FRWRs are judge-created water rights that supersede conflicting state law rights, not a right that a federal or tribal entity can claim without going to court in an appropriate adjudication. FRWRs constitute a judicially recognized estoppel that prevents the Federal Government from going back on its word when the federal government withdraws and reserves tribal or federal agency lands from the public domain (e.g., Congress is presumed to not have intended to create a reservation without reserving enough water from the public domain to meet the primary purpose of the reservation). To date, no judicial action to recognize or adjudicate FRWR has occurred in the San Luis Rey Watershed or in any of the groundwater basins contained therein, and no FRWR adjudicated to the San Luis Rey Indian Water Authority (SLRIWA) or its members has been placed into trust by the United States. Congress, has acknowledged that tribes within the San Luis Rey Watershed have the ability to seek FRWR in court, notwithstanding the 16,000 acre-feet per year (acre-ft/yr or AFY) of supplemental water granted to SLRIWA and its members in settlement of water rights claims the SLRIWA previously initiated against the United States and other public agencies. (See H. Rept. 114-747 - AMENDING THE SAN LUIS REY INDIAN WATER RIGHTS SETTLEMENT ACT TO CLARIFY CERTAIN SETTLEMENT TERMS, AND FOR OTHER PURPOSES [“In January 2015, the parties signed a settlement agreement that stipulated that the 16,000 acre-feet of water would be deemed supplemental. This designation kept the Bands' Winters Doctrine rights intact, allowing them the ability to pursue those rights at a later time if necessary”].) Thus, the SLRIWA now has the legal authority to pursue","2-20
1-3","1. Tribal lands identified? (yes/no)  San Luis Rey Tribe
2. Tribal lands mapped? (yes/no) NO

Although the San Luis Rey Tribe is clearly referenced in other parts of the GSP such as in Section 1-3 in respect to  FRWRs (Full Respect of Federal Reserved Water Rights, the GSP does not identify or go into detail about Tribal stakeholders within the basin beyond this section and does not map Tribal lands either. "
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,,,"1. Does the GSP document the size of the population for each DAC?

GSP does not include population size for DACs. "
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
Map does not include depth by location of domestic wells. "
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,No,,Figure 2-6 (Well Density by Section),"1. How are domestic wells mapped (density/point/none)?

A density map is used to map all producton wells which include public, irrigation, municipal, or industrial, however domestic wells do not seem to be mapped or directly identified in this map. "
WQ,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"3.3.4.3 Groundwater Quality
Most common water quality contaminants in San Diego County include elevated nitrate, naturally occurring radionuclides, total dissolved solids (TDS), and bacteria. Most common sources of anthropogenic contamination include leaking underground fuel tanks, sewer and septic systems, agricultural applications, and facilities with excess animal waste. Groundwater quality in the USLR Valley Groundwater Subbasin is typically calcium-sodium bicarbonate (Stetson, 1984). The general water chemistry is likely influenced by water moving along the Elsinore fault zone, which is thought to contribute large quantities of gypsum to the groundwater system (Vaughan, 1987). Quality is also strongly influenced by surface water in the San Luis Rey River and return flows from imported water and groundwater applied to the surface for irrigation (Stetson, 1984).
&&&
3.3.4.3.1 Total Dissolved Solids
TDS concentrations in the USLR Valley Groundwater Subbasin were evaluated based on available water quality data and recent groundwater quality sampling as part of the initial GSP monitoring network to establish a baseline for groundwater conditions (see Section 3.3.4.3.3). Historical TDS concentrations are shown on Figure 3-16 while TDS concentrations from the Spring 2021 water quality sampling event are shown on Figure 3-17. Historically, TDS in the subbasin ranges from 19.6 mg/L to 1,950 mg/L (Figure 3-16). Current TDS samples indicate concentrations ranging from 120 mg/L to 1,400 mg/L (Figure 3-17). It is important to note that continuous water quality records within the subbasin are very limited. Recent data (within the last 10 years) is really only available in the Pauma Subbasin. The majority of historical data points shown on Figure 3-16 (from the California Division of Drinking Water’s (DDW’s) water quality databases) – particularly those in Pala Subbasin and areas overlying reservation lands – represent older records which may not reflect current conditions. Groundwater sampling during GSP development, which
provide the most recent water quality data, took place primarily in the Pauma Subbasin and upper portion of Pala Subbasin based on access to wells (refer to Section 3.3.4.3.3 for additional discussion).
&&&
3.3.4.3.2 Nitrate
Figures 3-18 and 3-19 show the distribution of nitrate (as N) in the USLR Valley Groundwater Subbasin historically and based on the Spring 2021 water quality sampling event, respectively. Historically, nitrate (as N) in the subbasin ranges from 0.02 mg/L to 29.4 mg/L (Figure 18). Current samples indicate nitrate (as N) concentrations ranging from 1.6 mg/L to 32 mg/L (Figure 19). However, as with the TDS samples, nitrate data is very limited historically while current water quality sampling was limited primarily to Pauma Subbasin due to well access restrictions.
&&&
3.3.4.3.3 Initial Monitoring Network – Water Quality Sampling
As part of the GSP effort, an initial monitoring network was established to provide a good foundation for characterizing current groundwater conditions and which could be used for future, on-going monitoring after GSP implementation. The wells selected to be monitored during the GSP development process are shown on Figure 3-20. These wells were selected based on available data, geographic and vertical distribution, and willingness of the well owner to participate in the GSP monitoring effort. Where good well coverage was available, selected monitoring locations were determined based primarily on available data (wells with greater historical data coverage were prioritized over wells with less or no available information) in order to take advantage of the historical data record.","Page 3-16 /3.3.4.3
Page 3-18 / 3.3.4.3.1
Page 3-18 / 3.3.4.3.2
Page 3-19 / 3.3.4.3.3
Figure 3-15 thru 3-20
Table 3-2
Appendix 3B","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? Yes, TDS and nitrate
2. Are the COC's mapped? Yes
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified? Yes, Appendix 3B
5. Is there a data gap/ Or not enough data related COC's? No mention


"
WQ,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",No,,,Water sources for DACs were not identified. 
ISW/GDE,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",No,"Henshaw Dam was constructed in 1922 by VID to provide water for domestic and agricultural uses. Water is released from the dam into the natural stream channel and then diverted approximately 10 miles downstream into the Escondido Canal. Prior to construction of the dam, the San Luis Rey River in the vicinity of Henshaw Dam was perennial, with minimum flows above 1.4 cfs (Case Study Report #76). Continuous flow was also observed in the San Luis Rey River at Pala from 1903 through 1915 (Ellis and Lee, 1919). The California Department of Fish and Game reported that riparian vegetation adjacent to the river may have historically supported large populations of wildlife, but no records of fish and wildlife existing in the river prior to dam construction were found in the Department of Fish and Game files (Case Study Report #76). Since construction of the dam, flows between the dam and Escondido Canal are likely insufficient to support fishery habitat. As mentioned in the Plan Area section, the USLRRCD has several conservation easements for Arroyo Toads in the USLR Valley Groundwater Subbasin, but these habitat areas are primarily dependent on seasonal surface water and the vernal pools created after storm events and do not appear to be maintained by shallow groundwater. Helix Environmental conducted a desktop study to assess the possibility of groundwater dependent ecosystems (GDEs) in the USLR Valley Groundwater Subbasin. Sources of information included recent and historical aerial imagery, National Wetlands Inventory (NWI) mapping, San Diego Association of Governments (SANDAG) regional vegetation mapping, topographic mapping, and other pertinent biological resources data. A summary of their investigation is provided as Appendix 3c.

&& Given the depth to groundwater in much of the basin, percolation from streamflow is thought to be largely in free fall conditions; that is, the streams are not in direct hydraulic connection with the underlying water table and aquifer system so that surface recharge must percolate through the unsaturated zone before becoming accessible to groundwater pumping. Figure 3-23 shows vegetation areas located within areas estimated by the groundwater model (see Section 3.3.5.1) to have groundwater within 20 ft of land surface. This depth is considered to be the typical extinction depth for most deep-rooted riparian vegetation; most roots of riparian vegetation would not be able to access groundwater resources if groundwater levels were deeper than this threshold. However, as noted previously, these areas (and their groundwater dependency) need to be evaluated by field investigation and through the collection of additional data.

&& Additional groundwater management actions, such as water conservation or imported water use (see Section 4.0) may be able to mitigate the slight projected depletion of groundwater storage. However, as mentioned previously, the projected water budget presented above assumes the continuation of current basin conditions, including pumping volumes, water use, application rates, return flows, etc. If water use (especially pumping volumes) increases in the basin, then additional projects and/or management actions will be needed to help address decreases in groundwater elevations, depletions in groundwater storage, and potential effects on interconnected surface water flow.

&& The input data for the groundwater model was based on a monthly basis (i.e., monthly stress periods) from January 1991 through December 2020. The monthly stress periods provide the ability to model the seasonal aspects of fluxes such as areal recharge, return flow, pumping, mountain front runoff, and streambed percolation. The groundwater model is calibrated to observed groundwater elevations throughout the subbasin. Boundary conditions used to simulate inflow and outflow terms in the groundwater model are shown on Figure 3-25.

&& Depletion of Interconnected Surface Water (not considered applicable in the USLR Valley Groundwater Subbasin)

&& 4.3.4 Depletions in Interconnected Surface Water: The major stream in the USLR Subbain is the San Luis Rey River. The San Luis Rey River extends from Lake Henshaw to the Pacific Ocean at Oceanside Harbor. However, as described in Section 3.3.3.1.3, the majority of flow released from Henshaw Dam are diverted into the Escondido Canal, where it is exported for use in Vista Irrigation District (VID) and City of Escondido service areas. Only water unable to be captured by the diversion structure (typically during peak storm flow) and natural flow from rainfall and stormflow downstream of the diversion structure are available to maintain surface flow in the San Luis Rey River. However, very few measurements of surface flow are available in Pauma and Pala Valleys. Therefore, current understanding of surface water and groundwater interactions in the USLR Subbasin are informed by reported observations, groundwater levels (where data are available), and modelcalculated streamflow and groundwater elevations using the USLRGM (what limited gaged measurements of surface flow were available were used to calibrate the surface water model component). Since surface water is not a significant source of water supply in the USLR Subbasin, undesirable effects from depletions in interconnected surface water primarily relate to potentially groundwater dependent ecosystems (GDEs). Areas of potentially dependent vegetation were identified in Section 3.3.4.6 through a review of historical imagery and available mapping. During the process of developing sustainability goals for depletions in interconnected surface water, the calibrated USLRGM (see Section 3.3.5.1) was used to delineate the areas of potentially groundwater dependent vegetation to those locations throughout the basin where simulated groundwater levels since 2015 were less than 20 ft bgs. This depth is considered to be the typical extinction depth for most deep-rooted riparian vegetation; most roots of riparian vegetation would not be able to access groundwater resources if groundwater levels were deeper than this threshold. These areas are shown on Figure 3-23.","Page 3-20 / 3.3.4.4

&& Page 3-21 / 3.3.4.4

&& Page 3-30 / 3.3.5.7

&& Page 3-23 / 3.3.5.1

&& Page 4-1 / 4.0

&& Page 4-8 / 4.3.4","1. Is there a clear map of ISWs? no - there is no ISW map
2. Was temporal variability and used and described? somewhat - the GDE and ISW assessment were done together, and only areas with modeled groundwater levels of 20 feet or less were included as GDEs. This is the only quantitative data used to describe the groundwater table in relation to GDEs or ISWs. The groundwater model used groundwater data from 1991 to 2020, but it said that simulated groundwater levels since 2015 were used in GDE assessemnt (and ISW?). 
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? no / somewhat - the plan states that it does not have a lot of surface water measurments to calibrate the groundwater model. Figure 3-23 presents hydrographs of the simulated groundwater levels from the model were groundwater might be less than 20 feet from the surface, yet this is more in relation to showing where GDEs are located in the basin, not ISW. 

Note: there is one section for ISW and GDE combined in section 3. There is no clear ISW assessment on its own. "
