GSP,GSP_ID,run,question,answer_3class,yes_prob,pred_bin,human
1_BigValley_DraftGSP,1,1,70,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,2,1,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,2,3,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,2,4,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,2,5,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,2,6,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,2,7,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,2,14,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,2,17,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,2,18,No,0.15000000000000002,No,Somewhat
1_BigValley_DraftGSP,1,2,22,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,2,24,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,2,25,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,2,28,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,2,29,No,0.15000000000000002,No,Not Applicable
1_BigValley_DraftGSP,1,2,30,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,2,31,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,2,32,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,2,33,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,2,34,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,2,36,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,2,37,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,2,40,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,2,41,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,2,42,No,0.0,No,No
1_BigValley_DraftGSP,1,2,43,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,2,44,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,2,45,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,2,46,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,2,47,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,2,48,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,2,49,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,2,50,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,2,51,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,2,52,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,2,53,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,2,54,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,2,55,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,2,56,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,2,57,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,2,58,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,2,59,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,2,60,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,2,61,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,2,62,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,2,63,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,2,64,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,2,65,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,2,66,No,0.0,No,No
1_BigValley_DraftGSP,1,2,67,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,2,68,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,2,70,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,3,1,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,3,3,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,3,4,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,3,5,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,3,6,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,3,7,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,3,14,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,3,17,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,3,18,No,0.15000000000000002,No,Somewhat
1_BigValley_DraftGSP,1,3,22,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,3,24,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,3,25,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,3,28,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,3,29,No,0.15000000000000002,No,Not Applicable
1_BigValley_DraftGSP,1,3,30,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,3,31,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,3,32,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,3,33,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,3,34,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,3,36,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,3,37,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,3,40,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,3,41,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,3,42,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,3,43,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,3,44,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,3,45,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,3,46,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,3,47,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,3,48,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,3,49,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,3,50,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,3,51,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,3,52,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,3,53,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,3,54,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,3,55,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,3,56,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,3,57,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,3,58,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,3,59,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,3,60,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,3,61,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,3,62,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,3,63,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,3,64,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,3,65,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,3,66,No,0.0,No,No
1_BigValley_DraftGSP,1,3,67,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,3,68,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,3,70,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,4,1,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,4,3,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,4,4,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,4,5,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,4,6,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,4,7,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,4,14,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,4,17,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,4,18,No,0.15000000000000002,No,Somewhat
1_BigValley_DraftGSP,1,4,22,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,4,24,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,4,25,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,4,28,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,4,29,No,0.15000000000000002,No,Not Applicable
1_BigValley_DraftGSP,1,4,30,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,4,31,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,4,32,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,4,33,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,4,34,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,4,36,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,4,37,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,4,40,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,4,41,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,4,42,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,4,43,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,4,44,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,4,45,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,4,46,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,4,47,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,4,48,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,4,49,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,4,50,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,4,51,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,4,52,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,4,53,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,4,54,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,4,55,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,4,56,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,4,57,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,4,58,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,4,59,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,4,60,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,4,61,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,4,62,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,4,63,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,4,64,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,4,65,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,4,66,No,0.0,No,No
1_BigValley_DraftGSP,1,4,67,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,4,68,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,4,70,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,5,1,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,5,3,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,5,4,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,5,5,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,5,6,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,5,7,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,5,14,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,5,17,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,5,18,No,0.15000000000000002,No,Somewhat
1_BigValley_DraftGSP,1,5,22,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,5,24,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,5,25,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,5,28,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,5,29,No,0.15000000000000002,No,Not Applicable
1_BigValley_DraftGSP,1,5,30,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,5,31,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,5,32,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,5,33,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,5,34,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,5,36,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,5,37,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,5,40,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,5,41,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,5,42,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,5,43,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,5,44,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,5,45,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,5,46,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,5,47,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,5,48,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,5,49,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,5,50,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,5,51,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,5,52,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,5,53,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,5,54,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,5,55,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,5,56,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,5,57,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,5,58,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,5,59,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,5,60,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,5,61,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,5,62,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,5,63,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,5,64,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,5,65,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,5,66,No,0.0,No,No
1_BigValley_DraftGSP,1,5,67,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,5,68,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,5,70,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,1,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,3,Yes,1.0,Yes,Somewhat
14_EastContraCosta_DraftGSP,14,1,4,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,5,Somewhat,0.25,No,Not Applicable
14_EastContraCosta_DraftGSP,14,1,6,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,7,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,1,14,Somewhat,0.25,No,Yes
14_EastContraCosta_DraftGSP,14,1,17,Somewhat,0.25,No,Yes
14_EastContraCosta_DraftGSP,14,1,18,Yes,1.0,Yes,Somewhat
14_EastContraCosta_DraftGSP,14,1,22,Somewhat,0.25,No,Not Applicable
14_EastContraCosta_DraftGSP,14,1,24,Yes,1.0,Yes,Not Applicable
14_EastContraCosta_DraftGSP,14,1,25,Yes,1.0,Yes,Not Applicable
14_EastContraCosta_DraftGSP,14,1,28,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,1,29,No,0.15000000000000002,No,No
14_EastContraCosta_DraftGSP,14,1,30,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,1,31,Yes,1.0,Yes,No
14_EastContraCosta_DraftGSP,14,1,32,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,1,33,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,1,34,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,36,No,0.15000000000000002,No,Yes
14_EastContraCosta_DraftGSP,14,1,37,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,40,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,41,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,1,42,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,1,43,Somewhat,0.25,No,Yes
14_EastContraCosta_DraftGSP,14,1,44,No,0.15000000000000002,No,No
14_EastContraCosta_DraftGSP,14,1,45,No,0.15000000000000002,No,Not Applicable
14_EastContraCosta_DraftGSP,14,1,46,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,47,Yes,1.0,Yes,No
14_EastContraCosta_DraftGSP,14,1,48,Somewhat,0.25,No,No
14_EastContraCosta_DraftGSP,14,1,49,No,0.15000000000000002,No,Not Applicable
14_EastContraCosta_DraftGSP,14,1,50,Somewhat,0.25,No,No
14_EastContraCosta_DraftGSP,14,1,51,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,52,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,53,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,1,54,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,55,Somewhat,0.25,No,No
14_EastContraCosta_DraftGSP,14,1,56,No,0.15000000000000002,No,No
14_EastContraCosta_DraftGSP,14,1,57,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,58,Yes,1.0,Yes,No
14_EastContraCosta_DraftGSP,14,1,59,No,0.15000000000000002,No,No
14_EastContraCosta_DraftGSP,14,1,60,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,61,No,0.15000000000000002,No,No
14_EastContraCosta_DraftGSP,14,1,62,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,63,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,1,64,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,1,65,Somewhat,0.25,No,Yes
14_EastContraCosta_DraftGSP,14,1,66,Somewhat,0.25,No,Yes
14_EastContraCosta_DraftGSP,14,1,67,Yes,1.0,Yes,Somewhat
14_EastContraCosta_DraftGSP,14,1,68,Somewhat,0.25,No,No
14_EastContraCosta_DraftGSP,14,1,70,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,1,Yes,1.0,Yes,Somewhat
14_EastContraCosta_DraftGSP,14,2,3,Yes,1.0,Yes,Somewhat
14_EastContraCosta_DraftGSP,14,2,4,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,5,Somewhat,0.25,No,Not Applicable
14_EastContraCosta_DraftGSP,14,2,6,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,7,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,2,14,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,2,17,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,2,18,Yes,1.0,Yes,Somewhat
14_EastContraCosta_DraftGSP,14,2,22,Somewhat,0.25,No,Not Applicable
14_EastContraCosta_DraftGSP,14,2,24,Yes,1.0,Yes,Not Applicable
14_EastContraCosta_DraftGSP,14,2,25,Somewhat,0.25,No,Not Applicable
14_EastContraCosta_DraftGSP,14,2,28,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,2,29,No,0.15000000000000002,No,No
14_EastContraCosta_DraftGSP,14,2,30,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,2,31,Yes,1.0,Yes,No
14_EastContraCosta_DraftGSP,14,2,32,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,2,33,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,2,34,No,0.15000000000000002,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,36,No,0.15000000000000002,No,Yes
14_EastContraCosta_DraftGSP,14,2,37,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,40,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,41,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,2,42,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,2,43,Somewhat,0.25,No,Yes
14_EastContraCosta_DraftGSP,14,2,44,Somewhat,0.25,No,No
14_EastContraCosta_DraftGSP,14,2,45,No,0.15000000000000002,No,Not Applicable
14_EastContraCosta_DraftGSP,14,2,46,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,47,Yes,1.0,Yes,No
14_EastContraCosta_DraftGSP,14,2,48,Somewhat,0.25,No,No
14_EastContraCosta_DraftGSP,14,2,49,No,0.15000000000000002,No,Not Applicable
14_EastContraCosta_DraftGSP,14,2,50,Somewhat,0.25,No,No
14_EastContraCosta_DraftGSP,14,2,51,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,52,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,53,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,2,54,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,55,No,0.15000000000000002,No,No
14_EastContraCosta_DraftGSP,14,2,56,No,0.15000000000000002,No,No
14_EastContraCosta_DraftGSP,14,2,57,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,58,Yes,1.0,Yes,No
14_EastContraCosta_DraftGSP,14,2,59,No,0.15000000000000002,No,No
14_EastContraCosta_DraftGSP,14,2,60,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,61,No,0.15000000000000002,No,No
14_EastContraCosta_DraftGSP,14,2,62,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,63,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,2,64,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,2,65,Somewhat,0.25,No,Yes
14_EastContraCosta_DraftGSP,14,2,66,Somewhat,0.25,No,Yes
14_EastContraCosta_DraftGSP,14,2,67,Yes,1.0,Yes,Somewhat
14_EastContraCosta_DraftGSP,14,2,68,Somewhat,0.25,No,No
14_EastContraCosta_DraftGSP,14,2,70,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,3,1,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,3,3,Yes,1.0,Yes,Somewhat
14_EastContraCosta_DraftGSP,14,3,4,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,3,5,Somewhat,0.25,No,Not Applicable
14_EastContraCosta_DraftGSP,14,3,6,Somewhat,0.25,No,Somewhat
14_EastContraCosta_DraftGSP,14,3,7,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,3,14,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,3,17,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,3,18,Yes,1.0,Yes,Somewhat
14_EastContraCosta_DraftGSP,14,3,22,Somewhat,0.25,No,Not Applicable
14_EastContraCosta_DraftGSP,14,3,24,Yes,1.0,Yes,Not Applicable
14_EastContraCosta_DraftGSP,14,3,25,Yes,1.0,Yes,Not Applicable
14_EastContraCosta_DraftGSP,14,3,28,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,3,29,No,0.15000000000000002,No,No
14_EastContraCosta_DraftGSP,14,3,30,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,3,31,Yes,1.0,Yes,No
14_EastContraCosta_DraftGSP,14,3,32,Yes,1.0,Yes,Yes
14_EastContraCosta_DraftGSP,14,3,33,Yes,1.0,Yes,Yes
